variant,head,slice,subset,n,coverage,auc,brier,calibration,resolution,uncertainty,refinement,base_rate,mean_predicted,brier_constant_best,residual,n_bins_used,spearman_rho,spearman_pvalue,spearman_accuracy
baseline,gbm,validation[70:80],all,856,1.0,0.5848549534756432,0.24776778318447845,0.005310671992824368,0.006997238789258235,0.2493394619617434,0.24234222317248516,0.5257009345794392,0.5027320981025696,0.2493394619617434,0.00011488801916892388,10,0.07836051796906104,0.021859101004653977,0.5689252336448598
baseline,gbm,validation[70:80],>=0.52,186,0.21728971962616822,0.6384837962962963,0.24395884945076057,0.015698734128355304,0.02109540650376676,0.2497398543184183,0.22864444781465154,0.5161290322580645,0.4926086664199829,0.2497398543184183,-0.0003843324922462865,10,0.059619892484508254,0.41889205851741357,0.6182795698924731
baseline,lstm,validation[70:80],all,856,1.0,0.5155062944718117,0.251729359802403,0.0044280521160970894,0.0020049630676410783,0.2493394619617434,0.2473344988941023,0.5257009345794392,0.47668956564826387,0.2493394619617434,-3.3191207796379185e-05,10,-0.0029551634043210743,0.931200534348364,0.49182242990654207
baseline,lstm,validation[70:80],>=0.52,502,0.5864485981308412,0.5180203812340027,0.25291806222993546,0.006792464425705635,0.003741138873923881,0.24960318090189046,0.24586204202796658,0.5199203187250996,0.46368715653856435,0.24960318090189046,0.0002635557762632468,10,0.0332140540560269,0.45777084993421174,0.48406374501992033
baseline,consensus,validation[70:80],all,856,1.0,0.5169813902572523,0.25120727239715707,0.006186792014186266,0.004337576182437094,0.2493394619617434,0.2450018857793063,0.5257009345794392,0.48156265136307086,0.2493394619617434,1.8594603664490172e-05,10,-0.06155400371232694,0.07186216535962889,0.5175233644859814
baseline,consensus,validation[70:80],>=0.52,497,0.580607476635514,0.4952224132896401,0.25271354573989374,0.012999552341129204,0.009763901026162725,0.24955365998809761,0.23978975896193488,0.5211267605633803,0.469018624282219,0.24955365998809761,-7.57655631703491e-05,10,-0.04598635722367689,0.30623380443045717,0.4969818913480885
baseline,gbm,test[80:100],all,1712,1.0,0.5220225455588252,0.24987495805834992,0.0016737989456191917,0.0015373937477282233,0.24984953653157482,0.2483121427838466,0.4877336448598131,0.5017088651657104,0.24984953653157482,-0.00011098367111586627,10,0.018756592661972254,0.4379968947305389,0.5093457943925234
baseline,gbm,test[80:100],>=0.52,373,0.21787383177570094,0.5010066148979004,0.25019509055406636,0.007628575653717657,0.0065488049726990264,0.24991195221700724,0.24336314724430821,0.5093833780160858,0.48670050501823425,0.24991195221700724,-0.0007966323439594913,10,-0.01404826615348697,0.786837320034742,0.5093833780160858
baseline,lstm,test[80:100],all,1712,1.0,0.4977782177947412,0.2505454123570683,0.0021578233557513916,0.0012248374450553531,0.24984953653157482,0.24862469908651946,0.4877336448598131,0.48224468807750775,0.24984953653157482,-0.00023711008520255206,10,-0.01537033578857001,0.5250756369850322,0.5134345794392523
baseline,lstm,test[80:100],>=0.52,1034,0.6039719626168224,0.5187690891124686,0.25118959386248485,0.00412867558359,0.002692660528323987,0.24988682661837935,0.24719416609005537,0.5106382978723404,0.4726033972529424,0.24988682661837935,-0.00013324781116053064,10,-0.009996425408498134,0.7481626696299094,0.5067698259187621
baseline,consensus,test[80:100],all,1712,1.0,0.4993745689920046,0.25020554115509624,0.002712238872002671,0.002192230214894101,0.24984953653157482,0.24765730631668073,0.4877336448598131,0.4854807573083405,0.24984953653157482,-0.00016400403358712845,10,-0.025044506557195315,0.3003630602730058,0.518107476635514
baseline,consensus,test[80:100],>=0.52,981,0.5730140186915887,0.5106682083232821,0.2510378683789845,0.0025022079394074878,0.001151643587698531,0.24983763889018779,0.24868599530248925,0.5127420998980632,0.4739002548803734,0.24983763889018779,-0.00015033486291221587,10,-0.01910022710243527,0.5501546133174798,0.5045871559633027
with_macro,gbm,validation[70:80],all,856,1.0,0.5777230432402847,0.24766239841824123,0.004834313907793725,0.006375996094978836,0.2493394619617434,0.24296346586676457,0.5257009345794392,0.5041211843490601,0.2493394619617434,-0.00013538135631704917,10,0.048917051971214584,0.1527301299693134,0.572429906542056
with_macro,gbm,validation[70:80],>=0.52,154,0.17990654205607476,0.6642144427532556,0.24146739534076883,0.01841387587802081,0.025289722481626323,0.24932534997470063,0.22403562749307432,0.474025974025974,0.4923275113105774,0.24932534997470063,-0.0009821080303262786,8,0.047670935842568825,0.557139995878218,0.6493506493506493
with_macro,lstm,validation[70:80],all,856,1.0,0.48515051997810615,0.2522926655710032,0.005422812600483528,0.002296140177476536,0.2493394619617434,0.24704332178426686,0.5257009345794392,0.48980100672239457,0.2493394619617434,-0.0001734688137471907,10,-0.02020724457096545,0.5549162278581766,0.48364485981308414
with_macro,lstm,validation[70:80],>=0.52,475,0.5549065420560748,0.5024748068226329,0.2538751474410688,0.008466934049280263,0.00371028270564429,0.24893518005540166,0.24522489734975736,0.5326315789473685,0.48125591811380886,0.24893518005540166,0.00018331604203120078,10,0.06434506750411718,0.1614760235789273,0.4673684210526316
with_macro,consensus,validation[70:80],all,856,1.0,0.49646141215106737,0.25140909801118744,0.003467036490642362,0.0011103365797931679,0.2493394619617434,0.24822912538195022,0.5257009345794392,0.49323828739470965,0.2493394619617434,-0.0002870638614051457,10,-0.033069930932291526,0.33384743588601956,0.5
with_macro,consensus,validation[70:80],>=0.52,467,0.5455607476635514,0.490245385210567,0.25261788127429685,0.0082020474647161,0.004225740140302327,0.24889838552150728,0.24467264538120495,0.5331905781584583,0.48367177610479023,0.24889838552150728,-0.00025681157162421586,10,-0.05345633478670629,0.2489392189017408,0.4925053533190578
with_macro,gbm,test[80:100],all,1712,1.0,0.5207928498760745,0.24997736158870587,0.0031574014904771023,0.002883145003602886,0.24984953653157482,0.24696639152797192,0.4877336448598131,0.5021819472312927,0.24984953653157482,-0.0001464314297431879,10,0.0253256392713428,0.29496842451369326,0.5035046728971962
with_macro,gbm,test[80:100],>=0.52,353,0.20619158878504673,0.5276974951830443,0.25005974923959906,0.0029894700661910823,0.002577897765593266,0.2499016924941216,0.24732379472852833,0.509915014164306,0.48688268661499023,0.2499016924941216,-0.00025351555512037605,10,0.05282643185773129,0.3223259523626098,0.5070821529745042
with_macro,lstm,test[80:100],all,1712,1.0,0.517682081674735,0.25033727570959213,0.0018432085467491892,0.0014784650889313991,0.24984953653157482,0.24837107144264342,0.4877336448598131,0.490391793930642,0.24984953653157482,0.00012299572019952576,10,0.029626787706900422,0.2204919269135616,0.509929906542056
with_macro,lstm,test[80:100],>=0.52,1013,0.5917056074766355,0.5254413048902196,0.250787859972662,0.0026257621057512565,0.002131470055553989,0.24997052142483356,0.24783905136927956,0.4945705824284304,0.4835559584546066,0.24997052142483356,0.0003230464976312075,10,0.03439098801485065,0.2741494255640934,0.5133267522211253
with_macro,consensus,test[80:100],all,1712,1.0,0.5244696467953489,0.24976491884017754,0.00236572290641421,0.002431881293377464,0.24984953653157482,0.24741765523819736,0.4877336448598131,0.49404133052922017,0.24984953653157482,-1.8459304434031987e-05,10,0.04570174013834153,0.058680885748470954,0.5093457943925234
with_macro,consensus,test[80:100],>=0.52,978,0.5712616822429907,0.5330151586133048,0.2496046789140378,0.0015562165838322508,0.0021196093153479133,0.2499487707060442,0.2478291613906963,0.49284253578732107,0.48510806960318476,0.2499487707060442,0.00021930093950922602,10,0.04729181402178526,0.13943667509497926,0.5184049079754601
