variant,head,slice,subset,n,mean_predicted,realised,p_low,p_high,gap
baseline,gbm,validation[70:80],all,90,0.4655490815639496,0.37777777777777777,0.4057052731513977,0.477621853351593,0.08777130378617182
baseline,gbm,validation[70:80],all,82,0.48686233162879944,0.4268292682926829,0.4783375859260559,0.4938245713710785,0.06003306333611652
baseline,gbm,validation[70:80],all,85,0.49622148275375366,0.4588235294117647,0.4940185546875,0.4979725182056427,0.037397953341988976
baseline,gbm,validation[70:80],all,87,0.5008247494697571,0.47126436781609193,0.4980582594871521,0.5027287602424622,0.029560381653665146
baseline,gbm,validation[70:80],all,101,0.5060291290283203,0.6039603960396039,0.5027518272399902,0.5075928568840027,-0.09793126701128363
baseline,gbm,validation[70:80],all,86,0.5090280771255493,0.5697674418604651,0.5078675150871277,0.509427011013031,-0.06073936473491581
baseline,gbm,validation[70:80],all,93,0.512056827545166,0.5483870967741935,0.5095587968826294,0.5140746235847473,-0.03633026922902749
baseline,gbm,validation[70:80],all,61,0.5143357515335083,0.5573770491803278,0.5142241716384888,0.5144121050834656,-0.04304129764681952
baseline,gbm,validation[70:80],all,85,0.5156072974205017,0.5882352941176471,0.5145557522773743,0.5175148844718933,-0.07262799669714537
baseline,gbm,validation[70:80],all,86,0.5239325761795044,0.6511627906976745,0.5189123749732971,0.5408647060394287,-0.12723021451817007
baseline,gbm,validation[70:80],>=0.52,25,0.44909191131591797,0.44,0.4057052731513977,0.4583335816860199,0.009091911315917967
baseline,gbm,validation[70:80],>=0.52,13,0.4609549939632416,0.38461538461538464,0.45904576778411865,0.46496903896331787,0.07633960934785694
baseline,gbm,validation[70:80],>=0.52,18,0.4705572724342346,0.3333333333333333,0.4651162624359131,0.47519198060035706,0.1372239391009013
baseline,gbm,validation[70:80],>=0.52,22,0.4763720631599426,0.2727272727272727,0.4754519462585449,0.47685906291007996,0.20364479043266992
baseline,gbm,validation[70:80],>=0.52,15,0.47763344645500183,0.5333333333333333,0.4770391881465912,0.4783375859260559,-0.055699886878331495
baseline,gbm,validation[70:80],>=0.52,21,0.5009599924087524,0.6190476190476191,0.47875308990478516,0.5210691094398499,-0.11808762663886663
baseline,gbm,validation[70:80],>=0.52,18,0.5220887064933777,0.6111111111111112,0.5215229392051697,0.5224245190620422,-0.08902240461773347
baseline,gbm,validation[70:80],>=0.52,19,0.5226864814758301,0.631578947368421,0.5226864814758301,0.5226864814758301,-0.10889246589259094
baseline,gbm,validation[70:80],>=0.52,16,0.5232096910476685,0.6875,0.5229051113128662,0.5234020948410034,-0.16429030895233154
baseline,gbm,validation[70:80],>=0.52,19,0.5300329923629761,0.6842105263157895,0.5234038829803467,0.5408647060394287,-0.15417753395281342
baseline,lstm,validation[70:80],all,86,0.4300662383090618,0.5465116279069767,0.39571788907051086,0.4440183639526367,-0.1164453895979149
baseline,lstm,validation[70:80],all,86,0.4502503875383111,0.4418604651162791,0.44427889585494995,0.45519325137138367,0.008389922422032015
baseline,lstm,validation[70:80],all,85,0.4599509126999799,0.5411764705882353,0.4552871286869049,0.463919460773468,-0.08122555788825536
baseline,lstm,validation[70:80],all,86,0.4675803576097932,0.5,0.4639853835105896,0.47112837433815,-0.03241964239020678
baseline,lstm,validation[70:80],all,85,0.4741927444934845,0.5058823529411764,0.4711458086967468,0.4770336449146271,-0.031689608447691975
baseline,lstm,validation[70:80],all,86,0.48021564407404077,0.6162790697674418,0.4770676791667938,0.4828804135322571,-0.13606342569340107
baseline,lstm,validation[70:80],all,85,0.4860809704836677,0.5058823529411764,0.4828871786594391,0.48971831798553467,-0.01980138245750873
baseline,lstm,validation[70:80],all,86,0.49319999820964283,0.5,0.48973190784454346,0.49762672185897827,-0.0068000017903571686
baseline,lstm,validation[70:80],all,85,0.5033393523272346,0.5294117647058824,0.49776491522789,0.5098450183868408,-0.02607241237864777
baseline,lstm,validation[70:80],all,86,0.5222144660561584,0.5697674418604651,0.5099738836288452,0.559276819229126,-0.04755297580430673
baseline,lstm,validation[70:80],>=0.52,51,0.42329518701515945,0.5686274509803921,0.39571788907051086,0.4354334771633148,-0.1453322639652327
baseline,lstm,validation[70:80],>=0.52,50,0.4415316492319107,0.54,0.43548521399497986,0.4463626742362976,-0.09846835076808935
baseline,lstm,validation[70:80],>=0.52,50,0.4501211965084076,0.4,0.4465909004211426,0.45286446809768677,0.05012119650840757
baseline,lstm,validation[70:80],>=0.52,50,0.45575076043605806,0.42,0.452936053276062,0.4587331712245941,0.03575076043605807
baseline,lstm,validation[70:80],>=0.52,50,0.46126868307590485,0.58,0.4588140845298767,0.4630943536758423,-0.11873131692409511
baseline,lstm,validation[70:80],>=0.52,50,0.4655319738388062,0.56,0.4632030427455902,0.4676308035850525,-0.09446802616119387
baseline,lstm,validation[70:80],>=0.52,50,0.46974725484848023,0.52,0.4676668047904968,0.4716028869152069,-0.050252745151519784
baseline,lstm,validation[70:80],>=0.52,50,0.47350766956806184,0.52,0.4717755615711212,0.4754703640937805,-0.04649233043193818
baseline,lstm,validation[70:80],>=0.52,50,0.47715512454509734,0.5,0.4754899740219116,0.4791954457759857,-0.022844875454902658
baseline,lstm,validation[70:80],>=0.52,51,0.5186702439598009,0.5882352941176471,0.4792008697986603,0.559276819229126,-0.0695650501578462
baseline,consensus,validation[70:80],all,86,0.43879732385624287,0.5581395348837209,0.39571788907051086,0.450547993183136,-0.11934221102747805
baseline,consensus,validation[70:80],all,86,0.45663358427064366,0.4883720930232558,0.4506158232688904,0.4615650475025177,-0.03173850875261214
baseline,consensus,validation[70:80],all,85,0.46476597400272596,0.5647058823529412,0.46162231266498566,0.46792376041412354,-0.09993990835021521
baseline,consensus,validation[70:80],all,86,0.47092202790947846,0.5116279069767442,0.46809954941272736,0.473864421248436,-0.04070587906726575
baseline,consensus,validation[70:80],all,85,0.4764234828598359,0.4117647058823529,0.4740547239780426,0.47894909977912903,0.06465877697748296
baseline,consensus,validation[70:80],all,86,0.4816492646932602,0.5581395348837209,0.47894957661628723,0.48453763127326965,-0.07649027019046073
baseline,consensus,validation[70:80],all,85,0.48798510607551127,0.5294117647058824,0.4845706522464752,0.4930514693260193,-0.041426658630371094
baseline,consensus,validation[70:80],all,86,0.5022852093327878,0.4186046511627907,0.4931414872407913,0.5095616281032562,0.08368055816999703
baseline,consensus,validation[70:80],all,85,0.5132491441333995,0.6,0.5097292959690094,0.5152741074562073,-0.08675085586660047
baseline,consensus,validation[70:80],all,86,0.5231034558179767,0.6162790697674418,0.5153991878032684,0.5515977144241333,-0.09317561394946516
baseline,consensus,validation[70:80],>=0.52,50,0.43272606760263443,0.64,0.39571788907051086,0.4439801573753357,-0.20727393239736558
baseline,consensus,validation[70:80],>=0.52,50,0.44843565702438354,0.5,0.4440183639526367,0.45251330733299255,-0.05156434297561646
baseline,consensus,validation[70:80],>=0.52,49,0.4561596202607058,0.40816326530612246,0.452620729804039,0.459593802690506,0.04799635495458332
baseline,consensus,validation[70:80],>=0.52,50,0.46174490243196487,0.64,0.45959511399269104,0.463454470038414,-0.17825509756803515
baseline,consensus,validation[70:80],>=0.52,50,0.4654642963409424,0.5,0.4635075032711029,0.46735861897468567,-0.034535703659057615
baseline,consensus,validation[70:80],>=0.52,49,0.46906865220897054,0.40816326530612246,0.4675590991973877,0.47044694423675537,0.06090538690284808
baseline,consensus,validation[70:80],>=0.52,50,0.4725493434071541,0.58,0.47052931785583496,0.4742383658885956,-0.10745065659284586
baseline,consensus,validation[70:80],>=0.52,49,0.4756863491267574,0.3469387755102041,0.4742441773414612,0.4769459068775177,0.1287475736165533
baseline,consensus,validation[70:80],>=0.52,50,0.4810162618756294,0.6,0.47697174549102783,0.520807147026062,-0.11898373812437057
baseline,consensus,validation[70:80],>=0.52,50,0.5272122675180435,0.58,0.5210691094398499,0.5515977144241333,-0.05278773248195645
baseline,gbm,test[80:100],all,175,0.4623362123966217,0.5257142857142857,0.40203800797462463,0.4763217568397522,-0.06337807331766399
baseline,gbm,test[80:100],all,177,0.48346394300460815,0.4180790960451977,0.47640353441238403,0.4913616180419922,0.06538484695941044
baseline,gbm,test[80:100],all,164,0.49584105610847473,0.42073170731707316,0.49157410860061646,0.4983207583427429,0.07510934879140158
baseline,gbm,test[80:100],all,173,0.5010761618614197,0.4913294797687861,0.4984540045261383,0.5027287602424622,0.009746682092633574
baseline,gbm,test[80:100],all,167,0.5049869418144226,0.49101796407185627,0.5029339790344238,0.5071895122528076,0.013968977742566335
baseline,gbm,test[80:100],all,189,0.5081447958946228,0.4973544973544973,0.5072610974311829,0.5090952515602112,0.010790298540125476
baseline,gbm,test[80:100],all,157,0.5103172063827515,0.4968152866242038,0.5091133713722229,0.5125157833099365,0.013501919758547642
baseline,gbm,test[80:100],all,206,0.5139625072479248,0.47572815533980584,0.5125210285186768,0.514336884021759,0.03823435190811897
baseline,gbm,test[80:100],all,158,0.5153294801712036,0.5316455696202531,0.5143543481826782,0.516688883304596,-0.016316089449049498
baseline,gbm,test[80:100],all,146,0.524993896484375,0.541095890410959,0.517017126083374,0.5793867111206055,-0.016101993926583957
baseline,gbm,test[80:100],>=0.52,38,0.4370686411857605,0.4473684210526316,0.40203800797462463,0.45384472608566284,-0.010299779866871084
baseline,gbm,test[80:100],>=0.52,38,0.461937814950943,0.6052631578947368,0.45424574613571167,0.4667605757713318,-0.14332534294379384
baseline,gbm,test[80:100],>=0.52,42,0.46880021691322327,0.5714285714285714,0.4668753445148468,0.4698691666126251,-0.10262835451534813
baseline,gbm,test[80:100],>=0.52,31,0.47338220477104187,0.5806451612903226,0.46999427676200867,0.4759906530380249,-0.10726295651928075
baseline,gbm,test[80:100],>=0.52,38,0.476319819688797,0.39473684210526316,0.4759983718395233,0.4767080247402191,0.08158297758353383
baseline,gbm,test[80:100],>=0.52,38,0.47728222608566284,0.4473684210526316,0.4768572747707367,0.477621853351593,0.02991380503303126
baseline,gbm,test[80:100],>=0.52,37,0.4945979118347168,0.5405405405405406,0.4783375859260559,0.5208958983421326,-0.045942628705823774
baseline,gbm,test[80:100],>=0.52,41,0.5217642188072205,0.3902439024390244,0.5210691094398499,0.5224245190620422,0.13152031636819606
baseline,gbm,test[80:100],>=0.52,32,0.5230525135993958,0.53125,0.5226864814758301,0.5236206650733948,-0.008197486400604248
baseline,gbm,test[80:100],>=0.52,38,0.5354099869728088,0.6052631578947368,0.5236225128173828,0.5793867111206055,-0.069853170921928
baseline,lstm,test[80:100],all,172,0.43412754961917566,0.5232558139534884,0.3748134970664978,0.447597861289978,-0.08912826433431276
