report_date_as_yyyy_mm_dd,cot_eur_net,cot_usdindex_net,created_at
2006-06-13 00:00:00+00:00,42322,-5887,2022-09-13 14:16:09.004000+00:00
2006-06-20 00:00:00+00:00,24819,-4444,2022-09-13 14:16:09.004000+00:00
2006-06-27 00:00:00+00:00,39781,-799,2022-09-13 14:16:09.004000+00:00
2006-07-03 00:00:00+00:00,52894,1697,2022-09-13 14:16:09.004000+00:00
2006-07-11 00:00:00+00:00,58436,1759,2022-09-13 14:16:09.004000+00:00
2006-07-18 00:00:00+00:00,39362,3653,2022-09-13 14:16:09.004000+00:00
2006-07-25 00:00:00+00:00,32364,5300,2022-09-13 14:16:09.004000+00:00
2006-08-01 00:00:00+00:00,51021,4943,2022-09-13 14:16:09.004000+00:00
2006-08-08 00:00:00+00:00,67450,4182,2022-09-13 14:16:09.004000+00:00
2006-08-15 00:00:00+00:00,66575,3701,2022-09-13 14:16:09.004000+00:00
2006-08-22 00:00:00+00:00,61363,2638,2022-09-13 14:16:09.004000+00:00
2006-08-29 00:00:00+00:00,55542,2598,2022-09-13 14:16:09.004000+00:00
2006-09-05 00:00:00+00:00,50105,1737,2022-09-13 14:16:09.004000+00:00
2006-09-12 00:00:00+00:00,50531,2933,2022-09-13 14:16:09.004000+00:00
2006-09-19 00:00:00+00:00,33403,-830,2022-09-13 14:16:09.004000+00:00
2006-09-26 00:00:00+00:00,31440,-996,2022-09-13 14:16:09.004000+00:00
2006-10-03 00:00:00+00:00,37530,4397,2022-09-13 14:16:09.004000+00:00
2006-10-10 00:00:00+00:00,13093,7545,2022-09-13 14:16:09.004000+00:00
2006-10-17 00:00:00+00:00,6833,10374,2022-09-13 14:16:09.004000+00:00
2006-10-24 00:00:00+00:00,3849,10995,2022-09-13 14:16:09.004000+00:00
2006-10-31 00:00:00+00:00,41135,9261,2022-09-13 14:16:09.004000+00:00
2006-11-07 00:00:00+00:00,54880,8349,2022-09-13 14:16:09.004000+00:00
2006-11-14 00:00:00+00:00,47370,6626,2022-09-13 14:16:09.004000+00:00
2006-11-21 00:00:00+00:00,49428,6656,2022-09-13 14:16:09.004000+00:00
2006-11-28 00:00:00+00:00,60528,1838,2022-09-13 14:16:09.004000+00:00
2006-12-05 00:00:00+00:00,67218,-8122,2022-09-13 14:16:09.004000+00:00
2006-12-12 00:00:00+00:00,74890,-4744,2022-09-13 14:16:09.004000+00:00
2006-12-19 00:00:00+00:00,70000,-2566,2022-09-13 14:16:09.004000+00:00
2006-12-26 00:00:00+00:00,59960,-2338,2022-09-13 14:16:09.004000+00:00
2007-01-03 00:00:00+00:00,52819,-941,2022-09-13 14:16:09.004000+00:00
2007-01-09 00:00:00+00:00,47594,1174,2022-09-13 14:16:09.004000+00:00
2007-01-16 00:00:00+00:00,24472,4082,2022-09-13 14:16:09.004000+00:00
2007-01-23 00:00:00+00:00,30379,4234,2022-09-13 14:16:09.004000+00:00
2007-01-30 00:00:00+00:00,32953,7644,2022-09-13 14:16:09.004000+00:00
2007-02-06 00:00:00+00:00,17916,7107,2022-09-13 14:16:09.004000+00:00
2007-02-13 00:00:00+00:00,49674,7741,2022-09-13 14:16:09.004000+00:00
2007-02-20 00:00:00+00:00,63501,2376,2022-09-13 14:16:09.004000+00:00
2007-02-27 00:00:00+00:00,69736,98,2022-09-13 14:16:09.004000+00:00
2007-03-06 00:00:00+00:00,55839,-793,2022-09-13 14:16:09.004000+00:00
2007-03-13 00:00:00+00:00,63654,-738,2022-09-13 14:16:09.004000+00:00
2007-03-20 00:00:00+00:00,65637,-4175,2022-09-13 14:16:09.004000+00:00
2007-03-27 00:00:00+00:00,68806,-4705,2022-09-13 14:16:09.004000+00:00
2007-04-03 00:00:00+00:00,75887,-5190,2022-09-13 14:16:09.004000+00:00
2007-04-10 00:00:00+00:00,84626,-5357,2022-09-13 14:16:09.004000+00:00
2007-04-17 00:00:00+00:00,81029,-6101,2022-09-13 14:16:09.004000+00:00
2007-04-24 00:00:00+00:00,85437,-10248,2022-09-13 14:16:09.004000+00:00
2007-05-01 00:00:00+00:00,85745,-13056,2022-09-13 14:16:09.004000+00:00
2007-05-08 00:00:00+00:00,79941,-13214,2022-09-13 14:16:09.004000+00:00
2007-05-15 00:00:00+00:00,93501,-14051,2022-09-13 14:16:09.004000+00:00
2007-05-22 00:00:00+00:00,68788,-12834,2022-09-13 14:16:09.004000+00:00
2007-05-29 00:00:00+00:00,69335,-12806,2022-09-13 14:16:09.004000+00:00
2007-06-05 00:00:00+00:00,61711,-10482,2022-09-13 14:16:09.004000+00:00
2007-06-12 00:00:00+00:00,20594,-9693,2022-09-13 14:16:09.004000+00:00
2007-06-19 00:00:00+00:00,20195,158,2022-09-13 14:16:09.004000+00:00
2007-06-26 00:00:00+00:00,36481,-1153,2022-09-13 14:16:09.004000+00:00
2007-07-03 00:00:00+00:00,50375,-6647,2022-09-13 14:16:09.004000+00:00
2007-07-10 00:00:00+00:00,75365,-10059,2022-09-13 14:16:09.004000+00:00
2007-07-17 00:00:00+00:00,80781,-16083,2022-09-13 14:16:09.004000+00:00
2007-07-24 00:00:00+00:00,84881,-20099,2022-09-13 14:16:09.004000+00:00
2007-07-31 00:00:00+00:00,60267,-21638,2022-09-13 14:16:09.004000+00:00
2007-08-07 00:00:00+00:00,61196,-18880,2022-09-13 14:16:09.004000+00:00
2007-08-14 00:00:00+00:00,48655,-17773,2022-09-13 14:16:09.004000+00:00
2007-08-21 00:00:00+00:00,22997,-11396,2022-09-13 14:16:09.004000+00:00
2007-08-28 00:00:00+00:00,24688,-12072,2022-09-13 14:16:09.004000+00:00
2007-09-04 00:00:00+00:00,30475,-12417,2022-09-13 14:16:09.004000+00:00
2007-09-11 00:00:00+00:00,41145,-15691,2022-09-13 14:16:09.004000+00:00
2007-09-18 00:00:00+00:00,81693,-21186,2022-09-13 14:16:09.004000+00:00
