triangle,block_start,timestamp,fit_rows,intercept,slope
EUR_USD_JPY,12000,2024-01-09 08:00:00+00:00,12000,-3.0766844275946335e-09,1.4994688778835148
EUR_USD_JPY,15000,2024-01-11 10:00:00+00:00,15000,-2.5366993410235228e-09,1.3753219863644521
EUR_USD_JPY,18000,2024-01-13 12:00:00+00:00,18000,-2.5436360330727448e-09,1.3533409730748303
EUR_USD_JPY,21000,2024-01-15 14:00:00+00:00,21000,-2.6877909223537725e-09,1.3568144874710912
EUR_USD_JPY,24000,2024-01-17 16:00:00+00:00,24000,-2.5778451124833617e-09,1.3143226656260125
EUR_USD_JPY,27000,2024-01-19 18:00:00+00:00,27000,-2.2458744460993186e-09,1.2580626373926735
EUR_USD_JPY,30000,2024-01-21 20:00:00+00:00,30000,-2.1373692692873073e-09,1.2293091160996792
EUR_USD_JPY,33000,2024-01-23 22:00:00+00:00,33000,-2.059865605474742e-09,1.2122177591994279
EUR_USD_JPY,36000,2024-01-26 00:00:00+00:00,36000,-2.0677320933020097e-09,1.206134247699679
EUR_USD_JPY,39000,2024-01-28 02:00:00+00:00,39000,-1.9772687593596836e-09,1.1848135244755709
EUR_USD_JPY,42000,2024-01-30 04:00:00+00:00,42000,-1.882433408206789e-09,1.1749368687068689
EUR_USD_JPY,45000,2024-02-01 06:00:00+00:00,45000,-1.8481839874236793e-09,1.1645710741734905
EUR_USD_JPY,48000,2024-02-03 08:00:00+00:00,48000,-1.6364689866899606e-09,1.1238913474494068
EUR_USD_JPY,51000,2024-02-05 10:00:00+00:00,51000,-1.5534857577353254e-09,1.110464168512998
EUR_USD_JPY,54000,2024-02-07 12:00:00+00:00,54000,-1.5316618534688624e-09,1.1016515994702478
EUR_USD_JPY,57000,2024-02-09 14:00:00+00:00,57000,-1.4854014338097528e-09,1.092777083216337
EUR_USD_GBP,12000,2024-01-09 08:00:00+00:00,12000,-2.3898625164207803e-09,1.4522616827835335
EUR_USD_GBP,15000,2024-01-11 10:00:00+00:00,15000,-2.699035952690467e-09,1.470964087930208
EUR_USD_GBP,18000,2024-01-13 12:00:00+00:00,18000,-2.6654339015213162e-09,1.4517323095293622
EUR_USD_GBP,21000,2024-01-15 14:00:00+00:00,21000,-2.529108183287918e-09,1.4374012033062291
EUR_USD_GBP,24000,2024-01-17 16:00:00+00:00,24000,-2.4872163181874704e-09,1.4059287084302277
EUR_USD_GBP,27000,2024-01-19 18:00:00+00:00,27000,-2.2494498398204874e-09,1.3583101400177617
EUR_USD_GBP,30000,2024-01-21 20:00:00+00:00,30000,-2.0638153684555486e-09,1.322275985063116
EUR_USD_GBP,33000,2024-01-23 22:00:00+00:00,33000,-1.994918862930536e-09,1.3168503482933172
EUR_USD_GBP,36000,2024-01-26 00:00:00+00:00,36000,-2.0103788353135256e-09,1.3051838793884658
EUR_USD_GBP,39000,2024-01-28 02:00:00+00:00,39000,-1.8327775927862772e-09,1.2727476973680063
EUR_USD_GBP,42000,2024-01-30 04:00:00+00:00,42000,-1.7420087018643427e-09,1.2617967166074417
EUR_USD_GBP,45000,2024-02-01 06:00:00+00:00,45000,-1.7340037108376455e-09,1.2572516549025976
EUR_USD_GBP,48000,2024-02-03 08:00:00+00:00,48000,-1.5174878237436535e-09,1.2176265800988388
EUR_USD_GBP,51000,2024-02-05 10:00:00+00:00,51000,-1.3861185843487026e-09,1.2010975102098533
EUR_USD_GBP,54000,2024-02-07 12:00:00+00:00,54000,-1.4139189860917969e-09,1.1959095970597122
EUR_USD_GBP,57000,2024-02-09 14:00:00+00:00,57000,-1.3668296043395504e-09,1.1902049118046985
EUR_JPY_GBP,12000,2024-01-09 08:00:00+00:00,12000,-3.552498592084403e-09,1.5522546016736152
EUR_JPY_GBP,15000,2024-01-11 10:00:00+00:00,15000,-4.591417896406683e-09,1.630436388746287
EUR_JPY_GBP,18000,2024-01-13 12:00:00+00:00,18000,-4.377805388001468e-09,1.5903398637601327
EUR_JPY_GBP,21000,2024-01-15 14:00:00+00:00,21000,-4.233753846682896e-09,1.5728881729710043
EUR_JPY_GBP,24000,2024-01-17 16:00:00+00:00,24000,-4.05129712824921e-09,1.5307812601221211
EUR_JPY_GBP,27000,2024-01-19 18:00:00+00:00,27000,-3.598622731799582e-09,1.4736997139381234
EUR_JPY_GBP,30000,2024-01-21 20:00:00+00:00,30000,-3.391964669909708e-09,1.4452983151196503
EUR_JPY_GBP,33000,2024-01-23 22:00:00+00:00,33000,-3.341093320967439e-09,1.4355963908570564
EUR_JPY_GBP,36000,2024-01-26 00:00:00+00:00,36000,-3.35832641175033e-09,1.4229539308636359
EUR_JPY_GBP,39000,2024-01-28 02:00:00+00:00,39000,-3.058520893435186e-09,1.3876909036794713
EUR_JPY_GBP,42000,2024-01-30 04:00:00+00:00,42000,-3.0688940433941912e-09,1.3837578777071986
EUR_JPY_GBP,45000,2024-02-01 06:00:00+00:00,45000,-3.0196208308450363e-09,1.3753757576054957
EUR_JPY_GBP,48000,2024-02-03 08:00:00+00:00,48000,-2.558936988212309e-09,1.329324954868459
EUR_JPY_GBP,51000,2024-02-05 10:00:00+00:00,51000,-2.5103228072192595e-09,1.321992332658654
EUR_JPY_GBP,54000,2024-02-07 12:00:00+00:00,54000,-2.479023001432074e-09,1.3091186811094324
EUR_JPY_GBP,57000,2024-02-09 14:00:00+00:00,57000,-2.399585944571102e-09,1.2996244799152152
