block,hypothesis,challenger,rival,is_registered_primary,n,point_delta,ci_low,ci_high,ci_level,block_len,n_boot,excludes_zero,cleared,alpha_bonferroni
validation,H_den.1,mdn_ensemble,student_t_calendar,True,860,-0.0004516943367285317,-0.0028188959856197517,0.001856721646013019,0.975,5,2000,False,False,0.025
validation,H_den.1,mdn_ensemble,gaussian_calendar,False,860,0.0020847804869952224,-0.00042849079981157316,0.004591731946633368,0.975,5,2000,False,False,0.025
validation,H_den.1,mdn_ensemble,student_t_garch,False,860,0.006872626362890199,0.004242234453294872,0.009613269958542477,0.975,5,2000,True,True,0.025
validation,H_den.1,mdn_ensemble,empirical_unconditional,False,860,0.015647449444193086,0.012546606588509795,0.018810767682318326,0.975,5,2000,True,True,0.025
validation,H_den.2,mdn_ensemble,mdn_symmetric_ensemble,False,860,0.0010599981607216148,-7.806561127952219e-05,0.0022112566801949954,0.975,5,2000,False,False,0.025
test,H_den.1,mdn_ensemble,student_t_calendar,True,1721,-0.0014919860147056324,-0.003163019626571477,0.00011169198449525264,0.975,5,2000,False,False,0.025
test,H_den.1,mdn_ensemble,gaussian_calendar,False,1721,0.001397284177946604,-0.0006065449711261914,0.003218679737067276,0.975,5,2000,False,False,0.025
test,H_den.1,mdn_ensemble,student_t_garch,False,1721,0.005107436035386761,0.0030518782227585933,0.007060279375400869,0.975,5,2000,True,True,0.025
test,H_den.1,mdn_ensemble,empirical_unconditional,False,1721,0.011276025692685834,0.009137464888275779,0.013331653892777089,0.975,5,2000,True,True,0.025
test,H_den.2,mdn_ensemble,mdn_symmetric_ensemble,False,1721,0.0010310783621677996,0.0001367833880328197,0.001835428758494861,0.975,5,2000,True,True,0.025
