block,model,n_rows,crps_mean,nll_mean,pit_mean,pit_var,params
validation,gaussian_calendar,860,0.19407990565273261,0.2907255094435562,0.5045952484359667,0.060453374676228216,"{""c_g"": 1.8011058554485186}"
validation,student_t_calendar,860,0.19154343082900888,0.21640518491923444,0.5059230244661389,0.07415047688956623,"{""c_t"": 1.3478441662138168, ""nu"": 4.929647351254029}"
validation,student_t_garch,860,0.19886775152862757,0.3689476191831429,0.5020015980744706,0.07660418927914542,"{""alpha"": 0.0283695652173913, ""beta"": 0.9684782608695651, ""c_h"": 0.8013302051390007, ""nu"": 5.180717988483468, ""omega"": 0.001043375815388345, ""uncond_var"": 0.3310019828128451}"
validation,empirical_unconditional,860,0.20764257460993046,,0.5030842337784712,0.055951802896537985,"{""n_train_sample"": 6022}"
validation,mdn_ensemble,860,0.19199512516573738,0.20824682183355162,0.49385277821442775,0.07297135409083434,"{""K"": 5, ""components"": 25, ""seeds"": [42, 43, 44, 45, 46]}"
validation,mdn_symmetric_ensemble,860,0.193055123326459,0.21628720304726023,0.48278901804090746,0.0710660723038864,"{""K"": 5, ""shared_mean"": true}"
test,gaussian_calendar,1721,0.22172921270808865,0.4778530167012065,0.4946930053125117,0.06238234573269992,"{""c_g"": 1.8011058554485186}"
test,student_t_calendar,1721,0.2188399425154364,0.3652828584272047,0.49364208156674966,0.07531088394666088,"{""c_t"": 1.3478441662138168, ""nu"": 4.929647351254029}"
test,student_t_garch,1721,0.2254393645655288,0.48385991092953207,0.49486836174842636,0.07653021600208418,"{""alpha"": 0.0283695652173913, ""beta"": 0.9684782608695651, ""c_h"": 0.8013302051390007, ""nu"": 5.180717988483468, ""omega"": 0.001043375815388345, ""uncond_var"": 0.3310019828128451}"
test,empirical_unconditional,1721,0.23160795422282787,,0.4960687434857778,0.06226798402425006,"{""n_train_sample"": 6022}"
test,mdn_ensemble,1721,0.22033192853014205,0.36098148848738243,0.48722072293328644,0.07809875329358987,"{""K"": 5, ""components"": 25, ""seeds"": [42, 43, 44, 45, 46]}"
test,mdn_symmetric_ensemble,1721,0.22136300689230987,0.36521131827549586,0.4780510319404369,0.07623103905413116,"{""K"": 5, ""shared_mean"": true}"
