idx,ts,last_close,p_up,gen_sd,trailing_sd,disp_ratio,gen_distinct
74667,2024-07-11 14:50:00,73.59892,0.7333333333333333,0.0872307677761219,0.1468802879833144,0.5938902283881097,2
74671,2024-07-11 15:10:00,73.84892,0.0,0.06845271862882892,0.1460443289755395,0.4687119254065239,2
74676,2024-07-11 15:35:00,73.49892,0.0,0.07101188273639532,0.14868227100928413,0.477608273362741,2
74677,2024-07-11 15:40:00,73.74892,0.43333333333333335,0.09975966289151342,0.15028965673097444,0.6637826252413891,2
74686,2024-07-12 09:55:00,75.19892,0.1,0.17162720284234204,0.21953494547907745,0.7817762337007926,6
74690,2024-07-12 10:15:00,75.39892,0.7,0.0986997890332163,0.22023445224977778,0.44815780648740844,3
74691,2024-07-12 10:20:00,75.49892,0.7333333333333333,0.12363321002582756,0.22011976037433478,0.5616633864019178,3
74698,2024-07-12 10:55:00,75.44892,0.0,0.11629321059944664,0.2227324262442336,0.5221207013294383,3
74701,2024-07-12 11:10:00,75.44892,0.0,0.10484457094097686,0.22313517699715082,0.4698702031294492,3
74702,2024-07-12 11:15:00,75.49892,0.0,0.06115438764780367,0.22295906306237717,0.2742852737531218,2
74703,2024-07-12 11:20:00,75.49892,0.0,0.08395144737497887,0.22295906306237717,0.3765330111361824,2
74717,2024-07-12 13:30:00,76.29892,0.0,0.06738134838669747,0.20581288337954906,0.32739130456880294,2
74729,2024-07-12 14:30:00,76.39892,0.0,0.12572539218419246,0.19591533395777885,0.6417332918478305,2
74735,2024-07-12 15:00:00,76.69892,0.8333333333333334,0.11769256470021812,0.19339543876505783,0.6085591545061946,3
74741,2024-07-12 15:30:00,76.64892,0.0,0.0,0.19330045211873514,0.0,1
74743,2024-07-12 15:40:00,76.59892,0.0,0.058724941744468066,0.19339939552957552,0.30364594255149874,2
74744,2024-07-12 15:45:00,76.54892,0.0,0.05897419406250661,0.19358922512074095,0.3046357255974583,2
74745,2024-07-12 15:50:00,76.44892,1.0,0.0,0.19387756800721012,0.0,1
74746,2024-07-12 15:55:00,76.24892,0.6666666666666666,0.1553377735709034,0.19529330650003912,0.7954075659570661,2
74747,2024-07-12 16:00:00,76.34892,0.9666666666666667,0.05852636160097581,0.1946837042998894,0.3006228066773489,2
74761,2024-07-15 10:40:00,75.14892,0.8666666666666667,0.08353368930408381,0.21720929907377878,0.3845769479496833,6
74763,2024-07-15 10:50:00,75.19892,0.16666666666666666,0.07442206583876439,0.21705423178731675,0.342873139242398,6
74765,2024-07-15 11:00:00,75.24892,0.0,0.0632170928530935,0.21705423178731675,0.29125022042895504,6
74767,2024-07-15 11:10:00,75.29892,0.0,0.0823461559535887,0.21656716417385755,0.3802338007597596,6
74776,2024-07-15 11:55:00,74.84892,0.13333333333333333,0.09182749057047697,0.21385773090646673,0.42938588276071643,4
74779,2024-07-15 13:10:00,75.14892,0.4666666666666667,0.07688913914199705,0.21530084446462647,0.3571241874744704,6
74784,2024-07-15 13:35:00,75.34892,0.6,0.060312981854531246,0.14148807591078594,0.42627607638512993,4
74786,2024-07-15 13:45:00,75.04892,0.06666666666666667,0.08707094482534834,0.1442359164420518,0.6036703407388128,4
74788,2024-07-15 13:55:00,75.14892,0.6,0.08057391774517961,0.14010760072763737,0.5750859862471811,3
74789,2024-07-15 14:00:00,75.09892,0.1,0.08239465338393943,0.13941040745937558,0.5910222549772647,4
74791,2024-07-15 14:10:00,75.09892,0.2,0.06897799631913001,0.13891551627214715,0.4965463770367907,4
74792,2024-07-15 14:15:00,75.09892,0.16666666666666666,0.06618209969378301,0.13891551627214715,0.4764197799483157,4
74793,2024-07-15 14:20:00,75.14892,0.0,0.0755016423339964,0.13576937478788434,0.5561021581778245,3
74795,2024-07-15 14:30:00,75.09892,0.16666666666666666,0.0662737738199486,0.13501200693316517,0.49087318472908875,4
74800,2024-07-15 14:55:00,74.84892,0.2,0.058966064453125015,0.13507811568498648,0.43653306943249665,2
74804,2024-07-15 15:15:00,74.54892,0.26666666666666666,0.07101578791669837,0.13513097940041396,0.5255329920037627,4
74806,2024-07-15 15:25:00,74.64892,0.5,0.06013183280547979,0.13513097940041402,0.44498924726431427,4
74813,2024-07-15 16:00:00,74.64892,1.0,0.052447807908695146,0.13740344301520832,0.38170664983183883,4
74820,2024-07-16 10:05:00,73.59892,0.5,0.109527177497825,0.17016679790210068,0.6436459923329904,3
74828,2024-07-16 10:45:00,73.79892,0.26666666666666666,0.11496636854284827,0.17369185450209107,0.6618984457988166,3
74835,2024-07-16 11:20:00,73.64892,0.9333333333333333,0.04671172106850504,0.17113984947032948,0.2729447362088714,2
74849,2024-07-16 13:30:00,73.49892,0.5333333333333333,0.08905771844048735,0.14411384077226058,0.6179678368382603,2
74850,2024-07-16 13:35:00,73.44892,0.43333333333333335,0.08532141100298159,0.14412269031023184,0.5920054005328561,2
74852,2024-07-16 13:45:00,73.69892,0.0,0.08415284077852864,0.1444108882404074,0.5827319657395609,2
74856,2024-07-16 14:05:00,73.69892,0.8666666666666667,0.062381345805077745,0.14274625107047123,0.43700864532183903,2
74860,2024-07-16 14:25:00,73.74892,0.0,0.0710906982421875,0.14495565397114474,0.49043066823967424,2
74865,2024-07-16 14:50:00,73.69892,0.8333333333333334,0.06639407265039775,0.14509284433140016,0.45759715412808355,2
74867,2024-07-16 15:00:00,73.74892,0.8666666666666667,0.06201825644355482,0.14554921161845855,0.42609819561324,2
74868,2024-07-16 15:05:00,73.74892,0.8666666666666667,0.06239690677771444,0.1443525878727098,0.4322534683807406,2
74870,2024-07-16 15:15:00,73.64892,0.8333333333333334,0.06871421154306719,0.14456800535607953,0.475307184143684,2
74879,2024-07-16 16:00:00,73.64892,1.0,0.05584945678710936,0.13963162286190986,0.39997713728746287,2
74880,2024-07-17 09:35:00,73.54892,0.7666666666666667,0.4014530296762089,0.13988713803131844,2.8698351780299496,19
74883,2024-07-17 09:50:00,74.44892,0.36666666666666664,0.0804050001922883,0.1491327854468397,0.5391503950749293,4
74884,2024-07-17 09:55:00,74.19892,0.9333333333333333,0.09174028663604845,0.14822866651831584,0.6189105575250694,4
74889,2024-07-17 10:20:00,74.24892,0.6666666666666666,0.1077351138441757,0.15473019920976994,0.6962772257412896,3
74894,2024-07-17 10:45:00,74.34892,0.6,0.1045264131876745,0.15559654451442703,0.6717784994125158,2
74895,2024-07-17 10:50:00,74.44892,0.06666666666666667,0.10012488482787706,0.1556817669804201,0.6431381578580723,3
74896,2024-07-17 10:55:00,74.34892,0.6666666666666666,0.10587939808862551,0.15529297002810175,0.6818041928714843,3
74903,2024-07-17 11:30:00,74.14892,0.23333333333333334,0.07850657221008207,0.15564735583238937,0.5043874455189767,2
74904,2024-07-17 11:35:00,74.29892,0.5333333333333333,0.09887012967818185,0.15631782274580477,0.6324942859456204,2
74908,2024-07-17 11:55:00,74.19892,0.03333333333333333,0.03346143893756035,0.15822193332687862,0.2114841996553707,2
74914,2024-07-17 13:25:00,74.19892,0.16666666666666666,0.06716176566635454,0.11456745375120624,0.5862202874142817,2
