idx,forecast_time,last_context_time,last_close,p_up,gen_mean,gen_sd,gen_distinct,step_gap_h,ctx_max_gap_h,spans_weekend_gap
47650,2024-07-30 08:00:00+00:00,2024-07-30 07:00:00+00:00,1.08197,0.8,1.0820653438568115,0.0005152316298335791,8,1.0,49.0,False
47651,2024-07-30 09:00:00+00:00,2024-07-30 08:00:00+00:00,1.08222,0.2,1.0819982290267944,0.0004534693725872785,10,1.0,49.0,False
47652,2024-07-30 10:00:00+00:00,2024-07-30 09:00:00+00:00,1.08175,0.5333333333333333,1.0814954042434692,0.0004098530043847859,9,1.0,49.0,False
47653,2024-07-30 11:00:00+00:00,2024-07-30 10:00:00+00:00,1.08281,0.6,1.082895040512085,0.00032744393683969975,14,1.0,49.0,False
47654,2024-07-30 12:00:00+00:00,2024-07-30 11:00:00+00:00,1.08314,0.7333333333333333,1.0832290649414062,0.00031629533623345196,12,1.0,49.0,False
47655,2024-07-30 13:00:00+00:00,2024-07-30 12:00:00+00:00,1.08326,0.4,1.0830672979354858,0.00044850120320916176,14,1.0,49.0,False
47656,2024-07-30 14:00:00+00:00,2024-07-30 13:00:00+00:00,1.0824,0.43333333333333335,1.0823910236358643,0.0006202701479196548,12,1.0,49.0,False
47657,2024-07-30 15:00:00+00:00,2024-07-30 14:00:00+00:00,1.08014,0.26666666666666666,1.079850435256958,0.0007441341294907033,11,1.0,49.0,False
47658,2024-07-30 16:00:00+00:00,2024-07-30 15:00:00+00:00,1.08094,0.3333333333333333,1.0807468891143799,0.00043366706813685596,9,1.0,49.0,False
47659,2024-07-30 17:00:00+00:00,2024-07-30 16:00:00+00:00,1.08047,0.06666666666666667,1.0799857378005981,0.0003842694859486073,7,1.0,49.0,False
47660,2024-07-30 18:00:00+00:00,2024-07-30 17:00:00+00:00,1.08085,0.23333333333333334,1.0804264545440674,0.0004668773617595434,9,1.0,49.0,False
47661,2024-07-30 19:00:00+00:00,2024-07-30 18:00:00+00:00,1.08133,0.13333333333333333,1.0811794996261597,0.0002201027236878872,4,1.0,49.0,False
47662,2024-07-30 20:00:00+00:00,2024-07-30 19:00:00+00:00,1.08139,0.8,1.081436276435852,0.00022456044098362327,4,1.0,49.0,False
47663,2024-07-30 21:00:00+00:00,2024-07-30 20:00:00+00:00,1.08107,0.36666666666666664,1.081132173538208,0.00020346371456980705,4,1.0,49.0,False
47664,2024-07-30 22:00:00+00:00,2024-07-30 21:00:00+00:00,1.08103,0.26666666666666666,1.0810348987579346,0.0001751236559357494,2,1.0,49.0,False
47665,2024-07-30 23:00:00+00:00,2024-07-30 22:00:00+00:00,1.08146,0.6333333333333333,1.0813612937927246,0.00021956715499982238,4,1.0,49.0,False
47666,2024-07-31 00:00:00+00:00,2024-07-30 23:00:00+00:00,1.08136,0.5333333333333333,1.0811972618103027,0.0003993377322331071,9,1.0,49.0,False
47667,2024-07-31 01:00:00+00:00,2024-07-31 00:00:00+00:00,1.08142,0.7,1.0815876722335815,0.0003869046049658209,10,1.0,49.0,False
47668,2024-07-31 02:00:00+00:00,2024-07-31 01:00:00+00:00,1.08152,0.7,1.0816738605499268,0.0003272716421633959,7,1.0,49.0,False
47669,2024-07-31 03:00:00+00:00,2024-07-31 02:00:00+00:00,1.08196,0.9666666666666667,1.082081913948059,0.00017596180259715766,4,1.0,49.0,False
47670,2024-07-31 04:00:00+00:00,2024-07-31 03:00:00+00:00,1.08216,0.6,1.0823242664337158,0.00023902388056740165,4,1.0,49.0,False
47671,2024-07-31 05:00:00+00:00,2024-07-31 04:00:00+00:00,1.0826,0.03333333333333333,1.082358956336975,0.0002156192495021969,5,1.0,49.0,False
47672,2024-07-31 06:00:00+00:00,2024-07-31 05:00:00+00:00,1.08216,0.3,1.0821315050125122,0.00031768661574460566,5,1.0,49.0,False
47673,2024-07-31 07:00:00+00:00,2024-07-31 06:00:00+00:00,1.08251,0.5666666666666667,1.0825947523117065,0.00038170572952367365,10,1.0,49.0,False
47674,2024-07-31 08:00:00+00:00,2024-07-31 07:00:00+00:00,1.08243,0.36666666666666664,1.0823302268981934,0.00039412322803400457,10,1.0,49.0,False
47675,2024-07-31 09:00:00+00:00,2024-07-31 08:00:00+00:00,1.08249,0.2,1.0822227001190186,0.00035227081389166415,10,1.0,49.0,False
47676,2024-07-31 10:00:00+00:00,2024-07-31 09:00:00+00:00,1.08177,0.8,1.0818794965744019,0.00039787375135347247,7,1.0,49.0,False
47677,2024-07-31 11:00:00+00:00,2024-07-31 10:00:00+00:00,1.08218,0.3,1.082078218460083,0.00037508882815018296,7,1.0,49.0,False
47678,2024-07-31 12:00:00+00:00,2024-07-31 11:00:00+00:00,1.08255,0.5333333333333333,1.0825858116149902,0.00028857748839072883,7,1.0,49.0,False
47679,2024-07-31 13:00:00+00:00,2024-07-31 12:00:00+00:00,1.08327,0.43333333333333335,1.083123803138733,0.00033717078622430563,14,1.0,49.0,False
47680,2024-07-31 14:00:00+00:00,2024-07-31 13:00:00+00:00,1.08278,0.7666666666666667,1.0831018686294556,0.0005387083510868251,18,1.0,49.0,False
47681,2024-07-31 15:00:00+00:00,2024-07-31 14:00:00+00:00,1.08401,0.4,1.0839236974716187,0.0004708748892880976,17,1.0,49.0,False
47682,2024-07-31 16:00:00+00:00,2024-07-31 15:00:00+00:00,1.08419,0.36666666666666664,1.0841246843338013,0.00027847682940773666,13,1.0,49.0,False
47683,2024-07-31 17:00:00+00:00,2024-07-31 16:00:00+00:00,1.08212,0.7333333333333333,1.082287311553955,0.0004614034260157496,11,1.0,49.0,False
47684,2024-07-31 18:00:00+00:00,2024-07-31 17:00:00+00:00,1.08227,0.43333333333333335,1.082276463508606,0.0004313405370339751,12,1.0,49.0,False
47685,2024-07-31 19:00:00+00:00,2024-07-31 18:00:00+00:00,1.08088,0.36666666666666664,1.0807640552520752,0.0004988914588466287,10,1.0,49.0,False
47686,2024-07-31 20:00:00+00:00,2024-07-31 19:00:00+00:00,1.08149,0.16666666666666666,1.0812197923660278,0.000396482995711267,7,1.0,49.0,False
47687,2024-07-31 21:00:00+00:00,2024-07-31 20:00:00+00:00,1.0826,0.06666666666666667,1.082226037979126,0.00026401758077554405,5,1.0,49.0,False
47688,2024-07-31 22:00:00+00:00,2024-07-31 21:00:00+00:00,1.08223,0.8333333333333334,1.082362413406372,0.00021588416711892933,4,1.0,49.0,False
47689,2024-07-31 23:00:00+00:00,2024-07-31 22:00:00+00:00,1.08247,0.26666666666666666,1.082399606704712,0.00024300144286826253,4,1.0,49.0,False
47690,2024-08-01 00:00:00+00:00,2024-07-31 23:00:00+00:00,1.08263,0.3,1.0824767351150513,0.0003299893578514457,8,1.0,49.0,False
47691,2024-08-01 01:00:00+00:00,2024-08-01 00:00:00+00:00,1.08237,0.8333333333333334,1.0824795961380005,0.00028463907074183226,9,1.0,49.0,False
47692,2024-08-01 02:00:00+00:00,2024-08-01 01:00:00+00:00,1.08233,0.4,1.0820485353469849,0.00036513296072371304,8,1.0,49.0,False
47693,2024-08-01 03:00:00+00:00,2024-08-01 02:00:00+00:00,1.08271,0.5333333333333333,1.082826018333435,0.0002888655581045896,6,1.0,49.0,False
47694,2024-08-01 04:00:00+00:00,2024-08-01 03:00:00+00:00,1.0827,0.3,1.0826609134674072,0.0002256015141028911,4,1.0,49.0,False
47695,2024-08-01 05:00:00+00:00,2024-08-01 04:00:00+00:00,1.08257,0.5,1.0824633836746216,0.00019673097995109856,5,1.0,49.0,False
47696,2024-08-01 06:00:00+00:00,2024-08-01 05:00:00+00:00,1.08324,0.2,1.0829761028289795,0.00027510535437613726,8,1.0,49.0,False
47697,2024-08-01 07:00:00+00:00,2024-08-01 06:00:00+00:00,1.0826,0.5,1.082515835762024,0.0004189186729490757,11,1.0,49.0,False
47698,2024-08-01 08:00:00+00:00,2024-08-01 07:00:00+00:00,1.08268,0.2,1.0824239253997803,0.00039026167360134423,14,1.0,49.0,False
47699,2024-08-01 09:00:00+00:00,2024-08-01 08:00:00+00:00,1.08158,0.6333333333333333,1.081708312034607,0.00040518358582630754,14,1.0,49.0,False
47700,2024-08-01 10:00:00+00:00,2024-08-01 09:00:00+00:00,1.08007,0.6333333333333333,1.0803765058517456,0.0005343998200260103,9,1.0,49.0,False
47701,2024-08-01 11:00:00+00:00,2024-08-01 10:00:00+00:00,1.07839,0.9333333333333333,1.0788288116455078,0.0005498017999343574,9,1.0,49.0,False
47702,2024-08-01 12:00:00+00:00,2024-08-01 11:00:00+00:00,1.07773,0.9,1.0786921977996826,0.0007297120173461735,9,1.0,49.0,False
47703,2024-08-01 13:00:00+00:00,2024-08-01 12:00:00+00:00,1.0784,1.0,1.079702615737915,0.0006231229053810239,13,1.0,49.0,False
47704,2024-08-01 14:00:00+00:00,2024-08-01 13:00:00+00:00,1.07912,0.9666666666666667,1.079982876777649,0.0005175477126613259,11,1.0,49.0,False
47705,2024-08-01 15:00:00+00:00,2024-08-01 14:00:00+00:00,1.0796,0.7666666666666667,1.080045223236084,0.0006358567625284195,11,1.0,49.0,False
47706,2024-08-01 16:00:00+00:00,2024-08-01 15:00:00+00:00,1.08022,0.4,1.0801589488983154,0.00042926319292746484,11,1.0,49.0,False
47707,2024-08-01 17:00:00+00:00,2024-08-01 16:00:00+00:00,1.07916,0.9,1.0799051523208618,0.00035419550840742886,8,1.0,49.0,False
47708,2024-08-01 18:00:00+00:00,2024-08-01 17:00:00+00:00,1.0788,0.36666666666666664,1.0786865949630737,0.0006349244504235685,8,1.0,49.0,False
47709,2024-08-01 19:00:00+00:00,2024-08-01 18:00:00+00:00,1.07858,0.8666666666666667,1.079048991203308,0.0005213636322878301,6,1.0,49.0,False
47710,2024-08-01 20:00:00+00:00,2024-08-01 19:00:00+00:00,1.07911,0.6333333333333333,1.079252004623413,0.0004735256952699274,5,1.0,49.0,False
47711,2024-08-01 21:00:00+00:00,2024-08-01 20:00:00+00:00,1.07835,0.7333333333333333,1.0784443616867065,0.00027757909265346825,3,1.0,49.0,False
47712,2024-08-01 22:00:00+00:00,2024-08-01 21:00:00+00:00,1.07895,0.16666666666666666,1.0785032510757446,0.00027820555260404944,3,1.0,49.0,False
47713,2024-08-01 23:00:00+00:00,2024-08-01 22:00:00+00:00,1.07905,0.0,1.0785752534866333,0.00027058616979047656,3,1.0,49.0,False
47714,2024-08-02 00:00:00+00:00,2024-08-01 23:00:00+00:00,1.07911,0.03333333333333333,1.078521728515625,0.0003332992782816291,4,1.0,49.0,False
47715,2024-08-02 01:00:00+00:00,2024-08-02 00:00:00+00:00,1.0788,0.36666666666666664,1.0786316394805908,0.0003820309939328581,4,1.0,49.0,False
47716,2024-08-02 02:00:00+00:00,2024-08-02 01:00:00+00:00,1.07858,0.5,1.0787537097930908,0.0003802561550401151,4,1.0,49.0,False
47717,2024-08-02 03:00:00+00:00,2024-08-02 02:00:00+00:00,1.07906,0.06666666666666667,1.0786559581756592,0.000309597555315122,4,1.0,49.0,False
47718,2024-08-02 04:00:00+00:00,2024-08-02 03:00:00+00:00,1.07903,0.5333333333333333,1.078985571861267,0.00027644532383419573,3,1.0,49.0,False
47719,2024-08-02 05:00:00+00:00,2024-08-02 04:00:00+00:00,1.07898,0.5333333333333333,1.078871488571167,0.00033272153814323246,4,1.0,49.0,False
47720,2024-08-02 06:00:00+00:00,2024-08-02 05:00:00+00:00,1.07925,0.36666666666666664,1.0792450904846191,0.00036051461938768625,6,1.0,49.0,False
47721,2024-08-02 07:00:00+00:00,2024-08-02 06:00:00+00:00,1.07972,0.3,1.0796115398406982,0.00032320627360604703,7,1.0,49.0,False
47722,2024-08-02 08:00:00+00:00,2024-08-02 07:00:00+00:00,1.08037,0.4666666666666667,1.0803989171981812,0.00046356109669432044,10,1.0,49.0,False
47723,2024-08-02 09:00:00+00:00,2024-08-02 08:00:00+00:00,1.07955,0.7333333333333333,1.079821228981018,0.0004337567661423236,9,1.0,49.0,False
47724,2024-08-02 10:00:00+00:00,2024-08-02 09:00:00+00:00,1.08035,0.23333333333333334,1.080106496810913,0.0003463813045527786,7,1.0,49.0,False
47725,2024-08-02 11:00:00+00:00,2024-08-02 10:00:00+00:00,1.08142,0.7666666666666667,1.0817396640777588,0.000532647012732923,12,1.0,49.0,False
47726,2024-08-02 12:00:00+00:00,2024-08-02 11:00:00+00:00,1.08201,0.26666666666666666,1.0818349123001099,0.0005799555801786482,9,1.0,49.0,False
47727,2024-08-02 13:00:00+00:00,2024-08-02 12:00:00+00:00,1.08224,0.26666666666666666,1.0817168951034546,0.000547494855709374,14,1.0,49.0,False
47728,2024-08-02 14:00:00+00:00,2024-08-02 13:00:00+00:00,1.08305,0.6333333333333333,1.0830268859863281,0.00047014225856401026,22,1.0,49.0,False
47729,2024-08-02 15:00:00+00:00,2024-08-02 14:00:00+00:00,1.08907,0.1,1.0870088338851929,0.0016158348880708218,22,1.0,49.0,False
47730,2024-08-02 16:00:00+00:00,2024-08-02 15:00:00+00:00,1.09048,0.16666666666666666,1.0895497798919678,0.0010585460113361478,22,1.0,49.0,False
47731,2024-08-02 17:00:00+00:00,2024-08-02 16:00:00+00:00,1.09217,0.1,1.0911768674850464,0.0009124535135924816,18,1.0,49.0,False
47732,2024-08-02 18:00:00+00:00,2024-08-02 17:00:00+00:00,1.09129,0.5,1.0911026000976562,0.0010289103956893086,13,1.0,49.0,False
