logged_utc,as_of_bar_close,as_of_close,forecast_window_start,forecast_window_end,minutes_remaining,forecast_bar_status,spans_weekend_gap,context_bars,trailing_bars,horizon_bars,sample_count,temperature,top_p,pred_vol_pct_24h,pred_vol_pct_24h_scaled,pred_vol_scale_constant,path_endpoint_sd_pct,p_vol_amp_raw,p_vol_amp_calibrated,trailing_rv_24h_pct,n_paths,gen_distinct_endpoints,calibration_fitted_utc,model,model_version,device,data_source
2026-08-04T16:24:43.561435,2026-08-04T18:00:00,1.15257,2026-08-04T18:00:00,2026-08-05T18:00:00,1415,open,False,512,24,24,30,1.0,0.9,0.21901771110822615,0.33444442856592915,0.6548702636409777,0.1551202882176661,0.8666666666666667,1.0,0.17836301751901085,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-04T16:26:05.128115,2026-08-04T18:00:00,1.15257,2026-08-04T18:00:00,2026-08-05T18:00:00,1413,open,False,512,24,24,30,1.0,0.9,0.22546398464212236,0.3442880172762424,0.6548702636409777,0.14741987354323774,0.8666666666666667,1.0,0.17836301751901085,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-04T16:26:51.997835,2026-08-04T18:00:00,1.15257,2026-08-04T18:00:00,2026-08-05T18:00:00,1413,open,False,512,24,24,30,1.0,0.9,0.2126654965678335,0.3247444698213141,0.6548702636409777,0.1514953991931232,0.8,0.8333333333333334,0.17836301751901085,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-04T16:30:55.599218,2026-08-04T18:00:00,1.15257,2026-08-04T18:00:00,2026-08-05T18:00:00,1409,open,False,512,24,24,30,1.0,0.9,0.21093010649438793,0.3220944944448219,0.6548702636409777,0.11135290485376181,0.9,1.0,0.17836301751901085,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-04T16:31:51.935264,2026-08-04T18:00:00,1.15257,2026-08-04T18:00:00,2026-08-05T18:00:00,1408,open,False,512,24,24,30,1.0,0.9,0.19970097855157015,0.30494739132185283,0.6548702636409777,0.14020975188694232,0.7,0.8333333333333334,0.17836301751901085,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-04T16:41:27.618649,2026-08-04T18:00:00,1.15257,2026-08-04T18:00:00,2026-08-05T18:00:00,1398,open,False,512,24,24,30,1.0,0.9,0.21558500506033224,0.3292026177241777,0.6548702636409777,0.1283047150253487,0.7333333333333333,0.8333333333333334,0.17836301751901085,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-04T16:42:32.965471,2026-08-04T18:00:00,1.15257,2026-08-04T18:00:00,2026-08-05T18:00:00,1397,open,False,512,24,24,30,1.0,0.9,0.2292037685071218,0.34999874209096654,0.6548702636409777,0.11694978767414631,0.9,1.0,0.17836301751901085,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-04T18:28:35.716177,2026-08-04T20:00:00,1.15235,2026-08-04T20:00:00,2026-08-05T20:00:00,1411,open,False,512,24,24,30,1.0,0.9,0.21782047210531694,0.33261622064539736,0.6548702636409777,0.12157560725133496,0.8333333333333334,0.8333333333333334,0.19006889348010894,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-04T18:44:50.002654,2026-08-04T20:00:00,1.15235,2026-08-04T20:00:00,2026-08-05T20:00:00,1395,open,False,512,24,24,30,1.0,0.9,0.21486927596976868,0.32810968507735966,0.6548702636409777,0.1470326428228137,0.7666666666666667,0.8333333333333334,0.19006889348010894,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-04T18:45:34.642193,2026-08-04T20:00:00,1.15235,2026-08-04T20:00:00,2026-08-05T20:00:00,1394,open,False,512,24,24,30,1.0,0.9,0.20810994407778136,0.3177880499882864,0.6548702636409777,0.1402276011317489,0.6,0.7894736842105263,0.19006889348010894,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-04T18:47:43.688082,2026-08-04T20:00:00,1.15235,2026-08-04T20:00:00,2026-08-05T20:00:00,1392,open,False,512,24,24,30,1.0,0.9,0.20773756209832403,0.31721941525232067,0.6548702636409777,0.09373101161309978,0.8,0.8333333333333334,0.19006889348010894,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-04T18:57:46.298279,2026-08-04T20:00:00,1.15235,2026-08-04T20:00:00,2026-08-05T20:00:00,1382,open,False,512,24,24,30,1.0,0.9,0.20640783530154735,0.31518889581877124,0.6548702636409777,0.16537906322122517,0.7,0.8333333333333334,0.19006889348010894,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-04T19:48:05.400873,2026-08-04T21:00:00,1.15322,2026-08-04T21:00:00,2026-08-05T21:00:00,1391,open,False,512,24,24,30,1.0,0.9,0.21920939433944156,0.33473713269659117,0.6548702636409777,0.18254914889593835,0.8,0.8333333333333334,0.17793370558943414,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
2026-08-05T04:39:29.711044,2026-08-05T06:00:00,1.15368,2026-08-05T06:00:00,2026-08-06T06:00:00,1400,open,False,512,24,24,30,1.0,0.9,0.20913475194102613,0.3193529521072909,0.6548702636409777,0.16442841391944182,0.7333333333333333,0.8333333333333334,0.17849546674597108,30,30,2026-08-04T16:17:15Z,mini,kronos-mini@f4e68697d9+tok@26966d0035+src@67b630e67f,cuda:0,MT5
