instrument,idx,ts,last_close,pred_ret,gen_sd,gen_distinct,p_up,pred_rv
AUDJPY,633,2024-08-06 09:00:00,94.819,0.0017363397682772508,0.2625400156238085,3,0.9333333333333333,
AUDNZD,633,2024-08-06 09:00:00,1.09813,0.00041544950266136915,0.0007516903822218299,7,0.7666666666666667,
AUDUSD,633,2024-08-06 09:00:00,0.65109,0.0001132149738267696,0.0005578983369053309,7,0.5,
CADJPY,633,2024-08-06 09:00:00,105.311,0.002009811251886262,0.23832057616091182,3,0.7333333333333333,
CADUSD,633,2024-08-06 09:00:00,0.7232383721350719,0.00024367307883510492,0.0003769718762463617,10,0.7,
CHFJPY,633,2024-08-06 09:00:00,170.394,0.0005226393307262711,0.27590717631442674,5,0.7333333333333333,
CHFUSD,633,2024-08-06 09:00:00,1.170220235448311,-0.0005411486090817208,0.0011060213195842046,3,0.06666666666666667,
EURAUD,633,2024-08-06 09:00:00,1.67984,-0.0003671614553079072,0.0024458278874787153,11,0.36666666666666664,
EURCAD,633,2024-08-06 09:00:00,1.5124300000000002,1.930577536124467e-05,0.0006884961019629698,6,0.23333333333333334,
EURCHF,633,2024-08-06 09:00:00,0.93478,0.0014395132046931547,0.000898962822189662,3,1.0,
EURGBP,633,2024-08-06 09:00:00,0.85754,0.0003228410945812499,0.0005227185899244872,5,0.8333333333333334,
EURJPY,633,2024-08-06 09:00:00,159.294,0.0022378148538513276,0.5263862833712935,4,0.7,
EURUSD,633,2024-08-06 09:00:00,1.09385,-2.4680011956879078e-05,0.0005686191630410654,12,0.6,
GBPAUD,633,2024-08-06 09:00:00,1.9588,0.00013862611421244786,0.0016867633051118646,6,0.36666666666666664,
GBPJPY,633,2024-08-06 09:00:00,185.742,0.0004231751555361374,0.3761241835432383,3,0.8666666666666667,
GBPUSD,633,2024-08-06 09:00:00,1.27546,8.84232486075831e-06,0.0007532653179592057,4,0.6333333333333333,
JPYUSD,633,2024-08-06 09:00:00,0.0068666227202812,-0.0015424004569567495,1.4471661792068541e-05,5,0.4666666666666667,
NZDJPY,633,2024-08-06 09:00:00,86.33,0.0023586615351038898,0.25528853091792,3,0.9,
NZDUSD,633,2024-08-06 09:00:00,0.59277,-0.0007622998358365329,0.0006945801991211098,8,0.16666666666666666,
AUDJPY,660,2024-08-07 12:00:00,96.924,-0.0028683036877772405,0.24607141938183147,7,0.26666666666666666,
AUDNZD,660,2024-08-07 12:00:00,1.09125,-0.00013386543218585345,0.000699745816552683,4,0.6333333333333333,
AUDUSD,660,2024-08-07 12:00:00,0.65678,-0.0006548897803351217,0.0005309585084167329,7,0.23333333333333334,
CADJPY,660,2024-08-07 12:00:00,107.32,-0.00015186561473556903,0.2913631149689614,9,0.4666666666666667,
CADUSD,660,2024-08-07 12:00:00,0.727320333694569,-0.00043912686947977786,0.00036357951411945507,14,0.13333333333333333,
CHFJPY,660,2024-08-07 12:00:00,170.97,8.589379449186474e-05,0.2559490280755037,10,0.3,
CHFUSD,660,2024-08-07 12:00:00,1.1588022619820155,0.00044095500628138495,0.0020356319818827257,13,0.5333333333333333,
EURAUD,660,2024-08-07 12:00:00,1.66143,0.00031372011411612277,0.00208839225921901,6,0.5333333333333333,
EURCAD,660,2024-08-07 12:00:00,1.50046,0.00019548622652942882,0.000929949411323174,9,0.36666666666666664,
EURCHF,660,2024-08-07 12:00:00,0.94178,-0.0010951262989306043,0.0008856048067602988,9,0.3333333333333333,
EURGBP,660,2024-08-07 12:00:00,0.85865,0.00027336397976074345,0.0005186873570920238,3,0.8333333333333334,
EURJPY,660,2024-08-07 12:00:00,161.044,3.641363091655414e-05,0.3184763739313572,8,0.4,
EURUSD,660,2024-08-07 12:00:00,1.09131,-2.2411004165778792e-05,0.0004775362686185105,12,0.5,
GBPAUD,660,2024-08-07 12:00:00,1.93475,7.773359632001764e-05,0.00173179625107852,6,0.7,
GBPJPY,660,2024-08-07 12:00:00,187.544,-0.002006493986494551,0.47814279161648426,3,0.2,
GBPUSD,660,2024-08-07 12:00:00,1.27085,-0.0006671295974470803,0.0008619389381205187,4,0.13333333333333333,
JPYUSD,660,2024-08-07 12:00:00,0.0067763532377415,0.0005792216273758921,1.3890958604690205e-05,8,0.5,
NZDJPY,660,2024-08-07 12:00:00,88.803,-0.004144796268342077,0.23975793393730793,7,0.1,
NZDUSD,660,2024-08-07 12:00:00,0.60172,-0.0008823160356077331,0.0006011142401168625,9,0.2,
AUDJPY,754,2024-08-13 10:00:00,97.686,0.001373087535946338,0.17837155219917308,4,0.8666666666666667,
AUDNZD,754,2024-08-13 10:00:00,1.09326,0.000177901041044759,0.00041668260910727366,6,0.5666666666666667,
AUDUSD,754,2024-08-13 10:00:00,0.66071,-0.000990838174027564,0.00031525557608885535,9,0.1,
CADJPY,754,2024-08-13 10:00:00,107.696,0.0010177500091039793,0.13643175653384979,3,0.8,
CADUSD,754,2024-08-13 10:00:00,0.7284966015633537,-0.00023777657133350338,0.00021250641311909538,5,0.1,
CHFJPY,754,2024-08-13 10:00:00,170.509,-3.1929068390113e-05,0.07875924435259293,4,0.06666666666666667,
CHFUSD,754,2024-08-13 10:00:00,1.1534956686237643,0.0003584221742549687,0.0009102364687566805,2,0.6333333333333333,
EURAUD,754,2024-08-13 10:00:00,1.65412,0.0005020793742938068,0.0008644238976948052,11,0.8333333333333334,
EURCAD,754,2024-08-13 10:00:00,1.50035,8.348693434068188e-05,0.00036022542805439606,11,0.6666666666666666,
EURCHF,754,2024-08-13 10:00:00,0.94759,-0.0005657726448828893,0.0005261099542051794,4,0.06666666666666667,
EURGBP,754,2024-08-13 10:00:00,0.85323,8.472748152654752e-05,0.0004876795785793434,5,0.6,
EURJPY,754,2024-08-13 10:00:00,161.595,-0.00019303091310785003,0.1840302883407797,2,0.4666666666666667,
EURUSD,754,2024-08-13 10:00:00,1.09297,-0.0001360076548574396,0.0003629849126611753,9,0.3333333333333333,
GBPAUD,754,2024-08-13 10:00:00,1.93852,-0.0002693202369649095,0.0010610962964344196,8,0.5666666666666667,
GBPJPY,754,2024-08-13 10:00:00,189.379,-0.0017130207480765547,0.22136230468749998,2,0.2,
GBPUSD,754,2024-08-13 10:00:00,1.28087,-0.0002512920965679344,0.00048106138107491237,9,0.23333333333333334,
JPYUSD,754,2024-08-13 10:00:00,0.0067635660225497,0.0009586209327645534,8.119129224787864e-06,3,0.8666666666666667,
NZDJPY,754,2024-08-13 10:00:00,89.337,-0.0013889138940572643,0.12507507267053322,4,0.3333333333333333,
NZDUSD,754,2024-08-13 10:00:00,0.60421,-0.0007527054227898233,0.000236991874205112,6,0.06666666666666667,
AUDJPY,1152,2024-09-05 00:00:00,96.561,-5.821477465517422e-05,0.12756402416507173,8,0.5,
AUDNZD,1152,2024-09-05 00:00:00,1.08432,-0.0003998701679485128,0.0005319621866536682,4,0.26666666666666666,
AUDUSD,1152,2024-09-05 00:00:00,0.67231,-0.00020554909324044246,0.00028966533298019906,3,0.23333333333333334,
CADJPY,1152,2024-09-05 00:00:00,106.334,0.0006543146803166255,0.09983320481895967,9,0.6333333333333333,
CADUSD,1152,2024-09-05 00:00:00,0.740433597914939,2.0797952969831002e-05,0.00025405821993699097,4,0.5,
CHFJPY,1152,2024-09-05 00:00:00,169.527,0.0003832926589266705,0.15316659782163933,11,0.7333333333333333,
CHFUSD,1152,2024-09-05 00:00:00,1.1814186475119324,-0.0006503787468273847,0.0007371777385500205,6,0.16666666666666666,
