instrument,idx,ts,last_close,pred_ret,gen_sd,gen_distinct,p_up,pred_rv
AUDJPY,512,2024-07-30 11:00:00,101.386,0.00017627097526595747,0.26331148381878877,27,0.6666666666666666,0.002318538434964631
AUDNZD,512,2024-07-30 11:00:00,1.11274,-1.3837713713438227e-05,0.0007273686660697397,18,0.43333333333333335,0.0006279589678639279
AUDUSD,512,2024-07-30 11:00:00,0.65551,0.0006382712773365107,0.000788546441258225,28,0.6333333333333333,0.001087055420111407
CADJPY,512,2024-07-30 11:00:00,111.712,-0.00031717415697363194,0.25301124205278586,27,0.43333333333333335,0.0018824550582503224
CADUSD,512,2024-07-30 11:00:00,0.722381547485751,4.961212984722074e-05,0.0004943520976717967,17,0.4666666666666667,0.0005176967063178753
CHFJPY,512,2024-07-30 11:00:00,174.286,0.00018201739380163673,0.35879332168679157,29,0.5,0.0014965249854543919
CHFUSD,512,2024-07-30 11:00:00,1.1272178010235137,0.0005184270687104142,0.0007116973401863129,15,0.9333333333333333,0.0006098698666686523
EURAUD,512,2024-07-30 11:00:00,1.65046,-0.0005317197593460721,0.0022591294628656364,25,0.3333333333333333,0.0014564518164181196
EURCAD,512,2024-07-30 11:00:00,1.49786,3.7850321236598816e-05,0.001160122376364472,15,0.6333333333333333,0.0006650522215527942
EURCHF,512,2024-07-30 11:00:00,0.95993,0.00030190578432343074,0.0007701585235079523,30,0.6666666666666666,0.0006822613186858447
EURGBP,512,2024-07-30 11:00:00,0.84204,-6.155979944222345e-05,0.0004844765156201734,29,0.4666666666666667,0.0004854192391554073
EURJPY,512,2024-07-30 11:00:00,167.345,0.000857582636715426,0.3434451481036672,30,0.7333333333333333,0.0016424414136531561
EURUSD,512,2024-07-30 11:00:00,1.08197,0.000387066574997208,0.000721120659322929,23,0.7666666666666667,0.0005438068903027215
GBPAUD,512,2024-07-30 11:00:00,1.95986,-9.859038038195767e-05,0.002984589148332251,20,0.43333333333333335,0.001345859238065462
GBPJPY,512,2024-07-30 11:00:00,198.718,-0.00013687242876569972,0.3458689634522746,29,0.5,0.0014992963460375103
GBPUSD,512,2024-07-30 11:00:00,1.28483,5.596774161364948e-05,0.0008569344146419854,30,0.5333333333333333,0.0006459976300015811
JPYUSD,512,2024-07-30 11:00:00,0.0064657541332333,0.0009318496594716841,1.6320213038771045e-05,15,0.7333333333333333,0.0017690719240867944
NZDJPY,512,2024-07-30 11:00:00,91.095,0.00048454144104082,0.2411067154143229,26,0.5666666666666667,0.0024562880904499913
NZDUSD,512,2024-07-30 11:00:00,0.58898,-4.898200911129802e-05,0.0008758668307635956,18,0.43333333333333335,0.0009913544005646468
AUDJPY,516,2024-07-30 15:00:00,101.33,0.001488110153191613,0.2122813529013404,30,0.8333333333333334,0.0029336562010939546
AUDNZD,516,2024-07-30 15:00:00,1.11022,0.0007256967854332164,0.0008333902180586599,30,0.8333333333333334,0.0010327651698694654
AUDUSD,516,2024-07-30 15:00:00,0.65456,0.0009311005420928886,0.0006758412970535033,27,0.9666666666666667,0.001082420243280514
CADJPY,516,2024-07-30 15:00:00,111.824,-2.2359835195828737e-05,0.2926274897950622,30,0.5666666666666667,0.0027812204759367215
CADUSD,516,2024-07-30 15:00:00,0.7224441731265216,-5.6917455236171755e-05,0.0005211896764360277,19,0.4,0.00046309466211284697
CHFJPY,516,2024-07-30 15:00:00,174.712,0.0010263706837672082,0.4322138273046451,30,0.6,0.0020342407595995205
CHFUSD,516,2024-07-30 15:00:00,1.12894849736955,-0.0006556489686967426,0.0012306022816399016,14,0.2,0.0007960301333463411
EURAUD,516,2024-07-30 15:00:00,1.6545800000000002,-0.0013469908085262938,0.0025024371816290514,20,0.23333333333333334,0.001225338867263012
EURCAD,516,2024-07-30 15:00:00,1.49929,-0.00017637985198915018,0.0015326208641670339,23,0.4666666666666667,0.0010206101284022824
EURCHF,516,2024-07-30 15:00:00,0.95948,0.000502554700839708,0.0008091731294965088,30,0.7,0.0009894393093253886
EURGBP,516,2024-07-30 15:00:00,0.8421,-0.00014004439123782575,0.0005184497956169463,30,0.36666666666666664,0.0005904942829075225
EURJPY,516,2024-07-30 15:00:00,167.671,-0.0002892199292608977,0.2307071183063948,29,0.4,0.0021002213272405994
EURUSD,516,2024-07-30 15:00:00,1.08314,-0.0002784458346848373,0.0007541201851498355,29,0.26666666666666666,0.0007868208729454391
GBPAUD,516,2024-07-30 15:00:00,1.96473,-0.00015662729116916463,0.003344562562301184,22,0.5333333333333333,0.0014350667682021979
GBPJPY,516,2024-07-30 15:00:00,199.106,2.6773016039260966e-05,0.42576898306132227,29,0.6,0.002213639915498148
GBPUSD,516,2024-07-30 15:00:00,1.28618,0.00034130199372461867,0.0007180717873412716,29,0.6666666666666666,0.0005509830212684573
JPYUSD,516,2024-07-30 15:00:00,0.0064596979445241,0.0006394799052760192,1.7007482082194227e-05,20,0.5666666666666667,0.002254019010484357
NZDJPY,516,2024-07-30 15:00:00,91.254,-0.0004350574709753863,0.27949172040970144,28,0.6,0.00272453746280818
NZDUSD,516,2024-07-30 15:00:00,0.58946,0.0003884885501470592,0.000803332753414491,26,0.6,0.001340769050449174
AUDJPY,520,2024-07-30 19:00:00,100.844,0.0014184128121739192,0.2381463438788149,27,0.6,0.0026367322772968033
AUDNZD,520,2024-07-30 19:00:00,1.10768,0.0008781981907868275,0.0008732235995456413,30,0.8333333333333334,0.0008784183821711281
AUDUSD,520,2024-07-30 19:00:00,0.65347,0.0014840970490395122,0.000340538266235163,17,1.0,0.0006729782108377067
CADJPY,520,2024-07-30 19:00:00,111.383,-0.000997425662928153,0.28286854476594003,23,0.4666666666666667,0.0021195346209963183
CADUSD,520,2024-07-30 19:00:00,0.7221467980010977,-0.0002553108252685288,0.00040397103898158915,12,0.2,0.0004115560531910267
CHFJPY,520,2024-07-30 19:00:00,174.244,0.00021439951318869,0.2503666278673,28,0.6666666666666666,0.0011450529007519634
CHFUSD,520,2024-07-30 19:00:00,1.1298796678153775,-0.000690104027191718,0.0008109129715690174,13,0.1,0.0006566426531064635
EURAUD,520,2024-07-30 19:00:00,1.65352,-0.00017547021439801025,0.001894050920436038,15,0.5,0.0009754549584353095
EURCAD,520,2024-07-30 19:00:00,1.49702,0.00010303344796547265,0.0008285876165489981,10,0.6666666666666666,0.0005776335325291556
EURCHF,520,2024-07-30 19:00:00,0.95665,-0.00017769885529639318,0.0009698820901917399,23,0.4666666666666667,0.0008855443536954578
EURGBP,520,2024-07-30 19:00:00,0.84145,0.0003695303897870428,0.000454891546522739,27,0.6666666666666666,0.00041335741218868113
EURJPY,520,2024-07-30 19:00:00,166.807,0.001277224869628668,0.28799662118738467,27,0.7,0.0019016720470970616
EURUSD,520,2024-07-30 19:00:00,1.08094,0.0002717889398311524,0.0007008331291182917,29,0.6333333333333333,0.0005813946147494264
GBPAUD,520,2024-07-30 19:00:00,1.9642,0.0001779864973188161,0.0021778755792419037,16,0.6333333333333333,0.0010444311828838322
GBPJPY,520,2024-07-30 19:00:00,198.164,0.0014072331792311932,0.28918127181061043,28,0.7333333333333333,0.001681791437031742
GBPUSD,520,2024-07-30 19:00:00,1.2841,-0.000764114693392548,0.0008955393079728181,22,0.1,0.0005905969088539786
JPYUSD,520,2024-07-30 19:00:00,0.0064799155019018,-0.0009065480471969201,1.0634874008318952e-05,16,0.3,0.0016482022786833092
NZDJPY,520,2024-07-30 19:00:00,90.951,-0.00031785064289124865,0.2899797217739928,29,0.5,0.003232966736389241
NZDUSD,520,2024-07-30 19:00:00,0.58924,-0.0009816082200473364,0.0005791485511898849,10,0.13333333333333333,0.0005275939119404112
AUDJPY,524,2024-07-30 23:00:00,100.171,0.0020115104717155496,0.240707978828428,11,0.9666666666666667,0.0011935626791197355
AUDNZD,524,2024-07-30 23:00:00,1.10803,0.00030802908377780547,0.0004955803865355304,29,0.8333333333333334,0.0005903895423649187
AUDUSD,524,2024-07-30 23:00:00,0.65384,0.0002344315561269017,0.00027474173684080474,4,1.0,0.00022408789601821086
CADJPY,524,2024-07-30 23:00:00,110.64,0.0024383919128136977,0.2387851113152497,23,0.9,0.0021287235594584786
CADUSD,524,2024-07-30 23:00:00,0.7222667620058792,-0.0006092510292529107,0.00023408372381369504,6,0.0,0.00020542958223128478
CHFJPY,524,2024-07-30 23:00:00,173.254,8.030584998364176e-05,0.2583529784219965,16,0.5333333333333333,0.0013272786458803723
CHFUSD,524,2024-07-30 23:00:00,1.1312729082763926,-0.0003989511442183957,0.0010770364884326526,20,0.4,0.0009718821947896106
EURAUD,524,2024-07-30 23:00:00,1.65372,-7.890879712380006e-05,0.001603919941240709,15,0.6,0.0008279185771437983
EURCAD,524,2024-07-30 23:00:00,1.49722,-0.00020379402669301605,0.0008392928871549512,10,0.5,0.0004681564577673857
EURCHF,524,2024-07-30 23:00:00,0.95599,0.0002353520351923155,0.0009857306819199695,21,0.6,0.0008019375025156247
EURGBP,524,2024-07-30 23:00:00,0.84264,-0.00023490987460383916,0.0003027640314887043,29,0.2,0.0003122145204775172
EURJPY,524,2024-07-30 23:00:00,165.669,0.0006094326094989722,0.4281472499568767,12,0.6666666666666666,0.0017132078120135723
EURUSD,524,2024-07-30 23:00:00,1.08139,-0.00037728701378692,0.00038386100949810834,27,0.16666666666666666,0.0004489985012957751
GBPAUD,524,2024-07-30 23:00:00,1.9624,0.0001683307254520816,0.0014973474823644405,10,0.36666666666666664,0.0008559690221460358
GBPJPY,524,2024-07-30 23:00:00,196.587,0.0016871857870444096,0.5345522831132878,24,0.6666666666666666,0.0022039600047706253
GBPUSD,524,2024-07-30 23:00:00,1.28322,-0.0002976492539130682,0.0007519138424642447,10,0.4666666666666667,0.0005082419853966335
JPYUSD,524,2024-07-30 23:00:00,0.0065273725367327,-0.0009162847658017448,1.5023441594196275e-05,23,0.36666666666666664,0.0025733710684051115
NZDJPY,524,2024-07-30 23:00:00,90.387,0.000472181925122106,0.2328786571376023,18,0.36666666666666664,0.0023801171878667007
NZDUSD,524,2024-07-30 23:00:00,0.59,0.0005853741855945671,0.0006283059725442574,26,0.7333333333333333,0.0011434595401034777
AUDJPY,528,2024-07-31 03:00:00,99.789,-0.00014884117483338066,0.3349535244160065,10,0.5666666666666667,0.0028810554107109006
AUDNZD,528,2024-07-31 03:00:00,1.10712,6.57978712985674e-05,0.0007742055618350919,30,0.5,0.0006799685563245512
AUDUSD,528,2024-07-31 03:00:00,0.6537,0.0002920874510590199,0.0006242266261117814,12,0.3333333333333333,0.0006551109025795709
CADJPY,528,2024-07-31 03:00:00,110.197,0.004927644098112305,0.2760877873601809,22,1.0,0.0023485103039339377
CADUSD,528,2024-07-31 03:00:00,0.7222250308751201,-0.00019324568998813074,0.00038627528867120315,15,0.23333333333333334,0.00033474429572974337
CHFJPY,528,2024-07-31 03:00:00,172.733,0.0017093862514085956,0.2773008896259287,21,0.7666666666666667,0.001469332424189555
CHFUSD,528,2024-07-31 03:00:00,1.1330546019012655,-0.0005415991084575245,0.0013890601591585439,23,0.36666666666666664,0.0010180990409798432
EURAUD,528,2024-07-31 03:00:00,1.65389,0.0002484063160523853,0.0016045904205325484,15,0.6333333333333333,0.0008527689430298554
EURCAD,528,2024-07-31 03:00:00,1.49719,-0.0003832031127632973,0.0006320056982325254,10,0.23333333333333334,0.0005442078271788749
EURCHF,528,2024-07-31 03:00:00,0.95458,0.0002804160317082527,0.0012076343598838887,27,0.5333333333333333,0.0009161982581756472
EURGBP,528,2024-07-31 03:00:00,0.8425,-0.0002532222268608608,0.0004184337418334565,29,0.3333333333333333,0.0003580972651821161
EURJPY,528,2024-07-31 03:00:00,165.052,6.544987428047655e-05,0.40302094465089755,26,0.3333333333333333,0.0021273655426229557
EURUSD,528,2024-07-31 03:00:00,1.08136,-0.00020977380181597116,0.0005706259703536732,29,0.4,0.0005070308737340018
GBPAUD,528,2024-07-31 03:00:00,1.96244,-0.0009272883291405742,0.001446837944220011,5,0.0,0.0004021921774498408
GBPJPY,528,2024-07-31 03:00:00,195.922,0.0017387309217364866,0.5448461712101601,28,0.7666666666666667,0.0024099057682988923
GBPUSD,528,2024-07-31 03:00:00,1.28327,3.279611016582251e-05,0.0005905973248958062,11,0.6666666666666666,0.0005410221916374025
JPYUSD,528,2024-07-31 03:00:00,0.0065511051714424,-0.0017379835119437637,1.5192072175547173e-05,22,0.2,0.0020761074363719843
NZDJPY,528,2024-07-31 03:00:00,90.143,0.0005333602682566774,0.26186841334665556,12,0.26666666666666666,0.0017357958340679068
NZDUSD,528,2024-07-31 03:00:00,0.59017,-0.0006841281881152517,0.000757224526522088,30,0.36666666666666664,0.0014863996697871112
AUDJPY,532,2024-07-31 07:00:00,99.024,0.0007235796750635348,0.3787238229685228,20,0.4,0.00339918539667169
AUDNZD,532,2024-07-31 07:00:00,1.09954,-0.0007175433795519881,0.001691838227519916,30,0.3,0.0013868624434848448
AUDUSD,532,2024-07-31 07:00:00,0.64965,0.0013664425384294354,0.0013781102274442731,26,0.6666666666666666,0.00168810852229683
CADJPY,532,2024-07-31 07:00:00,110.061,0.003519257296362266,0.15745698603378586,9,1.0,0.0012417630848621135
CADUSD,532,2024-07-31 07:00:00,0.7221780891167762,-0.00040101543327164535,0.00024311038829049396,11,0.13333333333333333,0.0002802122317438596
CHFJPY,532,2024-07-31 07:00:00,172.761,0.0014138796659777242,0.31948333479818075,21,0.7666666666666667,0.0014512669082429918
CHFUSD,532,2024-07-31 07:00:00,1.1341468947058024,-0.0006305551656089481,0.0010421923288662764,22,0.36666666666666664,0.0008167504874573115
EURAUD,532,2024-07-31 07:00:00,1.6655799999999998,-0.001035462726983516,0.005241068364785469,26,0.3,0.002222199761918789
EURCAD,532,2024-07-31 07:00:00,1.49851,-0.0007000677515378584,0.0007991072745585786,9,0.0,0.0005578309846200433
EURCHF,532,2024-07-31 07:00:00,0.95433,0.0003911032731709341,0.0008709150659676621,19,0.7,0.0008862962269533869
EURGBP,532,2024-07-31 07:00:00,0.84268,-0.0003985393175781615,0.000354440010342003,29,0.13333333333333333,0.00041101313168679054
EURJPY,532,2024-07-31 07:00:00,164.945,0.0024452157436711808,0.4407453567056215,23,0.8333333333333334,0.0025724747696327494
EURUSD,532,2024-07-31 07:00:00,1.08216,-0.00030424351002589223,0.0006158356490905544,28,0.23333333333333334,0.0005349855743971092
GBPAUD,532,2024-07-31 07:00:00,1.97633,-0.0018684433100573106,0.004452759302952513,23,0.3333333333333333,0.0016571744111315838
GBPJPY,532,2024-07-31 07:00:00,195.723,-0.0002291247888505099,0.5228706397393442,24,0.5666666666666667,0.0017724586596209477
GBPUSD,532,2024-07-31 07:00:00,1.28407,-0.0003327968528619163,0.0006405888005400347,9,0.0,0.00027139733775650846
JPYUSD,532,2024-07-31 07:00:00,0.006560818790185,3.0334987369373678e-05,2.1691997200373633e-05,17,0.6333333333333333,0.001863951191036119
NZDJPY,532,2024-07-31 07:00:00,90.037,-0.0010632302481087264,0.09938855859592118,8,0.3,0.001175700902904307
NZDUSD,532,2024-07-31 07:00:00,0.59069,0.00020111544571510542,0.0005214364416389379,24,0.6666666666666666,0.0006811990967637587
AUDJPY,536,2024-07-31 11:00:00,99.218,0.004718011898128038,0.3360722810558919,16,0.9333333333333333,0.002655291862994911
AUDNZD,536,2024-07-31 11:00:00,1.09879,0.0006721024438935963,0.0012281352382616684,30,0.7,0.0008720461452927295
AUDUSD,536,2024-07-31 11:00:00,0.64899,0.0003187983642334302,0.0010516640160269496,26,0.6,0.0015206845892056797
CADJPY,536,2024-07-31 11:00:00,110.429,-0.0002279089290581071,0.2664474657028589,27,0.43333333333333335,0.002382075088923689
CADUSD,536,2024-07-31 11:00:00,0.7224650507531698,-9.002941777302986e-05,0.00037310906981304477,28,0.4,0.0005587693853131303
CHFJPY,536,2024-07-31 11:00:00,173.246,0.0009710284006301251,0.19724405341826942,30,0.7666666666666667,0.0018674111461313158
CHFUSD,536,2024-07-31 11:00:00,1.1339925610087995,-0.0005279165687559484,0.0018190408310980164,28,0.4,0.0011833429158526454
EURAUD,536,2024-07-31 11:00:00,1.66766,0.00043658576885019507,0.003524856563880596,18,0.5666666666666667,0.0016535299152454974
EURCAD,536,2024-07-31 11:00:00,1.49835,-0.00023306125918332032,0.0010988686582881037,13,0.5,0.00048131929244057443
EURCHF,536,2024-07-31 11:00:00,0.95474,0.0009937060096476547,0.0008823288360955564,23,0.8666666666666667,0.0008210224872809228
EURGBP,536,2024-07-31 11:00:00,0.84269,5.343396374302145e-05,0.00036413008607223576,30,0.6,0.00039514456001129547
EURJPY,536,2024-07-31 11:00:00,165.475,0.002016044355815927,0.38146544553126244,24,0.8666666666666667,0.002158313082569159
EURUSD,536,2024-07-31 11:00:00,1.08243,-3.634594319290585e-05,0.0005680706730137558,26,0.5,0.0005553676532435336
GBPAUD,536,2024-07-31 11:00:00,1.97877,-0.0016616147383694546,0.0025547726969724904,16,0.16666666666666666,0.0013149590892502449
