feature,importance_direction_classifier,importance_return_regressor
close,0.054866806,0.049052525
bar_dynamics,0.04954322,0.04063922
day_cos,0.04835974,0.034687333
lag_pca_1,0.047341466,0.039543703
SMA_50,0.047123775,0.05090931
log_return,0.045953464,0.045039594
ATR_14,0.045593753,0.04448264
SMA_200,0.045098882,0.04094452
lag_pca_3,0.04473848,0.039401826
SMA_100,0.04286293,0.040950965
lag_pca_2,0.04253151,0.041196905
day_sin,0.041580915,0.04052313
volatility_20,0.041061457,0.04104599
lag_pca_5,0.039853774,0.040380012
BB_width,0.039629467,0.046290863
lag_pca_4,0.03805658,0.036811166
month_sin,0.037511077,0.0320581
lag_pca_6,0.037303902,0.042029053
SMA_21,0.037216805,0.038395002
open,0.036199268,0.05528461
month_cos,0.03619484,0.037065938
yield_differential_delta,0.03579765,0.03946561
high,0.033587873,0.045427
low,0.031992324,0.038374953
