feature,importance_direction_classifier,importance_return_regressor
BB_width,0.082411,0.041980002
day_sin,0.07747218,0.040486358
bar_dynamics,0.06307576,0.04369874
lag_pca_4,0.056093853,0.04106531
log_return,0.051548593,0.040977165
lag_pca_3,0.051131524,0.047806848
lag_pca_5,0.050763372,0.04162936
volatility_20,0.04871791,0.041106045
SMA_21,0.046982873,0.050996896
SMA_200,0.04598275,0.049928077
month_sin,0.0439205,0.0324227
SMA_50,0.042825907,0.04789268
close,0.04238196,0.0441494
month_cos,0.041958436,0.03518601
lag_pca_2,0.038865115,0.037092246
SMA_100,0.03792048,0.045499858
day_cos,0.037680946,0.03592972
open,0.036918253,0.050436936
lag_pca_6,0.035733093,0.047479227
high,0.03487393,0.039347947
lag_pca_1,0.032741617,0.040211633
low,0.0,0.05189946
ATR_14,0.0,0.052777436
