feature,importance_direction_classifier,importance_return_regressor
BB_width,0.07090688,0.03481547
day_sin,0.059631348,0.040257316
bar_dynamics,0.053794663,0.03453278
inflation_differential,0.048804555,0.03217521
SMA_21,0.046270408,0.034353185
lag_pca_4,0.04453552,0.03768667
usd_index_return,0.04313088,0.03136589
log_return,0.03928911,0.03867351
close,0.039209485,0.041988336
policy_rate_differential,0.03909705,0.03563288
yield_differential_delta,0.038057055,0.037152063
lag_pca_3,0.037979398,0.03762244
ATR_14,0.037002765,0.039691787
volatility_20,0.036834266,0.032867074
lag_pca_5,0.035912447,0.03888425
month_sin,0.035485085,0.029103482
SMA_100,0.03527043,0.037631307
lag_pca_6,0.035097864,0.03919646
month_cos,0.035022065,0.031194843
lag_pca_2,0.032866176,0.030687228
low,0.03199419,0.05094639
SMA_200,0.03185274,0.044452265
lag_pca_1,0.031374406,0.035580073
high,0.030818311,0.035558704
SMA_50,0.029762747,0.044703614
open,0.0,0.046812117
day_cos,0.0,0.026434584
