scope,family,feature,n_features,gain_importance,gain_share,perm_importance_mean,perm_importance_std,perm_share,perm_n_repeats,perm_baseline_acc
feature,volatility,atr14_norm,1,5.975305557250977,0.060714539147582895,0.0015850838311813442,0.00231120509936698,0.032372331004624645,20,0.5274619387165157
feature,trend_distance,dist_sma200_atr,1,5.333506107330322,0.05419327300416046,0.0018789747542878987,0.0031934517053174055,0.038374495719767476,20,0.5274619387165157
feature,trend_distance,dist_sma50_atr,1,5.800764560699463,0.05894104387333279,0.00038061283484294164,0.002707322308261543,0.007773295286824864,20,0.5274619387165157
feature,calendar,dow_cos,1,5.988311290740967,0.060846689228872514,0.003020813258816718,0.0011852077066395789,0.061694381580241944,20,0.5274619387165157
feature,calendar,dow_sin,1,6.587646007537842,0.0669364750610485,0.0013730969358257794,0.0008962463831927295,0.028042900718291765,20,0.5274619387165157
feature,volatility,ewma_std_24,1,5.900256156921387,0.059951968980977086,-0.0013056465600308376,0.002359541547152754,-0.026665354718095155,20,0.5274619387165157
feature,calendar,hour_cos,1,9.280625343322754,0.09429959444290763,0.00883599922913857,0.0021603084605341934,0.18045852602578022,20,0.5274619387165157
feature,calendar,hour_sin,1,10.2724027633667,0.10437695507626908,0.006162073617267294,0.002842052957637956,0.12584866673226425,20,0.5274619387165157
feature,lag_returns,logret_1,1,6.8901286125183105,0.07000997344294524,0.005237039892079393,0.0026485265103450752,0.10695660730099384,20,0.5274619387165157
feature,lag_returns,logret_12,1,5.578122615814209,0.05667879921502803,0.0012767392561187085,0.0016283187459665961,0.02607497786086781,20,0.5274619387165157
feature,lag_returns,logret_2,1,6.805709362030029,0.06915219707662024,0.003994025823858155,0.002425514295082598,0.08157040244022434,20,0.5274619387165157
feature,lag_returns,logret_24,1,6.167479038238525,0.0626671965008771,0.004191559067257644,0.0023084600767403754,0.08560464429794332,20,0.5274619387165157
feature,lag_returns,logret_3,1,6.269536018371582,0.06370418824233763,0.0036904991327808777,0.0021242673371985278,0.0753714454393388,20,0.5274619387165157
feature,lag_returns,logret_6,1,5.778243541717529,0.05871220983706115,0.004832337637309692,0.0026584712614125647,0.09869133129981317,20,0.5274619387165157
feature,oscillator,rsi14,1,5.788349628448486,0.058814896869979656,0.0038109462324147246,0.003011036501045512,0.0778313490111189,20,0.5274619387165157
family_total,lag_returns,FAMILY::lag_returns,6,37.489219188690186,0.3809245643148694,0.023222200809404472,,0.4742694086391813,20,0.5274619387165157
family_total,volatility,FAMILY::volatility,2,11.875561714172363,0.12066650812855997,0.00027943727115050656,,0.005706976286529492,20,0.5274619387165157
family_total,oscillator,FAMILY::oscillator,1,5.788349628448486,0.058814896869979656,0.0038109462324147246,,0.0778313490111189,20,0.5274619387165157
family_total,trend_distance,FAMILY::trend_distance,2,11.134270668029785,0.11313431687749324,0.0022595875891308404,,0.04614779100659234,20,0.5274619387165157
family_total,calendar,FAMILY::calendar,4,32.12898540496826,0.3264597138090977,0.01939198304104836,,0.39604447505657814,20,0.5274619387165157
