scope,label,hour_utc,session,n_rows,acc_gbm,acc_majority,delta,se_acc,se_delta_paired,edge_sum,edge_share,zero_return_dropped_all,zero_return_dropped_in_val_window
hour,00:00,0,thin,430,0.5395348837209303,0.4813953488372093,0.05813953488372093,0.024112141108520606,0.03989106103931621,25.0,0.10460251046025104,24,6
hour,01:00,1,thin,431,0.4918793503480278,0.5150812064965197,-0.02320185614849188,0.0240841525429544,0.032831451059924806,-10.0,-0.04184100418410042,17,5
hour,02:00,2,thin,433,0.5127020785219399,0.5080831408775982,0.004618937644341801,0.024028466566610635,0.029427902111784126,2.0,0.008368200836820083,23,3
hour,03:00,3,thin,433,0.48267898383371827,0.48498845265588914,-0.0023094688221709007,0.024028466566610635,0.035744648487460895,-1.0,-0.0041841004184100415,31,3
hour,04:00,4,thin,433,0.5427251732101617,0.4896073903002309,0.053117782909930716,0.024028466566610635,0.031852054056584075,23.0,0.09623430962343096,32,4
hour,05:00,5,thin,431,0.45011600928074247,0.4918793503480278,-0.04176334106728538,0.0240841525429544,0.037111502032742556,-18.0,-0.07531380753138076,32,5
hour,06:00,6,thin,428,0.5093457943925234,0.5093457943925234,0.0,0.02416841222614159,0.038007223210523695,0.0,0.0,28,8
hour,07:00,7,liquid,433,0.5519630484988453,0.46882217090069284,0.08314087759815242,0.024028466566610635,0.0376394087340283,36.0,0.1506276150627615,10,3
hour,08:00,8,liquid,436,0.5619266055045872,0.5,0.06192660550458716,0.023945657130528784,0.028983988864902742,27.0,0.11297071129707113,4,0
hour,09:00,9,liquid,433,0.48036951501154734,0.5496535796766744,-0.06928406466512702,0.024028466566610635,0.03655240598462913,-30.0,-0.12552301255230125,13,3
hour,10:00,10,liquid,435,0.5149425287356322,0.5333333333333333,-0.01839080459770115,0.023973165074269207,0.036956981673681465,-8.0,-0.03347280334728033,10,1
hour,11:00,11,liquid,435,0.4942528735632184,0.5195402298850574,-0.02528735632183908,0.023973165074269207,0.04297838381187181,-11.0,-0.04602510460251046,12,1
hour,12:00,12,liquid,434,0.576036866359447,0.423963133640553,0.15207373271889402,0.024000768036865967,0.045319394523001114,66.0,0.27615062761506276,9,2
hour,13:00,13,liquid,435,0.49885057471264366,0.5103448275862069,-0.011494252873563218,0.023973165074269207,0.032298344444355705,-5.0,-0.02092050209205021,11,1
hour,14:00,14,liquid,435,0.4804597701149425,0.5057471264367817,-0.02528735632183908,0.023973165074269207,0.033090527226233006,-11.0,-0.04602510460251046,10,1
hour,15:00,15,liquid,435,0.5080459770114942,0.4689655172413793,0.03908045977011494,0.023973165074269207,0.041320414089145815,17.0,0.07112970711297072,9,1
hour,16:00,16,liquid,431,0.5220417633410673,0.494199535962877,0.027842227378190254,0.0240841525429544,0.03670343796351603,12.0,0.0502092050209205,13,5
hour,17:00,17,liquid,433,0.5034642032332564,0.47575057736720555,0.02771362586605081,0.024028466566610635,0.03579469726732154,12.0,0.0502092050209205,16,3
hour,18:00,18,transitional,435,0.48735632183908045,0.5287356321839081,-0.041379310344827586,0.023973165074269207,0.03360936394589577,-18.0,-0.07531380753138076,12,1
hour,19:00,19,transitional,435,0.5402298850574713,0.503448275862069,0.0367816091954023,0.023973165074269207,0.03575933870824909,16.0,0.06694560669456066,13,1
hour,20:00,20,thin,432,0.5370370370370371,0.47453703703703703,0.0625,0.024056261216234408,0.039960054870076915,27.0,0.11297071129707113,31,4
hour,21:00,21,thin,429,0.5664335664335665,0.4428904428904429,0.12354312354312354,0.02414022747926338,0.04611406575899677,53.0,0.2217573221757322,34,7
hour,22:00,22,thin,424,0.6721698113207547,0.5990566037735849,0.07311320754716981,0.024282146558931603,0.02041289123969849,31.0,0.1297071129707113,35,10
hour,23:00,23,thin,429,0.6386946386946387,0.6293706293706294,0.009324009324009324,0.02414022747926338,0.007366108002408875,4.0,0.016736401673640166,22,4
session,liquid,-1,liquid,4775,0.5174869109947644,0.4954973821989529,0.02198952879581152,0.007235746052924217,0.011276467516747987,105.0,0.4393305439330544,117,21
session,transitional,-1,transitional,870,0.5137931034482759,0.5160919540229885,-0.0022988505747126436,0.01695158759052026,0.02455900216316429,-2.0,-0.008368200836820083,25,2
session,thin,-1,thin,4733,0.5400380308472428,0.5113036129304881,0.0287344179167547,0.007267779658912683,0.010321741610639118,136.0,0.5690376569037657,309,59
slice_total,validation[70:85],-1,all,10378,0.5274619387165157,0.5044324532665253,0.023029485449990394,0.004908097383586451,0.007301629463235733,239.0,1.0,451,82
