horizon_bars,target_mult,stop_mult,scope,n_rows,mean_uniqueness,n_independent,mean_resolution_bars,median_resolution_bars,pct_resolved_target,pct_resolved_stop,pct_resolved_time,median_target_width_pips,p25_target_width_pips,cost_ratio_median_pct,cost_ratio_p25_pct,class_balance_pct_label1,tier_independence,tier_cost,viability
6,0.5,1.0,EURUSD,48254,0.238016,11485,3.552,3.0,51.85,21.35,26.8,11.596,8.94,12.935,16.778,58.8,GBM_plausible,marginal,VIABLE
6,0.5,1.0,GBPUSD,48254,0.237584,11464,3.59,3.0,49.92,21.71,28.37,16.035,12.743,9.355,11.771,58.14,GBM_plausible,comfortable,VIABLE
6,0.5,1.0,AUDUSD,48254,0.241124,11635,3.37,3.0,55.62,23.84,20.55,10.149,8.043,14.779,18.65,60.12,GBM_plausible,marginal,VIABLE
6,0.5,1.0,CHFUSD,48254,0.239891,11576,3.509,3.0,52.83,20.84,26.34,10.725,8.474,13.986,17.702,58.99,GBM_plausible,marginal,VIABLE
6,0.5,1.0,pooled,193016,0.239154,46161,3.505,3.0,52.55,21.93,25.51,11.922,9.094,12.581,16.494,59.01,GBM_plausible,marginal,VIABLE
6,1.0,1.0,EURUSD,48254,0.186512,9000,4.567,6.0,25.73,26.32,47.95,23.205,17.888,6.464,8.386,47.45,GBM_plausible,comfortable,VIABLE
6,1.0,1.0,GBPUSD,48254,0.188145,9079,4.548,6.0,24.85,26.71,48.44,32.09,25.498,4.674,5.883,47.53,GBM_plausible,comfortable,VIABLE
6,1.0,1.0,AUDUSD,48254,0.184682,8912,4.526,6.0,27.78,28.72,43.51,20.313,16.095,7.385,9.32,47.21,GBM_plausible,comfortable,VIABLE
6,1.0,1.0,CHFUSD,48254,0.186989,9023,4.56,6.0,26.28,25.64,48.08,21.461,16.955,6.989,8.847,46.54,GBM_plausible,comfortable,VIABLE
6,1.0,1.0,pooled,193016,0.186582,36013,4.55,6.0,26.16,26.85,46.99,23.858,18.196,6.287,8.243,47.18,GBM_plausible,comfortable,VIABLE
6,1.5,1.0,EURUSD,48254,0.17207,8303,4.941,6.0,13.25,27.76,58.99,34.824,26.842,4.307,5.588,44.51,GBM_plausible,comfortable,VIABLE
6,1.5,1.0,GBPUSD,48254,0.173517,8373,4.91,6.0,13.37,28.02,58.61,48.164,38.265,3.114,3.92,44.85,GBM_plausible,comfortable,VIABLE
6,1.5,1.0,AUDUSD,48254,0.170262,8216,4.942,6.0,13.61,29.7,56.7,30.49,24.156,4.92,6.21,44.54,GBM_plausible,comfortable,VIABLE
6,1.5,1.0,CHFUSD,48254,0.171861,8293,4.948,6.0,13.93,26.89,59.17,32.209,25.442,4.657,5.896,43.38,GBM_plausible,comfortable,VIABLE
6,1.5,1.0,pooled,193016,0.171927,33185,4.935,6.0,13.54,28.09,58.37,35.807,27.308,4.189,5.493,44.32,GBM_plausible,comfortable,VIABLE
6,2.0,1.0,EURUSD,48254,0.166901,8054,5.095,6.0,7.14,28.16,64.7,46.455,35.803,3.229,4.19,43.78,GBM_plausible,comfortable,VIABLE
6,2.0,1.0,GBPUSD,48254,0.16807,8110,5.065,6.0,7.43,28.42,64.15,64.256,51.045,2.334,2.939,44.13,GBM_plausible,comfortable,VIABLE
6,2.0,1.0,AUDUSD,48254,0.16541,7982,5.102,6.0,6.61,29.95,63.44,40.681,32.226,3.687,4.655,43.99,GBM_plausible,comfortable,VIABLE
6,2.0,1.0,CHFUSD,48254,0.166353,8027,5.109,6.0,7.9,27.24,64.87,42.968,33.937,3.491,4.42,42.55,GBM_plausible,comfortable,VIABLE
6,2.0,1.0,pooled,193016,0.166684,32173,5.093,6.0,7.27,28.44,64.29,47.771,36.427,3.14,4.118,43.61,GBM_plausible,comfortable,VIABLE
12,0.5,1.0,EURUSD,48248,0.148341,7157,6.483,6.0,54.7,22.74,22.56,16.401,12.645,9.146,11.862,60.61,GBM_plausible,comfortable,VIABLE
12,0.5,1.0,GBPUSD,48248,0.147716,7127,6.539,6.0,53.54,23.24,23.22,22.682,18.024,6.613,8.322,60.01,GBM_plausible,comfortable,VIABLE
12,0.5,1.0,AUDUSD,48248,0.151166,7293,6.125,5.0,57.36,25.02,17.62,14.356,11.377,10.448,13.185,61.56,GBM_plausible,marginal,VIABLE
12,0.5,1.0,CHFUSD,48248,0.148233,7152,6.492,6.0,54.22,22.47,23.32,15.17,11.985,9.888,12.515,59.64,GBM_plausible,comfortable,VIABLE
