session,n_bars_scopeA_full,n_close_to_close_scopeA_full,n_gap_excluded_scopeA_full,mean_abs_return_pct_scopeA_full,median_abs_return_pct_scopeA_full,mean_abs_pips_scopeA_full,median_abs_pips_scopeA_full,p75_abs_pips_scopeA_full,p90_abs_pips_scopeA_full,mean_bar_range_pips_scopeA_full,median_bar_range_pips_scopeA_full,n_bars_scopeB_first85,n_close_to_close_scopeB_first85,up_rate_pct_scopeB_first85,mean_signed_pips_scopeB_first85,median_signed_pips_scopeB_first85,ny_hours,rank_by_mean_abs_pips,block,fx_week_day,ny_hour,mean_abs_pips_overall,rank_min_across_years,rank_max_across_years,rank_early_years,rank_late_years,rank_span,year,rank_within_year,mean_abs_pips_including_mismatch,mean_abs_pips_excluding_mismatch,pct_change_when_excluded,n_mismatch_bars
overlap,8753.0,8752.0,1.0,0.10060761060493713,0.07386083586173875,11.21652193784278,8.299999999998864,15.199999999999658,23.900000000001143,25.146681137895598,21.200000000001218,7440.0,7440.0,49.54301075268817,-0.006236559139780405,-0.10000000000065512,08:00-11:00,1.0,session,,,,,,,,,,,,,,
London,14590.0,14590.0,0.0,0.08250241158345042,0.05892627904202641,9.208067169294035,6.6000000000010495,12.000000000000899,19.39999999999853,18.004866346812914,15.600000000000058,12400.0,12400.0,48.346774193548384,-0.4323387096774229,-0.40000000000040004,03:00-08:00,2.0,session,,,,,,,,,,,,,,
NY-only,14584.0,14571.0,13.0,0.056165719969624696,0.037986528679812004,6.27271978587606,4.299999999999304,8.100000000001994,13.499999999999623,15.030471749862892,12.399999999999078,12399.0,12386.0,47.79589859518811,-0.04350880025836435,-0.2999999999997449,11:00-16:00,3.0,session,,,,,,,,,,,,,,
Asia,23337.0,23337.0,0.0,0.054238042531561115,0.0362268837979407,6.057286712088091,4.100000000000215,7.800000000000029,13.300000000000534,10.788850323520618,8.899999999998354,19836.0,19836.0,50.191570881226056,0.09635007057874805,0.10000000000010001,19:00-03:00,4.0,session,,,,,,,,,,,,,,
rollover,8736.0,8153.0,583.0,0.035019452036741984,0.022752912846868423,3.9148656936097064,2.500000000000835,4.999999999999449,8.500000000000174,8.755746336996326,7.200000000000539,7425.0,6934.0,56.95125468704932,0.5952264205365014,0.6000000000017103,16:00-19:00,5.0,session,,,,,,,,,,,,,,
Asia,4641.0,4641.0,0.0,0.05665071030419167,0.036840430698115156,6.3230769230769,4.100000000000215,8.099999999999774,14.099999999999113,11.15944839474255,9.00000000000123,,,,,,,,session_x_fx_week_day,0.0,,,,,,,,,,,,,
Asia,4688.0,4688.0,0.0,0.05451304765886089,0.03733604939551438,6.0898037542662165,4.20000000000087,7.800000000000029,13.199999999999878,10.59554180887376,8.799999999999919,,,,,,,,session_x_fx_week_day,1.0,,,,,,,,,,,,,
Asia,4664.0,4664.0,0.0,0.052272865660289165,0.035331497288249025,5.838786449399638,3.9999999999995595,7.600000000000939,12.870000000000585,10.671762435677556,8.699999999999264,,,,,,,,session_x_fx_week_day,2.0,,,,,,,,,,,,,
Asia,4680.0,4680.0,0.0,0.05483247441621406,0.03703141727677273,6.12786324786325,4.199999999998649,8.099999999999774,13.710000000000813,10.88472222222224,9.149999999999991,,,,,,,,session_x_fx_week_day,3.0,,,,,,,,,,,,,
Asia,4664.0,4664.0,0.0,0.05292955808427911,0.0344410079537949,5.90780445969124,3.8999999999989043,7.599999999998719,12.700000000000378,10.635270154373954,8.699999999999264,,,,,,,,session_x_fx_week_day,4.0,,,,,,,,,,,,,
