ref_date,value,publication_date
2010-10-01,116.72,2011-02-14
2011-01-01,118.53,2011-05-09
2011-04-01,119.6,2011-08-08
2011-07-01,120.34,2011-11-14
2011-10-01,120.34,2012-02-13
2012-01-01,120.41,2012-07-09
2012-04-01,121.012912963274,2012-07-30
2012-07-01,122.68755649292,2013-01-02
2012-10-01,122.928592949684,2013-01-02
2013-01-01,123.410665863212,2013-05-01
2013-04-01,123.89273877674,2013-08-01
2013-07-01,108.220603537981,2013-11-01
2013-10-01,109.053069719043,2014-02-03
2014-01-01,109.677419354839,2014-10-01
2014-04-01,110.197710718002,2014-10-01
2014-07-01,110.718002081165,2014-11-03
2014-10-01,110.926118626431,2015-02-03
2015-01-01,111.134235171696,2015-04-01
2015-04-01,111.86,2015-09-01
2015-07-01,112.38,2015-11-02
2015-10-01,112.8,2016-02-01
2016-01-01,112.59,2016-05-02
2016-04-01,113.01,2016-08-01
2016-07-01,113.84,2016-11-01
2016-10-01,114.46,2017-02-01
2017-01-01,114.98,2017-05-01
2017-04-01,115.19,2017-11-01
2017-07-01,115.92,2017-11-01
2017-10-01,116.649323621228,2018-03-09
2018-01-01,117.169614984391,2018-04-24
2018-04-01,117.585848074922,2018-07-26
2018-07-01,105.409798003251,2018-11-13
2018-10-01,105.967030415602,2019-02-13
2019-01-01,105.967030415602,2019-05-22
2019-04-01,106.61713489668,2019-07-11
2019-07-01,107.174367309032,2020-02-12
2019-10-01,107.917343858834,2020-02-12
2020-01-01,108.288832133736,2020-05-14
2020-04-01,106.245646621778,2020-08-11
2020-07-01,107.917343858834,2020-11-10
2020-10-01,108.846064546088,2021-02-12
2021-01-01,109.496169027165,2021-05-12
2021-04-01,110.332017645693,2021-08-12
2021-07-01,111.167866264221,2021-11-11
2021-10-01,112.653819363826,2022-02-11
2022-01-01,115.068493150685,2022-05-11
2022-04-01,117.1116787,2022-08-10
2022-07-01,119.247736243325,2022-11-11
2022-10-01,121.476665892733,2023-02-13
2023-01-01,123.148363129789,2023-05-10
2023-04-01,124.169955885767,2023-08-10
2023-07-01,125.655908985373,2023-11-10
2023-10-01,126.3989,2024-05-15
2024-01-01,127.6062,2024-05-15
2024-04-01,128.9064,2024-08-15
2024-07-01,129.185,2024-11-15
2024-10-01,129.4637,2025-02-17
2025-01-01,130.671,2025-05-15
