ref_date,value,publication_date
2010-12-01,109.84,2011-02-14
2011-01-01,110.12,2011-03-14
2011-02-01,110.4,2011-04-11
2011-03-01,111.61,2011-05-09
2011-04-01,111.99,2011-06-14
2011-05-01,112.74,2011-07-11
2011-06-01,111.99,2011-08-08
2011-07-01,112.18,2011-09-12
2011-08-01,112.46,2011-10-10
2011-09-01,112.74,2011-11-14
2011-10-01,112.92,2011-12-12
2011-11-01,113.02,2012-01-12
2011-12-01,112.36,2012-02-13
2012-01-01,112.83,2012-03-12
2012-02-01,113.3,2012-04-10
2012-03-01,113.76,2012-07-09
2012-04-01,114.23,2012-07-09
2012-05-01,114.14,2012-07-09
2012-06-01,113.671418555737,2012-07-30
2012-07-01,113.577938770741,2012-10-08
2012-08-01,113.85837812573,2012-10-08
2012-09-01,114.045337695723,2013-01-02
2012-10-01,114.232297265716,2013-01-02
2012-11-01,113.951857910727,2013-01-02
2012-12-01,113.297499415751,2013-01-02
2013-01-01,113.390979200748,2013-03-01
2013-02-01,114.699696190699,2013-04-15
2013-03-01,114.886655760692,2013-05-01
2013-04-01,114.699696190699,2013-06-03
2013-05-01,114.980135545688,2013-07-01
2013-06-01,114.980135545688,2013-08-21
2013-07-01,115.073615330685,2013-09-03
2013-08-01,115.073615330685,2013-10-01
2013-09-01,105.867200915856,2013-11-01
2013-10-01,105.609616485404,2013-12-02
2013-11-01,105.609616485404,2014-02-03
2013-12-01,105.352032054951,2014-02-03
2014-01-01,105.695477962221,2014-10-01
2014-02-01,106.554092730395,2014-10-01
2014-03-01,107.155123068117,2014-10-01
2014-04-01,107.498568975386,2014-10-01
2014-05-01,108.013737836291,2014-10-01
2014-06-01,108.099599313108,2014-10-01
2014-07-01,107.927876359473,2014-10-01
2014-08-01,107.927876359473,2014-10-01
2014-09-01,108.013737836291,2014-11-03
2014-10-01,108.099599313108,2014-12-01
2014-11-01,107.670291929021,2015-01-02
2014-12-01,106.897538637665,2015-02-03
2015-01-01,106.72581568403,2015-03-02
2015-02-01,107.670291929021,2015-04-01
2015-03-01,108.443045220378,2015-04-01
2015-04-01,108.36,2015-06-01
2015-05-01,108.96,2015-07-01
2015-06-01,109.22,2015-08-03
2015-07-01,109.3,2015-09-01
2015-08-01,109.3,2015-10-01
2015-09-01,109.13,2015-11-02
2015-10-01,109.22,2015-12-01
2015-11-01,109.13,2016-01-04
2015-12-01,108.61,2016-02-01
2016-01-01,108.87,2016-03-01
2016-02-01,109.13,2016-04-01
2016-03-01,109.82,2016-05-02
2016-04-01,110.16,2016-06-01
2016-05-01,110.59,2016-07-01
2016-06-01,110.85,2016-08-01
2016-07-01,110.68,2016-09-01
2016-08-01,110.5,2016-10-03
2016-09-01,110.59,2016-11-01
2016-10-01,110.85,2016-12-01
2016-11-01,110.42,2017-01-03
2016-12-01,110.25,2017-02-01
2017-01-01,111.19,2017-03-01
2017-02-01,111.36,2017-04-03
2017-03-01,111.53,2017-05-01
2017-04-01,111.96,2017-07-03
2017-05-01,112.05,2017-07-03
2017-06-01,111.96,2017-09-01
2017-07-01,111.96,2017-09-01
2017-08-01,112.05,2017-10-02
2017-09-01,112.31,2017-11-01
2017-10-01,112.39,2017-12-01
2017-11-01,112.736119061248,2018-01-02
2017-12-01,112.306811677161,2018-03-09
2018-01-01,113.079564968517,2018-03-09
2018-02-01,113.766456783057,2018-03-26
2018-03-01,114.109902690326,2018-04-24
2018-04-01,114.453348597596,2018-05-22
2018-05-01,114.539210074413,2018-06-25
2018-06-01,114.710933028048,2018-07-23
2018-07-01,115.31196336577,2018-08-22
2018-08-01,106.031077166184,2018-10-09
2018-09-01,105.636028443508,2018-11-13
2018-10-01,105.952067421649,2018-12-17
2018-11-01,105.478008954438,2019-01-15
2018-12-01,105.398999209903,2019-02-13
2019-01-01,105.557018698973,2019-03-13
2019-02-01,106.268106399789,2019-04-11
2019-03-01,106.979194100606,2019-05-22
2019-04-01,107.453252567817,2019-06-14
2019-05-01,107.927311035028,2019-07-11
2019-06-01,107.690281801422,2019-08-12
2019-07-01,108.243350013168,2019-09-11
2019-08-01,108.085330524098,2019-10-09
2019-09-01,107.611272056887,2019-12-12
2019-10-01,107.927311035028,2019-12-12
2019-11-01,107.769291545957,2020-01-15
2019-12-01,107.769291545957,2020-02-12
2020-01-01,108.085330524098,2020-03-11
2020-02-01,108.559388991309,2020-04-11
2020-03-01,107.927311035028,2020-05-14
2020-04-01,107.216223334211,2020-06-11
2020-05-01,107.532262312352,2020-07-10
2020-06-01,108.401369502239,2020-08-11
2020-07-01,108.401369502239,2020-09-10
2020-08-01,108.243350013168,2020-10-09
2020-09-01,108.164340268633,2020-11-10
2020-10-01,108.638398735844,2020-12-09
2020-11-01,108.796418224914,2021-01-19
2020-12-01,108.559388991309,2021-02-12
2021-01-01,109.19146694759,2021-03-10
2021-02-01,109.744535159336,2021-04-14
2021-03-01,110.297603371082,2021-05-12
2021-04-01,110.850671582829,2021-06-10
2021-05-01,111.403739794575,2021-07-13
2021-06-01,111.719778772715,2021-08-12
2021-07-01,112.430866473532,2021-09-15
2021-08-01,112.667895707137,2021-10-13
2021-09-01,112.904924940743,2021-11-11
2021-10-01,113.695022386094,2021-12-10
