ref_date,value,publication_date
2011-04-01,105.57,2011-06-14
2011-05-01,105.57,2011-06-14
2011-06-01,105.32,2011-07-11
2011-07-01,104.45,2011-09-12
2011-08-01,104.15,2011-09-12
2011-09-01,104.43,2011-10-10
2011-10-01,104.35,2011-11-14
2011-11-01,104.18,2011-12-12
2011-12-01,104.02,2012-01-12
2012-01-01,103.57,2012-03-12
2012-02-01,103.87,2012-03-12
2012-03-01,104.44,2012-04-10
2012-04-01,104.52,2012-07-09
2012-05-01,104.5,2012-07-09
2012-06-01,104.209635531368,2012-07-30
2012-07-01,103.708121972107,2012-10-08
2012-08-01,103.676797018228,2012-10-08
2012-09-01,103.99989453583,2012-10-08
2012-10-01,104.128337323307,2013-01-02
2012-11-01,103.786905802598,2013-01-02
2012-12-01,103.565116747876,2013-01-02
2013-01-01,103.294821159221,2013-03-01
2013-02-01,103.600003736644,2013-04-15
2013-03-01,103.82504052906,2013-04-15
2013-04-01,103.859927517828,2013-06-03
2013-05-01,103.974226931481,2013-07-01
2013-06-01,104.076373520217,2013-08-01
2013-07-01,103.705293297342,2013-08-21
2013-08-01,103.630595330399,2013-10-01
2013-09-01,99.4829521611677,2013-11-01
2013-10-01,99.4066458671017,2013-12-02
2013-11-01,99.4135645718199,2014-01-07
2013-12-01,99.188455990771,2014-02-03
2014-01-01,98.9170221694351,2014-10-01
2014-02-01,99.015388101733,2014-10-01
2014-03-01,99.3735564097538,2014-10-01
2014-04-01,99.4419412882728,2014-10-01
2014-05-01,99.7332287840176,2014-10-01
2014-06-01,99.6607327911008,2014-10-01
2014-07-01,99.2877243628149,2014-10-01
2014-08-01,99.2557378873785,2014-10-01
2014-09-01,99.3958165901515,2014-11-03
2014-10-01,99.3940117106598,2014-12-01
2014-11-01,99.355307072671,2015-01-02
2014-12-01,98.8626752425182,2015-02-03
2015-01-01,98.4370244957242,2015-03-02
2015-02-01,98.1840405536368,2015-04-01
2015-03-01,98.5043063923317,2015-05-01
2015-04-01,98.33,2015-06-01
2015-05-01,98.55,2015-07-01
2015-06-01,98.63,2015-08-03
2015-07-01,98.02,2015-09-01
2015-08-01,97.86,2015-09-01
2015-09-01,97.96,2015-11-02
2015-10-01,98.04,2015-11-02
2015-11-01,97.97,2015-12-01
2015-12-01,97.57,2016-02-01
2016-01-01,97.16,2016-03-01
2016-02-01,97.37,2016-04-01
2016-03-01,97.66,2016-05-02
2016-04-01,97.98,2016-05-02
2016-05-01,98.12,2016-07-01
