ref_date,value,publication_date
2012-06-01,113.3,2012-07-15
2012-07-01,112.7,2012-08-16
2012-08-01,112.1,2012-09-14
2012-09-01,113.4,2012-10-16
2012-10-01,114.0,2012-11-15
2012-11-01,114.1,2012-12-14
2012-12-01,114.5,2013-01-16
2013-01-01,114.0,2013-02-28
2013-02-01,114.8,2013-03-15
2013-03-01,115.3,2013-04-16
2013-04-01,116.1,2013-05-16
2013-05-01,116.0,2013-06-14
2013-06-01,115.4,2013-07-16
2013-07-01,115.9,2013-08-16
2013-08-01,115.8,2013-09-16
2013-09-01,116.4,2013-10-16
2013-10-01,116.6,2013-11-15
2013-11-01,116.7,2013-12-20
2013-12-01,116.6,2014-01-21
2014-01-01,116.4,2014-02-24
2014-02-01,117.0,2014-03-17
2014-03-01,117.4,2014-04-21
2014-04-01,117.8,2014-05-16
2014-05-01,117.9,2014-06-16
2014-06-01,117.5,2014-07-17
2014-07-01,118.5,2014-08-14
2014-08-01,118.0,2014-09-17
2014-09-01,118.8,2014-10-21
2014-10-01,118.8,2014-11-24
2014-11-01,119.0,2014-12-17
2014-12-01,118.9,2015-01-20
2015-01-01,118.6,2015-02-24
2015-02-01,119.1,2015-03-18
2015-03-01,119.4,2015-04-17
2015-04-01,119.9,2015-05-20
2015-05-01,120.2,2015-07-16
2015-06-01,120.6,2015-07-16
2015-07-01,120.3,2015-08-24
2015-08-01,120.1,2015-09-16
2015-09-01,121.1,2015-10-19
2015-10-01,121.7,2015-11-17
2015-11-01,122.2,2015-12-16
2015-12-01,121.7,2016-01-22
2016-01-01,101.6,2016-02-25
2016-02-01,102.2,2016-03-17
2016-03-01,102.8,2016-05-18
2016-04-01,103.1,2016-05-18
2016-05-01,103.5,2016-06-16
2016-06-01,104.2,2016-07-15
2016-07-01,104.9,2016-08-18
2016-08-01,104.2,2016-09-15
2016-09-01,104.6,2016-10-17
2016-10-01,105.2,2016-11-17
2016-11-01,105.5,2016-12-16
2016-12-01,104.9,2017-01-18
2017-01-01,104.5,2017-02-22
2017-02-01,105.0,2017-03-16
2017-03-01,105.4,2017-04-19
2017-04-01,105.5,2017-05-17
2017-05-01,105.8,2017-06-16
2017-06-01,106.2,2017-07-17
2017-07-01,106.4,2017-08-17
2017-08-01,105.6,2017-09-18
2017-09-01,106.3,2017-10-17
2017-10-01,106.3,2017-11-16
2017-11-01,106.6,2017-12-18
2017-12-01,106.5,2018-01-17
2018-01-01,106.2,2018-02-23
2018-02-01,107.4,2018-03-16
2018-03-01,107.7,2018-04-18
2018-04-01,108.2,2018-05-16
2018-05-01,108.2,2018-06-15
2018-06-01,109.1,2018-07-18
2018-07-01,110.1,2018-08-17
2018-08-01,109.7,2018-09-17
2018-09-01,110.3,2018-10-17
2018-10-01,110.1,2018-11-16
2018-11-01,110.7,2018-12-17
2018-12-01,110.7,2019-01-17
2019-01-01,110.0,2019-03-15
2019-02-01,111.0,2019-03-15
2019-03-01,111.1,2019-04-17
2019-04-01,111.6,2019-05-17
2019-05-01,111.3,2019-06-18
2019-06-01,111.4,2019-08-19
2019-07-01,112.1,2019-08-19
2019-08-01,111.3,2019-09-18
2019-09-01,111.9,2019-10-16
2019-10-01,112.0,2019-11-15
2019-11-01,112.4,2019-12-18
2019-12-01,112.0,2020-01-17
2020-01-01,111.9,2020-02-21
2020-02-01,111.8,2020-03-18
2020-03-01,111.7,2020-04-17
2020-04-01,112.3,2020-05-20
2020-05-01,112.5,2020-06-17
2020-06-01,112.8,2020-07-17
2020-07-01,113.7,2020-08-19
2020-08-01,113.1,2020-09-17
2020-09-01,113.5,2020-10-16
2020-10-01,113.9,2020-11-18
2020-11-01,112.9,2020-12-17
2020-12-01,113.6,2021-01-20
2021-01-01,114.9,2021-02-23
2021-02-01,115.8,2021-03-17
2021-03-01,115.5,2021-04-16
2021-04-01,115.9,2021-05-19
2021-05-01,115.7,2021-06-17
2021-06-01,116.2,2021-07-16
2021-07-01,117.4,2021-08-18
2021-08-01,117.4,2021-09-17
2021-09-01,118.9,2021-10-20
2021-10-01,118.4,2021-11-17
2021-11-01,119.5,2021-12-17
2021-12-01,120.5,2022-01-20
2022-01-01,118.5,2022-02-23
2022-02-01,119.9,2022-03-17
2022-03-01,120.9,2022-04-21
2022-04-01,122.7,2022-05-18
2022-05-01,122.9,2022-06-17
2022-06-01,124.3,2022-07-19
2022-07-01,126.0,2022-08-18
2022-08-01,125.7,2022-09-16
2022-09-01,128.0,2022-10-19
2022-10-01,128.4,2022-11-17
2022-11-01,128.2,2022-12-16
2022-12-01,128.1,2023-01-18
2023-01-01,128.0,2023-02-23
2023-02-01,128.5,2023-03-17
2023-03-01,129.7,2023-04-19
2023-04-01,131.2,2023-05-17
2023-05-01,131.8,2023-06-16
2023-06-01,132.7,2023-07-19
2023-07-01,133.1,2023-08-18
2023-08-01,131.8,2023-09-19
2023-09-01,131.6,2023-10-18
2023-10-01,133.1,2023-11-17
2023-11-01,134.0,2023-12-19
2023-12-01,134.1,2024-01-17
2024-01-01,133.9,2024-02-22
2024-02-01,134.2,2024-03-18
2024-03-01,134.4,2024-04-17
2024-04-01,135.6,2024-05-17
2024-05-01,135.3,2024-06-18
2024-06-01,135.7,2024-07-17
2024-07-01,136.3,2024-08-20
2024-08-01,134.8,2024-09-18
2024-09-01,135.1,2024-10-17
2024-10-01,136.0,2024-11-19
