ref_date,value,publication_date
2012-06-01,113.33,2012-07-15
2012-07-01,112.82,2012-08-16
2012-08-01,112.96,2012-09-14
2012-09-01,113.79,2012-10-16
2012-10-01,113.91,2012-11-15
2012-11-01,113.67,2012-12-14
2012-12-01,113.98,2013-01-16
2013-01-01,112.83,2013-02-28
2013-02-01,113.46,2013-03-15
2013-03-01,114.05,2013-04-16
2013-04-01,113.78,2013-05-16
2013-05-01,114.02,2013-06-14
2013-06-01,113.85,2013-07-16
2013-07-01,113.7,2013-08-16
2013-08-01,113.86,2013-09-16
2013-09-01,114.34,2013-10-16
2013-10-01,114.1,2013-11-15
2013-11-01,114.0,2013-12-20
2013-12-01,114.35,2014-01-21
2014-01-01,113.01,2014-02-24
2014-02-01,113.61,2014-03-17
2014-03-01,113.65,2014-04-21
2014-04-01,114.11,2014-05-16
2014-05-01,114.18,2014-06-16
2014-06-01,114.44,2014-07-17
2014-07-01,114.15,2014-08-14
2014-08-01,114.12,2014-09-17
2014-09-01,114.39,2014-10-21
2014-10-01,114.46,2014-11-24
2014-11-01,114.37,2014-12-17
2014-12-01,114.67,2015-01-20
2015-01-01,113.41,2015-02-24
2015-02-01,114.37,2015-03-18
2015-03-01,114.5,2015-04-17
2015-04-01,114.69,2015-05-20
2015-05-01,115.2,2015-07-16
2015-06-01,114.9,2015-07-16
2015-07-01,115.05,2015-08-24
2015-08-01,114.85,2015-09-16
2015-09-01,115.41,2015-10-19
2015-10-01,115.53,2015-11-17
2015-11-01,115.33,2015-12-16
2015-12-01,115.52,2016-01-22
2016-01-01,99.96,2016-02-25
2016-02-01,100.3,2016-03-17
2016-03-01,100.85,2016-05-18
2016-04-01,100.86,2016-05-18
2016-05-01,101.08,2016-06-16
2016-06-01,101.19,2016-07-15
2016-07-01,101.27,2016-08-18
2016-08-01,101.13,2016-09-15
2016-09-01,101.29,2016-10-17
2016-10-01,101.69,2016-11-17
2016-11-01,101.73,2016-12-16
2016-12-01,102.28,2017-01-18
2017-01-01,101.5,2017-02-22
2017-02-01,102.25,2017-03-16
2017-03-01,102.25,2017-04-19
2017-04-01,102.84,2017-05-17
2017-05-01,102.89,2017-06-16
2017-06-01,103.0,2017-07-17
2017-07-01,103.59,2017-08-17
2017-08-01,103.37,2017-09-18
2017-09-01,103.51,2017-10-17
2017-10-01,103.4,2017-11-16
2017-11-01,103.63,2017-12-18
2017-12-01,104.05,2018-01-17
2018-01-01,103.1,2018-02-23
2018-02-01,103.93,2018-03-16
2018-03-01,104.25,2018-04-18
2018-04-01,104.66,2018-05-16
2018-05-01,104.95,2018-06-15
2018-06-01,105.21,2018-07-18
2018-07-01,105.82,2018-08-17
2018-08-01,105.53,2018-09-17
2018-09-01,106.05,2018-10-17
2018-10-01,105.89,2018-11-16
2018-11-01,105.77,2018-12-17
2018-12-01,106.29,2019-01-17
2019-01-01,105.13,2019-03-15
2019-02-01,105.88,2019-03-15
2019-03-01,106.1,2019-04-17
2019-04-01,106.82,2019-05-17
2019-05-01,107.12,2019-06-18
2019-06-01,106.94,2019-08-19
2019-07-01,107.45,2019-08-19
2019-08-01,106.91,2019-09-18
2019-09-01,107.43,2019-10-16
2019-10-01,107.57,2019-11-15
2019-11-01,107.67,2019-12-18
2019-12-01,108.14,2020-01-17
2020-01-01,106.73,2020-02-21
2020-02-01,107.21,2020-03-18
2020-03-01,106.97,2020-04-17
2020-04-01,106.58,2020-05-20
2020-05-01,107.25,2020-06-17
2020-06-01,107.93,2020-07-17
2020-07-01,108.18,2020-08-19
2020-08-01,107.99,2020-09-17
2020-09-01,108.06,2020-10-16
2020-10-01,107.99,2020-11-18
2020-11-01,107.91,2020-12-17
2020-12-01,108.79,2021-01-20
2021-01-01,108.73,2021-02-23
2021-02-01,109.11,2021-03-17
2021-03-01,109.22,2021-04-16
2021-04-01,109.54,2021-05-19
2021-05-01,109.79,2021-06-17
2021-06-01,109.87,2021-07-16
2021-07-01,110.18,2021-08-18
2021-08-01,110.72,2021-09-17
2021-09-01,111.29,2021-10-20
2021-10-01,111.53,2021-11-17
2021-11-01,112.15,2021-12-17
2021-12-01,113.71,2022-01-20
2022-01-01,112.98,2022-02-23
2022-02-01,113.95,2022-03-17
2022-03-01,116.12,2022-04-21
2022-04-01,116.78,2022-05-18
2022-05-01,118.04,2022-06-17
2022-06-01,119.61,2022-07-19
2022-07-01,119.36,2022-08-18
2022-08-01,121.22,2022-09-16
2022-09-01,122.7,2022-10-19
2022-10-01,122.45,2022-11-17
2022-11-01,123.47,2022-12-16
2022-12-01,126.04,2023-01-18
2023-01-01,123.81,2023-02-23
2023-02-01,125.0,2023-03-17
2023-03-01,125.57,2023-04-19
2023-04-01,125.82,2023-05-17
2023-05-01,125.91,2023-06-16
2023-06-01,127.17,2023-07-19
2023-07-01,126.93,2023-08-18
2023-08-01,126.72,2023-09-19
2023-09-01,127.19,2023-10-18
2023-10-01,127.29,2023-11-17
2023-11-01,127.52,2023-12-19
2023-12-01,128.38,2024-01-17
2024-01-01,128.05,2024-02-22
2024-02-01,128.31,2024-03-18
2024-03-01,128.48,2024-04-17
2024-04-01,128.82,2024-05-17
2024-05-01,129.02,2024-06-18
2024-06-01,128.92,2024-07-17
2024-07-01,129.11,2024-08-20
2024-08-01,128.35,2024-09-18
2024-09-01,128.76,2024-10-17
2024-10-01,129.36,2024-11-19
2024-11-01,130.11,2024-12-18
2024-12-01,130.46,2025-01-17
2025-01-01,130.62,2025-02-24
2025-02-01,131.94,2025-03-19
2025-03-01,131.19,2025-04-16
2025-04-01,131.5,2025-05-19
2025-05-01,131.96,2025-06-18
2025-06-01,132.71,2025-07-17
2025-07-01,133.12,2025-08-20
2025-08-01,132.69,2025-09-17
2025-09-01,132.9,2025-10-17
2025-10-01,133.42,2025-11-19
2025-11-01,133.03,2025-12-17
2025-12-01,133.14,2026-01-19
2026-01-01,100.65,2026-04-16
2026-02-01,101.34,2026-04-16
2026-03-01,100.58,2026-04-16
2026-04-01,99.86,2026-05-20
2026-05-01,100.83,2026-06-17
2026-06-01,101.23,2026-07-17
