ref_date,value,publication_date
1990-01-01,10.5,1990-01-31
1990-02-01,10.5,1990-02-28
1990-03-01,12.0,1990-03-31
1990-04-01,12.0,1990-04-30
1990-05-01,11.0,1990-05-31
1990-06-01,11.0,1990-06-30
1990-07-01,11.0,1990-07-31
1990-08-01,11.0,1990-08-31
1990-09-01,11.0,1990-09-30
1990-10-01,11.0,1990-10-31
1990-11-01,11.5,1990-11-30
1990-12-01,11.5,1990-12-31
1991-01-01,11.5,1991-01-31
1991-02-01,11.0,1991-02-28
1991-03-01,10.0,1991-03-31
1991-04-01,10.0,1991-04-30
1991-05-01,9.0,1991-05-31
1991-06-01,9.0,1991-06-30
1991-07-01,9.0,1991-07-31
1991-08-01,9.0,1991-08-31
1991-09-01,9.0,1991-09-30
1991-10-01,8.0,1991-10-31
1991-11-01,8.0,1991-11-30
1991-12-01,8.0,1991-12-31
1992-01-01,8.5,1992-01-31
1992-02-01,8.5,1992-02-29
1992-03-01,8.5,1992-03-31
1992-04-01,8.5,1992-04-30
1992-05-01,8.5,1992-05-31
1992-06-01,8.5,1992-06-30
1992-07-01,8.5,1992-07-31
1992-08-01,8.5,1992-08-31
1992-09-01,8.5,1992-09-30
1992-10-01,10.0,1992-10-31
1992-11-01,10.0,1992-11-30
1992-12-01,10.0,1992-12-31
1993-01-01,10.0,1993-01-31
1993-02-01,9.0,1993-02-28
1993-03-01,9.0,1993-03-31
1993-04-01,7.0,1993-04-30
1993-05-01,7.0,1993-05-31
1993-06-01,7.0,1993-06-30
1993-07-01,6.0,1993-07-31
1993-08-01,6.0,1993-08-31
1993-09-01,6.0,1993-09-30
1993-10-01,5.0,1993-10-31
1993-11-01,5.0,1993-11-30
1993-12-01,5.0,1993-12-31
1994-01-01,4.5,1994-01-31
1994-02-01,4.5,1994-02-28
1994-03-01,4.5,1994-03-31
1994-04-01,4.5,1994-04-30
1994-05-01,4.5,1994-05-31
1994-06-01,4.5,1994-06-30
1994-07-01,5.5,1994-07-31
1994-08-01,5.5,1994-08-31
1994-09-01,5.5,1994-09-30
1994-10-01,7.0,1994-10-31
1994-11-01,7.0,1994-11-30
1994-12-01,7.0,1994-12-31
1995-01-01,7.0,1995-01-31
1995-02-01,7.0,1995-02-28
1995-03-01,7.0,1995-03-31
1995-04-01,7.0,1995-04-30
1995-05-01,7.0,1995-05-31
1995-06-01,7.0,1995-06-30
1995-07-01,7.5,1995-07-31
1995-08-01,7.5,1995-08-31
1995-09-01,7.5,1995-09-30
1995-10-01,7.0,1995-10-31
1995-11-01,7.0,1995-11-30
1995-12-01,7.0,1995-12-31
1996-01-01,6.0,1996-01-31
1996-02-01,6.0,1996-02-29
1996-03-01,6.0,1996-03-31
1996-04-01,5.5,1996-04-30
1996-05-01,5.5,1996-05-31
1996-06-01,5.5,1996-06-30
1996-07-01,4.5,1996-07-31
1996-08-01,4.5,1996-08-31
1996-09-01,4.5,1996-09-30
1996-10-01,3.5,1996-10-31
1996-11-01,3.5,1996-11-30
1996-12-01,3.5,1996-12-31
1997-01-01,2.5,1997-01-31
1997-02-01,2.5,1997-02-28
1997-03-01,2.5,1997-03-31
1997-04-01,2.5,1997-04-30
1997-05-01,2.5,1997-05-31
1997-06-01,2.5,1997-06-30
1997-07-01,2.5,1997-07-31
1997-08-01,2.5,1997-08-31
1997-09-01,2.5,1997-09-30
1997-10-01,2.5,1997-10-31
1997-11-01,2.5,1997-11-30
1997-12-01,2.5,1997-12-31
1998-01-01,2.5,1998-01-31
1998-02-01,2.5,1998-02-28
1998-03-01,2.5,1998-03-31
1998-04-01,2.5,1998-04-30
1998-05-01,2.5,1998-05-31
1998-06-01,2.5,1998-06-30
1998-07-01,2.0,1998-07-31
1998-08-01,2.0,1998-08-31
1998-09-01,2.0,1998-09-30
1998-10-01,2.0,1998-10-31
1998-11-01,2.0,1998-11-30
1998-12-01,2.0,1998-12-31
1999-01-01,1.5,1999-01-31
1999-02-01,1.5,1999-02-28
1999-03-01,1.5,1999-03-31
1999-04-01,1.0,1999-04-30
1999-05-01,1.0,1999-05-31
1999-06-01,1.0,1999-06-30
1999-07-01,1.0,1999-07-31
1999-08-01,1.0,1999-08-31
1999-09-01,1.0,1999-09-30
1999-10-01,1.5,1999-10-31
1999-11-01,1.48,1999-11-30
1999-12-01,1.5,1999-12-31
2000-01-01,1.98,2000-01-31
2000-02-01,2.0,2000-02-29
2000-03-01,2.0,2000-03-31
2000-04-01,2.47,2000-04-30
2000-05-01,2.5,2000-05-31
2000-06-01,2.5,2000-06-30
2000-07-01,2.02,2000-07-31
2000-08-01,2.0,2000-08-31
2000-09-01,2.0,2000-09-30
2000-10-01,2.0,2000-10-31
2000-11-01,2.0,2000-11-30
2000-12-01,2.0,2000-12-31
2001-01-01,2.0,2001-01-31
2001-02-01,2.0,2001-02-28
2001-03-01,2.0,2001-03-31
2001-04-01,1.53,2001-04-30
2001-05-01,1.5,2001-05-31
2001-06-01,1.5,2001-06-30
2001-07-01,1.98,2001-07-31
2001-08-01,2.0,2001-08-31
2001-09-01,2.0,2001-09-30
2001-10-01,2.0,2001-10-31
2001-11-01,2.0,2001-11-30
2001-12-01,2.0,2001-12-31
2002-01-01,1.52,2002-01-31
2002-02-01,1.5,2002-02-28
2002-03-01,1.5,2002-03-31
2002-04-01,1.98,2002-04-30
2002-05-01,2.0,2002-05-31
2002-06-01,2.0,2002-06-30
2002-07-01,2.0,2002-07-31
2002-08-01,4.5,2002-08-31
2002-09-01,4.5,2002-09-30
2002-10-01,4.5,2002-10-31
2002-11-01,4.5,2002-11-30
2002-12-01,4.5,2002-12-31
2003-01-01,4.0,2003-01-31
2003-02-01,4.0,2003-02-28
2003-03-01,4.0,2003-03-31
2003-04-01,3.6,2003-04-30
2003-05-01,3.6,2003-05-31
2003-06-01,3.27,2003-06-30
2003-07-01,2.92,2003-07-31
2003-08-01,2.85,2003-08-31
2003-09-01,2.85,2003-09-30
2003-10-01,2.85,2003-10-31
2003-11-01,2.85,2003-11-30
2003-12-01,2.85,2003-12-31
2004-01-01,2.85,2004-01-31
2004-02-01,2.69,2004-02-29
2004-03-01,2.6,2004-03-31
2004-04-01,2.2,2004-04-30
2004-05-01,2.1,2004-05-31
2004-06-01,2.1,2004-06-30
2004-07-01,2.1,2004-07-31
2004-08-01,2.1,2004-08-31
2004-09-01,2.1,2004-09-30
2004-10-01,2.1,2004-10-31
2004-11-01,2.1,2004-11-30
2004-12-01,2.1,2004-12-31
2005-01-01,2.1,2005-01-31
2005-02-01,2.1,2005-02-28
2005-03-01,2.1,2005-03-31
2005-04-01,2.1,2005-04-30
2005-05-01,2.1,2005-05-31
2005-06-01,1.95,2005-06-30
2005-07-01,1.6,2005-07-31
2005-08-01,1.6,2005-08-31
2005-09-01,1.6,2005-09-30
2005-10-01,1.6,2005-10-31
2005-11-01,1.6,2005-11-30
2005-12-01,1.6,2005-12-31
2006-01-01,1.66,2006-01-31
2006-02-01,1.85,2006-02-28
2006-03-01,2.1,2006-03-31
2006-04-01,2.1,2006-04-30
2006-05-01,2.1,2006-05-31
2006-06-01,2.18,2006-06-30
2006-07-01,2.35,2006-07-31
2006-08-01,2.35,2006-08-31
2006-09-01,2.56,2006-09-30
2006-10-01,2.6,2006-10-31
2006-11-01,2.85,2006-11-30
2006-12-01,2.93,2006-12-31
2007-01-01,3.1,2007-01-31
2007-02-01,3.18,2007-02-28
2007-03-01,3.35,2007-03-31
2007-04-01,3.35,2007-04-30
2007-05-01,3.35,2007-05-31
2007-06-01,3.39,2007-06-30
2007-07-01,3.6,2007-07-31
2007-08-01,3.6,2007-08-31
2007-09-01,3.76,2007-09-30
2007-10-01,3.86,2007-10-31
2007-11-01,4.1,2007-11-30
2007-12-01,4.1,2007-12-31
2008-01-01,4.1,2008-01-31
2008-02-01,4.26,2008-02-29
2008-03-01,4.35,2008-03-31
2008-04-01,4.35,2008-04-30
2008-05-01,4.35,2008-05-31
2008-06-01,4.58,2008-06-30
2008-07-01,4.58,2008-07-31
2008-08-01,4.6,2008-08-31
2008-09-01,4.82,2008-09-30
2008-10-01,4.5,2008-10-31
2008-11-01,3.85,2008-11-30
2008-12-01,2.78,2008-12-31
2009-01-01,2.1,2009-01-31
2009-02-01,1.7,2009-02-28
2009-03-01,1.1,2009-03-31
2009-04-01,0.9,2009-04-30
2009-05-01,0.6,2009-05-31
2009-06-01,0.6,2009-06-30
2009-07-01,0.3,2009-07-31
2009-08-01,0.6,2009-08-31
2009-09-01,0.35,2009-09-30
2009-10-01,0.35,2009-10-31
2009-11-01,0.35,2009-11-30
2009-12-01,0.35,2009-12-31
2010-01-01,0.35,2010-01-31
2010-02-01,0.35,2010-02-28
2010-03-01,0.35,2010-03-31
2010-04-01,0.35,2010-04-30
2010-05-01,0.35,2010-05-31
2010-06-01,0.35,2010-06-30
2010-07-01,0.35,2010-07-31
2010-08-01,0.6,2010-08-31
2010-09-01,0.79,2010-09-30
2010-10-01,0.89,2010-10-31
2010-11-01,1.1,2010-11-30
2010-12-01,1.1,2010-12-31
2011-01-01,1.1,2011-01-31
2011-02-01,1.46,2011-02-28
2011-03-01,1.6,2011-03-31
2011-04-01,1.6,2011-04-30
2011-05-01,1.85,2011-05-31
2011-06-01,1.85,2011-06-30
2011-07-01,2.06,2011-07-31
2011-08-01,2.1,2011-08-31
2011-09-01,2.1,2011-09-30
2011-10-01,2.1,2011-10-31
2011-11-01,2.1,2011-11-30
2011-12-01,2.02,2011-12-31
2012-01-01,1.85,2012-01-31
2012-02-01,1.78,2012-02-29
2012-03-01,1.6,2012-03-31
2012-04-01,1.6,2012-04-30
2012-05-01,1.6,2012-05-31
2012-06-01,1.6,2012-06-30
2012-07-01,1.6,2012-07-31
2012-08-01,1.6,2012-08-31
2012-09-01,1.44,2012-09-30
2012-10-01,1.35,2012-10-31
2012-11-01,1.35,2012-11-30
2012-12-01,1.28,2012-12-31
2013-01-01,1.1,2013-01-31
2013-02-01,1.1,2013-02-28
2013-03-01,1.1,2013-03-31
2013-04-01,1.1,2013-04-30
2013-05-01,1.1,2013-05-31
2013-06-01,1.1,2013-06-30
2013-07-01,1.1,2013-07-31
2013-08-01,1.1,2013-08-31
2013-09-01,1.1,2013-09-30
2013-10-01,1.1,2013-10-31
2013-11-01,1.1,2013-11-30
2013-12-01,1.02,2013-12-31
2014-01-01,0.85,2014-01-31
2014-02-01,0.85,2014-02-28
2014-03-01,0.85,2014-03-31
2014-04-01,0.85,2014-04-30
2014-05-01,0.85,2014-05-31
2014-06-01,0.85,2014-06-30
2014-07-01,0.48,2014-07-31
2014-08-01,0.35,2014-08-31
2014-09-01,0.35,2014-09-30
2014-10-01,0.32,2014-10-31
2014-11-01,0.1,2014-11-30
2014-12-01,0.1,2014-12-31
2015-01-01,0.1,2015-01-31
2015-02-01,0.06,2015-02-28
2015-03-01,-0.03,2015-03-31
2015-04-01,-0.15,2015-04-30
2015-05-01,-0.15,2015-05-31
2015-06-01,-0.15,2015-06-30
2015-07-01,-0.23,2015-07-31
2015-08-01,-0.25,2015-08-31
2015-09-01,-0.25,2015-09-30
2015-10-01,-0.25,2015-10-31
