ref_date,value,publication_date
2010-12-01,99.58,2011-02-14
2011-01-01,99.38,2011-03-14
2011-02-01,99.28,2011-04-11
2011-03-01,99.58,2011-05-09
2011-04-01,99.88,2011-06-14
2011-05-01,99.98,2011-07-11
2011-06-01,99.88,2011-08-08
2011-07-01,99.29,2011-09-12
2011-08-01,99.49,2011-10-10
2011-09-01,99.49,2011-11-14
2011-10-01,99.59,2011-12-12
2011-11-01,98.99,2012-01-12
2011-12-01,98.99,2012-02-13
2012-01-01,99.19,2012-03-12
2012-02-01,99.39,2012-04-10
2012-03-01,99.88,2012-07-09
2012-04-01,99.98,2012-07-09
2012-05-01,99.68,2012-07-09
2012-06-01,99.1867219917012,2012-10-08
2012-07-01,98.8879668049793,2012-10-08
2012-08-01,98.9875518672199,2012-10-08
2012-09-01,99.1867219917012,2013-01-02
2012-10-01,99.1867219917012,2013-01-02
2012-11-01,98.7883817427386,2013-01-02
2012-12-01,98.8879668049793,2013-01-02
2013-01-01,98.8879668049793,2013-03-01
2013-02-01,98.7883817427386,2013-04-15
2013-03-01,98.9875518672199,2013-05-01
2013-04-01,99.2863070539419,2013-06-03
2013-05-01,99.3858921161826,2013-07-01
2013-06-01,99.3858921161826,2013-08-21
2013-07-01,99.5850622406639,2013-09-03
2013-08-01,99.8838174273859,2013-10-01
2013-09-01,100.6,2013-11-01
2013-10-01,100.7,2014-01-07
2013-11-01,100.8,2014-02-03
2013-12-01,100.9,2014-02-03
2014-01-01,100.7,2014-10-01
2014-02-01,100.7,2014-10-01
2014-03-01,101.0,2014-10-01
2014-04-01,103.1,2014-10-01
2014-05-01,103.5,2014-10-01
2014-06-01,103.4,2014-10-01
2014-07-01,103.4,2014-10-01
2014-08-01,103.6,2014-10-01
2014-09-01,103.9,2014-11-03
2014-10-01,103.6,2014-12-01
2014-11-01,103.2,2015-02-03
2014-12-01,103.3,2015-02-03
2015-01-01,103.1,2015-03-02
2015-02-01,102.9,2015-04-01
2015-03-01,103.3,2015-06-01
2015-04-01,103.7,2015-06-01
2015-05-01,104.0,2015-07-01
2015-06-01,103.8,2015-08-03
2015-07-01,103.7,2015-09-01
2015-08-01,103.9,2015-10-01
2015-09-01,103.9,2015-11-02
2015-10-01,103.9,2015-12-01
2015-11-01,103.5,2016-01-04
2015-12-01,103.5,2016-02-01
2016-01-01,103.0,2016-03-01
2016-02-01,103.2,2016-04-01
2016-03-01,103.3,2016-05-02
2016-04-01,103.4,2016-06-01
2016-05-01,103.6,2016-07-01
2016-06-01,103.3,2016-08-01
2016-07-01,103.19,2016-09-01
2016-08-01,103.29,2016-10-03
2016-09-01,103.39,2016-11-01
2016-10-01,104.01,2016-12-01
2016-11-01,104.01,2017-01-03
2016-12-01,103.7,2017-02-01
2017-01-01,103.6,2017-03-01
2017-02-01,103.39,2017-04-03
2017-03-01,103.5,2017-05-01
2017-04-01,103.91,2017-07-03
2017-05-01,104.01,2017-07-03
2017-06-01,103.81,2017-09-01
2017-07-01,103.7,2017-09-01
2017-08-01,103.91,2017-10-02
2017-09-01,104.12,2017-11-01
2017-10-01,104.22,2017-12-01
2017-11-01,104.532504532505,2018-01-02
2017-12-01,104.843304843305,2018-03-09
2018-01-01,104.946904946905,2018-03-09
2018-02-01,104.946904946905,2018-03-30
2018-03-01,104.636104636105,2018-04-30
2018-04-01,104.532504532505,2018-05-25
2018-05-01,104.636104636105,2018-06-29
2018-06-01,104.532504532505,2018-07-27
2018-07-01,104.636104636105,2018-08-27
2018-08-01,101.6,2018-10-09
2018-09-01,101.7,2018-11-13
2018-10-01,102.0,2018-12-17
2018-11-01,101.8,2019-01-15
2018-12-01,101.5,2019-02-13
2019-01-01,101.5,2019-03-13
2019-02-01,101.5,2019-04-11
2019-03-01,101.5,2019-05-22
2019-04-01,101.8,2019-06-14
2019-05-01,101.8,2019-07-11
2019-06-01,101.6,2019-08-12
2019-07-01,101.6,2019-09-11
2019-08-01,101.8,2019-10-09
2019-09-01,101.9,2019-12-12
2019-10-01,102.2,2019-12-12
2019-11-01,102.3,2020-01-15
2019-12-01,102.3,2020-02-12
2020-01-01,102.2,2020-03-11
2020-02-01,102.0,2020-04-11
2020-03-01,101.9,2020-05-14
2020-04-01,101.9,2020-06-11
2020-05-01,101.8,2020-07-10
2020-06-01,101.7,2020-08-11
2020-07-01,101.9,2020-09-10
2020-08-01,102.0,2020-10-09
2020-09-01,102.0,2020-11-10
2020-10-01,101.8,2020-12-09
2020-11-01,101.3,2021-01-19
2020-12-01,101.1,2021-02-12
2021-01-01,101.6,2021-03-10
2021-02-01,101.6,2021-04-14
2021-03-01,101.8,2021-05-12
2021-04-01,101.4,2021-06-10
2021-05-01,101.7,2021-07-13
2021-06-01,101.9,2021-08-12
2021-07-01,101.501654364978,2021-10-13
2021-08-01,101.501654364978,2021-10-13
2021-09-01,101.908882667345,2021-11-11
2021-10-01,101.705268516162,2021-12-10
2021-11-01,101.908882667345,2022-01-18
2021-12-01,101.908882667345,2022-02-11
2022-01-01,102.112496818529,2022-03-10
2022-02-01,102.519725120896,2022-04-14
2022-03-01,102.926953423263,2022-05-11
2022-04-01,103.33418172563,2022-06-14
