ref_date,value,publication_date
2013-05-01,5.5538539,2013-08-01
2013-06-01,5.7303023,2013-08-01
2013-07-01,5.7079132,2013-09-03
2013-08-01,5.7816608,2013-10-01
2013-09-01,5.6479293,2013-11-01
2013-10-01,5.7427779,2014-01-07
2013-11-01,5.7585531,2014-01-07
2013-12-01,5.8453377,2014-02-03
2014-01-01,5.9736429,2014-10-01
2014-02-01,6.0477489,2014-10-01
2014-03-01,5.8447514,2014-10-01
2014-04-01,5.8554141,2014-10-01
2014-05-01,5.893387,2014-10-01
2014-06-01,6.0546746,2014-10-01
2014-07-01,6.3740439,2014-10-01
2014-08-01,6.06067,2014-10-01
2014-09-01,6.0503456,2014-11-03
2014-10-01,6.2445599,2014-12-01
2014-11-01,6.2638084,2015-01-02
2014-12-01,6.1032631,2015-02-03
2015-01-01,6.3798832,2015-03-02
2015-02-01,6.2535626,2015-04-01
2015-03-01,6.1,2015-06-01
2015-04-01,6.2,2015-06-01
2015-05-01,6.0,2015-07-01
2015-06-01,6.0,2015-08-03
2015-07-01,6.3,2015-09-01
2015-08-01,6.2,2015-10-01
2015-09-01,6.2,2015-11-02
2015-10-01,5.9,2015-12-01
2015-11-01,5.8,2016-01-04
2015-12-01,5.8,2016-02-01
2016-01-01,6.0,2016-03-01
2016-02-01,5.8,2016-04-01
2016-03-01,5.7,2016-05-02
2016-04-01,5.7,2016-06-01
2016-05-01,5.7,2016-07-01
2016-06-01,5.8,2016-08-01
2016-07-01,5.7,2016-09-01
2016-08-01,5.6,2016-10-03
2016-09-01,5.6,2016-11-01
2016-10-01,5.6,2016-12-01
2016-11-01,5.7,2017-01-03
2016-12-01,5.8,2017-02-01
2017-01-01,5.7,2017-03-01
2017-02-01,5.9,2017-04-03
2017-03-01,5.9,2017-05-01
2017-04-01,5.7,2017-07-03
2017-05-01,5.5,2017-07-03
2017-06-01,5.7,2017-09-01
2017-07-01,5.6,2017-09-01
2017-08-01,5.6,2017-10-02
2017-09-01,5.5,2017-11-01
2017-10-01,5.4,2017-12-01
2017-11-01,5.3980135,2018-01-02
2017-12-01,5.5530924,2018-03-30
2018-01-01,5.4990295,2018-03-30
2018-02-01,5.5550942,2018-03-30
2018-03-01,5.5260858,2018-05-01
2018-04-01,5.5956958,2018-05-30
2018-05-01,5.4002788,2018-06-28
2018-06-01,5.3741776,2018-07-27
2018-07-01,5.3156806,2018-08-24
2018-08-01,5.3131234,2018-10-09
2018-09-01,5.0048656,2018-11-13
2018-10-01,5.0365147,2018-12-17
2018-11-01,5.1065638,2019-01-15
2018-12-01,4.9825756,2019-02-13
2019-01-01,5.0165252,2019-03-13
2019-02-01,4.9471703,2019-04-11
2019-03-01,5.0475006,2019-05-22
2019-04-01,5.2034154,2019-06-14
2019-05-01,5.1917986,2019-07-11
2019-06-01,5.2380489,2019-08-12
2019-07-01,5.2339541,2019-09-11
2019-08-01,5.2535831,2019-10-09
2019-09-01,5.1864874,2020-01-15
2019-10-01,5.3146317,2020-01-15
2019-11-01,5.1828111,2020-01-15
2019-12-01,5.0687196,2020-02-12
2020-01-01,5.2904064,2020-03-11
2020-02-01,5.0973117,2020-04-11
2020-03-01,5.2314997,2020-05-14
2020-04-01,6.2171902,2020-06-11
2020-05-01,7.0907794,2020-07-10
2020-06-01,7.4490744,2020-08-11
2020-07-01,7.4936163,2020-09-10
2020-08-01,6.8253812,2020-10-09
2020-09-01,6.9392292,2020-11-10
2020-10-01,6.9960089,2020-12-09
2020-11-01,6.8252363,2021-01-19
2020-12-01,6.5977377,2021-02-12
2021-01-01,6.351635,2021-03-10
2021-02-01,5.8296429,2021-04-14
2021-03-01,5.6156809,2021-05-12
2021-04-01,5.4812379,2021-06-10
2021-05-01,5.0710469,2021-07-13
2021-06-01,4.90947,2021-08-12
2021-07-01,4.6336688,2021-09-15
2021-08-01,4.5243749,2021-10-13
2021-09-01,4.6335751,2021-11-11
2021-10-01,5.2228453,2021-12-10
2021-11-01,4.6088042,2022-01-18
2021-12-01,4.1574245,2022-02-11
2022-01-01,4.1926162,2022-03-10
2022-02-01,4.0423946,2022-04-14
2022-03-01,3.9542384,2022-05-11
2022-04-01,3.8530407,2022-06-14
2022-05-01,3.8987913,2022-07-13
2022-06-01,3.5042191,2022-08-10
2022-07-01,3.3754789,2022-09-14
2022-08-01,3.4840247,2022-11-11
2022-09-01,3.5443513,2022-11-11
2022-10-01,3.3880536,2022-12-10
2022-11-01,3.4477854,2023-01-11
2022-12-01,3.5080959,2023-02-13
2023-01-01,3.6727293,2023-03-09
2023-02-01,3.5405621,2023-04-07
2023-03-01,3.5232247,2023-05-10
2023-04-01,3.66414,2023-06-13
2023-05-01,3.5512165,2023-07-07
2023-06-01,3.4666026,2023-08-10
2023-07-01,3.7134328,2023-09-09
2023-08-01,3.6901203,2023-10-07
