ref_date,value,publication_date
2013-01-01,4.63608957795004,2013-08-01
2013-04-01,4.15885130327922,2013-11-01
2013-07-01,4.67043556469228,2014-01-07
2013-10-01,4.09172948295997,2014-04-01
2014-01-01,4.82636594256966,2014-10-01
2014-04-01,4.41017831080652,2014-10-01
2014-07-01,4.82854261220373,2015-01-02
2014-10-01,4.08933496464343,2015-04-01
2015-01-01,4.4,2015-07-01
2015-04-01,4.2,2015-10-01
2015-07-01,4.9,2016-03-01
2015-10-01,4.7,2016-03-01
2016-01-01,5.1,2016-07-01
2016-04-01,4.3,2016-09-01
2016-07-01,4.8,2016-12-01
2016-10-01,4.3,2017-03-01
2017-01-01,5.3,2017-07-03
2017-04-01,4.4,2017-11-01
2017-07-01,5.0,2017-12-01
2017-10-01,4.74924611978186,2018-03-09
2018-01-01,4.90372066674763,2018-06-01
2018-04-01,4.91376871219861,2018-09-04
2018-07-01,4.29617314025838,2018-12-17
2018-10-01,4.72353238981077,2019-03-13
2019-01-01,4.68084354239522,2019-06-14
2019-04-01,4.33844167334186,2019-09-11
2019-07-01,4.53728153791418,2020-01-15
2019-10-01,4.07886237327225,2020-03-11
2020-01-01,4.20945187234672,2020-06-11
2020-04-01,4.90243309720122,2020-09-10
2020-07-01,5.04910434459102,2020-12-09
2020-10-01,5.10618339691843,2021-03-10
2021-01-01,5.43562610625528,2021-10-13
2021-04-01,5.35551087675226,2021-10-13
2021-07-01,4.9533902531386,2022-01-18
2021-10-01,4.72260693783005,2022-05-11
2022-01-01,4.48894974499537,2022-07-13
2022-04-01,4.32723032622562,2022-11-11
2022-07-01,4.20549974768012,2023-01-11
2022-10-01,4.25375392485694,2023-04-07
2023-01-01,4.15619871241537,2023-07-07
2023-04-01,3.96095898263011,2023-10-07
2023-07-01,4.19866047211628,2023-10-07
2023-10-01,4.028718316552181,2024-04-10
2024-01-01,4.050389,2024-07-15
2024-04-01,4.20982,2024-10-15
2024-07-01,4.497941,2025-01-15
2024-10-01,4.486637,2025-04-15
2025-01-01,4.62608,2025-06-16
2025-04-01,4.727091000000001,2025-10-15
2025-07-01,4.957693,2026-01-15
2025-10-01,5.084341,2026-05-15
2026-01-01,5.074613,2026-06-15
