ref_date,value,publication_date
2013-04-01,6.4,2013-08-21
2013-07-01,6.2,2013-12-02
2013-10-01,6.0,2014-03-11
2014-01-01,5.9,2014-11-03
2014-04-01,5.6,2014-11-03
2014-07-01,5.4,2014-12-01
2014-10-01,5.7,2015-03-02
2015-01-01,5.8,2015-08-03
2015-04-01,5.9,2015-08-03
2015-07-01,6.0,2015-11-02
2015-10-01,5.3,2016-02-01
2016-01-01,5.7,2016-05-02
2016-04-01,5.1,2016-09-01
2016-07-01,4.9,2016-11-01
2016-10-01,5.2,2017-02-01
2017-01-01,4.9,2017-05-01
2017-04-01,4.8,2017-09-01
2017-07-01,4.6,2017-11-01
2017-10-01,4.5,2018-03-09
2018-01-01,4.4,2018-05-03
2018-04-01,4.5,2018-08-02
2018-07-01,3.9,2018-11-13
2018-10-01,4.3,2019-02-13
2019-01-01,4.2,2019-05-22
2019-04-01,3.9,2019-07-11
2019-07-01,4.1,2020-02-12
2019-10-01,4.0,2020-02-12
2020-01-01,4.2,2020-05-14
2020-04-01,4.0,2020-08-11
2020-07-01,5.3,2020-11-10
2020-10-01,4.9,2021-02-12
2021-01-01,4.7,2021-05-12
2021-04-01,4.0,2021-08-12
2021-07-01,3.4,2021-11-11
2021-10-01,3.2,2022-02-11
2022-01-01,3.2,2022-05-11
2022-04-01,3.3,2022-08-10
2022-07-01,3.3,2022-11-11
2022-10-01,3.4,2023-03-09
2023-01-01,3.4,2023-05-10
2023-04-01,3.6,2023-09-09
2023-07-01,3.9,2023-11-10
2023-10-01,4.0,2024-04-10
2024-01-01,4.3,2024-05-15
2024-04-01,4.6,2024-08-15
2024-07-01,4.8,2024-11-15
2024-10-01,5.1,2025-02-17
2025-01-01,5.1,2025-05-15
2025-04-01,5.2,2025-08-15
2025-07-01,5.3,2025-11-17
2025-10-01,5.4,2026-02-16
2026-01-01,5.3,2026-05-15
