ref_date,value,publication_date
2011-04-01,119.68,2011-08-08
2011-07-01,120.2,2011-11-14
2011-10-01,119.79,2012-02-13
2012-01-01,120.41,2012-07-09
2012-04-01,120.820654048961,2012-07-30
2012-07-01,121.130981071347,2013-01-02
2012-10-01,120.924096389757,2013-01-02
2013-01-01,121.441308093734,2013-05-01
2013-04-01,121.648192775324,2013-08-01
2013-07-01,106.840684068407,2013-11-01
2013-10-01,106.930693069307,2014-02-03
2014-01-01,107.290729072907,2014-11-03
2014-04-01,107.560756075608,2014-11-03
2014-07-01,107.920792079208,2014-11-03
2014-10-01,107.740774077408,2015-02-03
2015-01-01,107.380738073807,2015-04-01
2015-04-01,107.83,2015-08-03
2015-07-01,108.37,2015-11-02
2015-10-01,107.83,2016-02-01
2016-01-01,108.01,2016-05-02
2016-04-01,108.46,2016-08-01
2016-07-01,108.82,2016-11-01
2016-10-01,109.27,2017-02-01
2017-01-01,110.35,2017-05-01
2017-04-01,110.35,2017-11-01
2017-07-01,110.89,2017-11-01
2017-10-01,111.013141308886,2018-03-09
2018-01-01,111.564896484377,2018-04-20
2018-04-01,112.00630062477,2018-07-23
2018-07-01,104.684094217221,2018-11-13
2018-10-01,104.78632477798,2019-02-13
2019-01-01,104.888555338739,2019-05-22
2019-04-01,105.501938703293,2019-07-11
2019-07-01,106.217552628606,2020-02-12
2019-10-01,106.728705432401,2020-02-12
2020-01-01,107.546549918473,2020-05-14
2020-04-01,107.035397114678,2020-08-11
2020-07-01,107.751011039991,2020-11-10
2020-10-01,108.262163843786,2021-02-12
2021-01-01,109.182238890618,2021-05-12
2021-04-01,110.613466741244,2021-08-12
2021-07-01,113.06700019946,2021-11-11
2021-10-01,114.702689171604,2022-02-11
2022-01-01,116.747300386784,2022-05-11
2022-04-01,118.689681,2022-08-10
2022-07-01,121.24544506018,2022-11-11
2022-10-01,122.983364593083,2023-02-13
2023-01-01,124.516823004468,2023-05-10
2023-04-01,125.845820294335,2023-08-10
2023-07-01,128.094892631034,2023-11-10
2023-10-01,128.7083,2024-05-15
2024-01-01,129.5261,2024-05-15
2024-04-01,130.0373,2024-08-15
2024-07-01,130.8551,2024-11-15
2024-10-01,131.5707,2025-02-17
2025-01-01,132.7975,2025-05-15
