month_end,pair,country,price,for_policy_rate,for_rate_3m,for_yield_10y,for_curve_slope,for_cpi_yoy_pct,for_unemployment_rate,for_rate_change_3m,us_policy_rate,us_rate_3m,us_yield_10y,us_curve_slope,us_cpi_yoy_pct,us_unemployment_rate,us_rate_change_3m,vix_level,us_equity_1m_return,own_return_1m,own_return_3m,own_return_12m,fwd_logret_1m,y_1m,fwd_logret_3m,y_3m
1999-01-31,AUDUSD,AU,0.6297,4.75,4.79,5.12789473684211,0.33789473684211035,,,-0.25,4.63,4.89,4.72,-0.16999999999999993,1.6059295861643008,,-0.4400000000000004,26.25,3.37989963950589,2.8021157010788333,0.7491865758295579,-8.446725095526785,-0.014717910850035099,0,0.05002204044231118,1.0
1999-01-31,CADUSD,CA,0.6624710168930109,5.0195,5.0045,4.9465,-0.05799999999999983,,,-0.3819285714285705,4.63,4.89,4.72,-0.16999999999999993,1.6059295861643008,,-0.4400000000000004,26.25,3.37989963950589,1.8379250533779423,2.20797124446257,-3.594816718628296,0.0003312903790446686,1,0.03485002019878092,1.0
1999-01-31,CHFUSD,CH,0.7058159232072275,0.84375,,2.555,,,,-0.03711000000000009,4.63,4.89,4.72,-0.16999999999999993,1.6059295861643008,,-0.4400000000000004,26.25,3.37989963950589,-3.1038580933295368,-4.474696552500723,4.499171938740831,-0.022817861893086322,0,-0.07405251365053273,0.0
1999-01-31,EURUSD,EZ,1.1371,3.137,3.1321,3.82199861904762,0.6898986190476202,,,-0.5230000000000001,4.63,4.89,4.72,-0.16999999999999993,1.6059295861643008,,-0.4400000000000004,26.25,3.37989963950589,,,,-0.03362563063586134,0,-0.07361426020769998,0.0
1999-01-31,GBPUSD,GB,1.6457,5.9922,5.92171,4.2868,-1.6349099999999996,,,-1.5611999999999995,4.63,4.89,4.72,-0.16999999999999993,1.6059295861643008,,-0.4400000000000004,26.25,3.37989963950589,-1.0337102777145335,-1.675141605004421,0.8053243450750924,-0.026476118601807375,0,-0.022863757922256034,0.0
1999-01-31,JPYUSD,JP,0.008620689655172414,0.22526,,1.91,,,,-0.010190000000000005,4.63,4.89,4.72,-0.16999999999999993,1.6059295861643008,,-0.4400000000000004,26.25,3.37989963950589,-2.5494658280974747,0.3871805223985447,9.138398708904383,-0.023009110509257802,0,-0.029140234573970858,0.0
1999-01-31,NOKUSD,NO,0.13292569453675396,8.8,7.72,5.01,-2.71,,,0.4800000000000004,4.63,4.89,4.72,-0.16999999999999993,1.6059295861643008,,-0.4400000000000004,26.25,3.37989963950589,0.7548205076195913,-1.959794267591941,1.0130619750163383,-0.050225996328896905,0,-0.03839981577177465,0.0
1999-01-31,NZDUSD,NZ,0.5387,3.35,4.47,5.53,1.0600000000000005,,,-0.7200000000000002,4.63,4.89,4.72,-0.16999999999999993,1.6059295861643008,,-0.4400000000000004,26.25,3.37989963950589,2.1958281145125658,1.722566464502695,-8.501383840704225,-0.025760567094864184,0,0.039670412825726586,1.0
1999-01-31,SEKUSD,SE,0.1284191601386927,1.5,3.27,4.02,0.7499999999999996,,,-0.5,4.63,4.89,4.72,-0.16999999999999993,1.6059295861643008,,-0.4400000000000004,26.25,3.37989963950589,3.9778686883738867,0.3973090775913679,4.108598946376851,-0.05064135468333175,0,-0.08111887366491422,0.0
1999-02-28,AUDUSD,AU,0.6205,4.75,4.77,5.3,0.5300000000000002,,,-0.25,4.76,4.9,5.0,0.09999999999999964,1.6676961087090714,,-0.3100000000000005,27.88,2.2114057236548357,-1.4717910850035099,-1.2014561823536718,-8.935887463026187,0.021523349792563984,1,0.050745199005235386,1.0
1999-02-28,CADUSD,CA,0.6626905235255136,4.9945,5.0335,5.124,0.09049999999999958,,,-0.40692857142857,4.76,4.9,5.0,0.09999999999999964,1.6676961087090714,,-0.3100000000000005,27.88,2.2114057236548357,0.03312903790446686,0.9563139657914943,-5.825830513181135,-0.00013252932230656267,0,0.02448554324210722,1.0
