feature,mean_coef,std_coef,frac_windows_positive,expected_sign,sign_matches_theory,status
for_policy_rate,-0.26333629701479416,0.15098869966906106,0.05263157894736842,1,False,in model
for_rate_3m,0.26205592553270357,0.04928805609107269,1.0,1,True,in model
for_yield_10y,0.32675308887339005,0.06480226792130832,1.0,1,True,in model
for_curve_slope,-0.0357926339194178,0.0565737966771938,0.15789473684210525,,,in model
for_rate_change_3m,0.1974249158122021,0.12950870092713743,1.0,1,True,in model
for_rate_change_12m,0.07722343125989886,0.024343597502877623,0.9736842105263158,1,True,in model
us_policy_rate,0.17359985660590296,0.43944956021694204,0.631578947368421,-1,False,in model
us_rate_3m,-0.23629514829337403,0.1756812007727232,0.10526315789473684,-1,True,in model
us_yield_10y,-0.2974312674615629,0.09837699782073346,0.0,-1,True,in model
us_curve_slope,0.03675081249528711,0.19707710658556066,0.631578947368421,,,in model
us_rate_change_3m,0.07826501278935401,0.04295475013591271,0.9473684210526315,-1,False,in model
us_rate_change_12m,0.008153286865838794,0.056682539595685276,0.5789473684210527,-1,False,in model
vix_level,,,,,,REMOVED BY AMENDMENT (was pre-registered)
us_equity_12m_return,-0.06728370095740895,0.08722483116118054,0.2894736842105263,,,in model
own_return_1m,-0.03241990156653745,0.07984344805776981,0.3157894736842105,,,in model
own_return_3m,-0.02264226362035422,0.06715944150156834,0.39473684210526316,,,in model
own_return_12m,0.05764225440293884,0.049951187386995326,0.868421052631579,,,in model
