pair,EURUSD,GBPUSD,AUDUSD,NZDUSD,JPYUSD,CHFUSD,CADUSD,SEKUSD,NOKUSD,MXNUSD,ZARUSD
EURUSD,1.0,0.6047434400665433,0.6039921233361275,0.6336284400217215,0.275474657718959,0.7988816890624806,0.4770854835088554,0.8167509732634056,0.7398143608440261,0.3966132072716202,0.4167338657507019
GBPUSD,0.6047434400665433,1.0,0.4397908630061143,0.43106679836433937,0.09315201454870281,0.5045709802104301,0.3645576454236478,0.6487099368992292,0.6590408179441679,0.39434938964769134,0.3214297459874576
AUDUSD,0.6039921233361275,0.4397908630061143,1.0,0.8137790301936085,0.1493154636589046,0.5480095409806646,0.6821308154795487,0.5650863113000808,0.5812032787857848,0.554950470782914,0.570722732733508
NZDUSD,0.6336284400217215,0.43106679836433937,0.8137790301936085,1.0,0.15383868841919404,0.584066011495464,0.5431745423382008,0.5433336027107066,0.5146079085437731,0.48762812094866587,0.47811346921375714
JPYUSD,0.275474657718959,0.09315201454870281,0.1493154636589046,0.15383868841919404,1.0,0.4071962327405352,0.07807298917090559,0.20735825715094827,0.18410583525007565,-0.057959559687770154,0.11576250805331578
CHFUSD,0.7988816890624806,0.5045709802104301,0.5480095409806646,0.584066011495464,0.4071962327405352,1.0,0.35127694150009303,0.704305230873384,0.6169945132156482,0.28558359923658405,0.38423402482076363
CADUSD,0.4770854835088554,0.3645576454236478,0.6821308154795487,0.5431745423382008,0.07807298917090559,0.35127694150009303,1.0,0.47335823569753127,0.49949774530596985,0.4713818297753749,0.4084115599798876
SEKUSD,0.8167509732634056,0.6487099368992292,0.5650863113000808,0.5433336027107066,0.20735825715094827,0.704305230873384,0.47335823569753127,1.0,0.8114254553346343,0.47019342060929875,0.420918014120858
NOKUSD,0.7398143608440261,0.6590408179441679,0.5812032787857848,0.5146079085437731,0.18410583525007565,0.6169945132156482,0.49949774530596985,0.8114254553346343,1.0,0.49689216731933084,0.46337968285537884
MXNUSD,0.3966132072716202,0.39434938964769134,0.554950470782914,0.48762812094866587,-0.057959559687770154,0.28558359923658405,0.4713818297753749,0.47019342060929875,0.49689216731933084,1.0,0.46404862447795636
ZARUSD,0.4167338657507019,0.3214297459874576,0.570722732733508,0.47811346921375714,0.11576250805331578,0.38423402482076363,0.4084115599798876,0.420918014120858,0.46337968285537884,0.46404862447795636,1.0
