pair,n,acc_carry,acc_logit,base_rate_up
AUDUSD,383,0.556135770234987,0.5065274151436031,0.5013054830287206
CADUSD,450,0.5377777777777778,0.5244444444444445,0.5111111111111111
CHFUSD,288,0.4791666666666667,0.5,0.5243055555555556
EURUSD,342,0.5555555555555556,0.48830409356725146,0.4853801169590643
GBPUSD,450,0.4866666666666667,0.5111111111111111,0.4955555555555556
JPYUSD,255,0.47843137254901963,0.4823529411764706,0.5294117647058824
MXNUSD,264,0.5113636363636364,0.4810606060606061,0.5075757575757576
NOKUSD,450,0.5311111111111111,0.4955555555555556,0.5177777777777778
NZDUSD,450,0.56,0.5155555555555555,0.5511111111111111
SEKUSD,413,0.5472154963680388,0.4794188861985472,0.5012106537530266
ZARUSD,450,0.4533333333333333,0.4822222222222222,0.4533333333333333
