year,train_months,train_rows,oos_months,oos_rows,train_majority,acc_logit,acc_carry,acc_majority
1986,120,216,12,49,0,0.6938775510204082,0.6122448979591837,0.3877551020408163
1987,132,265,12,60,0,0.5666666666666667,0.65,0.35
1988,144,325,12,60,1,0.5,0.5,0.5
1989,156,385,12,60,1,0.65,0.6,0.6333333333333333
1990,168,445,12,60,1,0.5333333333333333,0.6166666666666667,0.6166666666666667
1991,180,505,12,65,1,0.4153846153846154,0.38461538461538464,0.38461538461538464
1992,192,570,12,72,1,0.4444444444444444,0.4166666666666667,0.4166666666666667
1993,204,642,12,72,1,0.5277777777777778,0.4861111111111111,0.4861111111111111
1994,216,714,12,72,1,0.4305555555555556,0.6527777777777778,0.6388888888888888
1995,228,786,12,84,1,0.5357142857142857,0.5476190476190477,0.5476190476190477
1996,240,870,12,84,1,0.5476190476190477,0.6666666666666666,0.5952380952380952
1997,252,954,12,84,1,0.6190476190476191,0.5952380952380952,0.34523809523809523
1998,264,1038,12,84,1,0.47619047619047616,0.4880952380952381,0.47619047619047616
1999,276,1122,12,90,1,0.6,0.5666666666666667,0.36666666666666664
2000,288,1212,12,96,0,0.5520833333333334,0.625,0.6458333333333334
2001,300,1308,12,96,0,0.59375,0.4479166666666667,0.59375
2002,312,1404,12,105,0,0.45714285714285713,0.6571428571428571,0.22857142857142856
2003,324,1509,12,108,1,0.6111111111111112,0.6203703703703703,0.6574074074074074
2004,336,1617,12,108,1,0.6203703703703703,0.5740740740740741,0.6018518518518519
2005,348,1725,12,108,1,0.5,0.5185185185185185,0.4537037037037037
2006,360,1833,12,108,1,0.5277777777777778,0.5,0.4537037037037037
2007,372,1941,12,108,1,0.3055555555555556,0.4351851851851852,0.6851851851851852
2008,384,2049,12,108,1,0.3333333333333333,0.37037037037037035,0.35185185185185186
2009,396,2157,12,108,1,0.4537037037037037,0.5833333333333334,0.6203703703703703
2010,408,2265,12,108,1,0.5555555555555556,0.5277777777777778,0.5648148148148148
2011,420,2373,12,108,1,0.6111111111111112,0.5648148148148148,0.6111111111111112
2012,432,2481,12,108,1,0.5740740740740741,0.5185185185185185,0.5740740740740741
2013,444,2589,12,108,1,0.4074074074074074,0.4444444444444444,0.42592592592592593
2014,456,2697,12,108,1,0.4074074074074074,0.4722222222222222,0.3425925925925926
2015,468,2805,12,108,1,0.4722222222222222,0.48148148148148145,0.37037037037037035
2016,480,2913,12,108,1,0.5462962962962963,0.5,0.5092592592592593
2017,492,3021,12,108,1,0.3055555555555556,0.37037037037037035,0.6111111111111112
2018,504,3129,12,108,1,0.6018518518518519,0.5555555555555556,0.39814814814814814
2019,516,3237,12,108,1,0.5925925925925926,0.6018518518518519,0.39814814814814814
2020,528,3345,12,108,1,0.37962962962962965,0.5370370370370371,0.6481481481481481
2021,540,3453,12,100,1,0.53,0.55,0.43
2022,552,3553,12,96,1,0.5208333333333334,0.4895833333333333,0.5625
2023,564,3649,6,48,1,0.4166666666666667,0.5,0.5
