year,train_months,train_rows,oos_months,oos_rows,train_majority,acc_logit,acc_carry,acc_majority
1986,120,216,12,49,0,0.6938775510204082,0.6122448979591837,0.3877551020408163
1987,120,253,12,60,0,0.5833333333333334,0.65,0.35
1988,120,301,12,60,1,0.48333333333333334,0.5,0.5
1989,120,349,12,60,1,0.65,0.6,0.6333333333333333
1990,120,385,12,60,1,0.55,0.6166666666666667,0.6166666666666667
1991,120,421,12,65,1,0.4,0.38461538461538464,0.38461538461538464
1992,120,462,12,72,1,0.4444444444444444,0.4166666666666667,0.4166666666666667
1993,120,510,12,72,1,0.5277777777777778,0.4861111111111111,0.4861111111111111
1994,120,558,12,72,1,0.3472222222222222,0.6527777777777778,0.6388888888888888
1995,120,606,12,84,1,0.44047619047619047,0.5476190476190477,0.5476190476190477
1996,120,654,12,84,1,0.5952380952380952,0.6666666666666666,0.5952380952380952
1997,120,689,12,84,1,0.42857142857142855,0.5952380952380952,0.34523809523809523
1998,120,713,12,84,1,0.5357142857142857,0.4880952380952381,0.47619047619047616
1999,120,737,12,90,1,0.5,0.5666666666666667,0.36666666666666664
2000,120,767,12,96,0,0.4479166666666667,0.625,0.6458333333333334
2001,120,803,12,96,0,0.59375,0.4479166666666667,0.59375
2002,120,834,12,105,0,0.45714285714285713,0.6571428571428571,0.22857142857142856
2003,120,867,12,108,0,0.6666666666666666,0.6203703703703703,0.3425925925925926
2004,120,903,12,108,1,0.5648148148148148,0.5740740740740741,0.6018518518518519
2005,120,939,12,108,1,0.5648148148148148,0.5185185185185185,0.4537037037037037
2006,120,963,12,108,1,0.5370370370370371,0.5,0.4537037037037037
2007,120,987,12,108,0,0.3148148148148148,0.4351851851851852,0.3148148148148148
2008,120,1011,12,108,1,0.3425925925925926,0.37037037037037035,0.35185185185185186
2009,120,1035,12,108,1,0.46296296296296297,0.5833333333333334,0.6203703703703703
2010,120,1053,12,108,1,0.5833333333333334,0.5277777777777778,0.5648148148148148
2011,120,1065,12,108,1,0.5,0.5648148148148148,0.6111111111111112
2012,120,1077,12,108,1,0.4166666666666667,0.5185185185185185,0.5740740740740741
2013,120,1080,12,108,1,0.5370370370370371,0.4444444444444444,0.42592592592592593
2014,120,1080,12,108,1,0.5185185185185185,0.4722222222222222,0.3425925925925926
2015,120,1080,12,108,1,0.48148148148148145,0.48148148148148145,0.37037037037037035
2016,120,1080,12,108,0,0.4537037037037037,0.5,0.49074074074074076
2017,120,1080,12,108,1,0.32407407407407407,0.37037037037037035,0.6111111111111112
2018,120,1080,12,108,0,0.39814814814814814,0.5555555555555556,0.6018518518518519
2019,120,1080,12,108,1,0.6018518518518519,0.6018518518518519,0.39814814814814814
2020,120,1080,12,108,0,0.5555555555555556,0.5370370370370371,0.35185185185185186
2021,120,1080,12,100,0,0.53,0.56,0.57
2022,120,1072,12,96,0,0.4791666666666667,0.4895833333333333,0.4375
2023,120,1060,6,48,0,0.5416666666666666,0.5,0.5
