ref_date,value,publication_date
1972-01-01,0.0,1972-01-31
1972-02-01,0.0,1972-02-29
1972-03-01,0.036765,1972-03-31
1972-04-01,0.334821,1972-04-28
1972-05-01,0.825,1972-05-31
1972-06-01,1.4375,1972-06-30
1972-07-01,0.8362069999999999,1972-07-31
1972-08-01,0.049242,1972-08-31
1972-09-01,0.396552,1972-09-29
1972-10-01,1.50833,1972-10-31
1972-11-01,2.32422,1972-11-30
1972-12-01,3.26613,1972-12-29
1973-01-01,3.89224,1973-01-31
1973-02-01,3.375,1973-02-28
1973-03-01,1.25781,1973-03-30
1973-04-01,1.54167,1973-04-30
1973-05-01,0.449219,1973-05-31
1973-06-01,1.06466,1973-06-29
1973-07-01,1.99194,1973-07-31
1973-08-01,1.71875,1973-08-31
1973-09-01,3.03571,1973-09-28
1973-10-01,2.54839,1973-10-31
1973-11-01,6.632810000000001,1973-11-30
1973-12-01,3.78226,1973-12-31
1974-01-01,8.04839,1974-01-31
1974-02-01,4.97321,1974-02-28
1974-03-01,5.50862,1974-03-29
1974-04-01,6.661289999999999,1974-04-30
1974-05-01,4.63636,1974-05-31
1974-06-01,9.75,1974-06-28
1974-07-01,7.8308800000000005,1974-07-31
1974-08-01,6.87069,1974-08-30
1974-09-01,4.51724,1974-09-30
1974-10-01,2.4243900000000003,1974-10-31
1974-11-01,4.1637900000000005,1974-11-29
1974-12-01,4.85294,1974-12-31
1975-01-01,2.69397,1975-01-31
1975-02-01,1.0714299999999999,1975-02-28
1975-03-01,1.1637899999999999,1975-03-31
1975-04-01,2.95455,1975-04-30
1975-05-01,2.91379,1975-05-30
1975-06-01,0.5775859999999999,1975-06-30
1975-07-01,3.2941199999999995,1975-07-31
1975-08-01,0.9776790000000001,1975-08-29
1975-09-01,1.5875,1975-09-30
1975-10-01,0.890152,1975-10-31
1975-11-01,0.8125,1975-11-28
1975-12-01,1.0357100000000001,1975-12-31
1976-01-01,0.508929,1976-01-30
1976-02-01,0.785714,1976-02-27
1976-03-01,0.9798389999999999,1976-03-31
1976-04-01,0.457031,1976-04-30
1976-05-01,0.62931,1976-05-31
1976-06-01,0.366667,1976-06-30
1976-07-01,1.12891,1976-07-30
1976-08-01,0.745833,1976-08-31
1976-09-01,0.6367189999999999,1976-09-30
1976-10-01,1.5819,1976-10-29
1976-11-01,0.941667,1976-11-30
1976-12-01,0.363636,1976-12-31
1977-01-01,0.75,1977-01-31
1977-02-01,2.29018,1977-02-28
1977-03-01,1.8257599999999998,1977-03-31
1977-04-01,2.98707,1977-04-29
1977-05-01,3.02083,1977-05-31
1977-06-01,2.35547,1977-06-30
1977-07-01,1.7791700000000001,1977-07-29
1977-08-01,0.925,1977-08-31
1977-09-01,1.4804700000000002,1977-09-30
1977-10-01,0.969828,1977-10-31
1977-11-01,1.57708,1977-11-30
1977-12-01,0.583333,1977-12-30
1978-01-01,0.008621,1978-01-31
1978-02-01,0.0,1978-02-28
1978-03-01,0.43181800000000004,1978-03-31
1978-04-01,0.025862,1978-04-28
1978-05-01,0.78125,1978-05-31
1978-06-01,0.8691409999999999,1978-06-30
1978-07-01,1.7791700000000001,1978-07-31
1978-08-01,0.412109,1978-08-31
1978-09-01,0.224138,1978-09-29
1978-10-01,-0.2625,1978-10-31
1978-11-01,-0.09375,1978-11-30
1978-12-01,-0.15524200000000002,1978-12-29
1979-01-01,-0.203664,1979-01-31
1979-02-01,-0.287946,1979-02-28
1979-03-01,0.001953,1979-03-30
1979-04-01,0.879167,1979-04-30
1979-05-01,1.02083,1979-05-31
1979-06-01,0.90625,1979-06-29
1979-07-01,0.733871,1979-07-31
1979-08-01,0.751953,1979-08-31
1979-09-01,1.20536,1979-09-28
1979-10-01,1.2409299999999999,1979-10-31
1979-11-01,1.43359,1979-11-30
1979-12-01,7.3871,1979-12-31
1980-01-01,2.23185,1980-01-31
1980-02-01,0.969828,1980-02-29
1980-03-01,3.32974,1980-03-31
1980-04-01,4.66856,1980-04-30
1980-05-01,3.29526,1980-05-30
1980-06-01,3.44181,1980-06-30
1980-07-01,4.04228,1980-07-31
1980-08-01,6.16071,1980-08-29
1980-09-01,1.40625,1980-09-30
1980-10-01,1.63447,1980-10-31
1980-11-01,3.91741,1980-11-28
