as_of_date,forecasting_date,direction,entry,exit,gross_pips,spread_pips,net_pips,net_return_pct,cum_net_pips,cum_net_return_pct,outcome
2026-06-22,2026-06-23,LONG,1.14266,1.13816,-45.0,1.5,-46.5,-0.4069,-46.5,-0.4069,loss
2026-06-23,2026-06-24,LONG,1.13791,1.13563,-22.8,1.5,-24.3,-0.2135,-70.8,-0.6204,loss
2026-06-24,2026-06-25,FLAT,1.13563,1.13706,0.0,0.0,0.0,0.0,-70.8,-0.6204,flat
2026-06-25,2026-06-26,SHORT,1.13706,1.13829,-12.3,1.5,-13.8,-0.1214,-84.6,-0.7418,loss
2026-06-26,2026-06-29,SHORT,1.13829,1.14249,-42.0,1.5,-43.5,-0.3822,-128.1,-1.124,loss
2026-06-29,2026-06-30,SHORT,1.14249,1.14225,2.4,1.5,0.9,0.0079,-127.2,-1.1161,win
2026-06-30,2026-07-01,FLAT,1.14225,1.13781,-0.0,0.0,-0.0,-0.0,-127.2,-1.1161,flat
2026-07-01,2026-07-02,SHORT,1.13781,1.14309,-52.8,1.5,-54.3,-0.4772,-181.5,-1.5933,loss
2026-07-02,2026-07-03,SHORT,1.14309,1.14281,2.8,1.5,1.3,0.0114,-180.2,-1.5819,win
2026-07-03,2026-07-06,SHORT,1.14281,1.14418,-13.7,1.5,-15.2,-0.133,-195.4,-1.7149,loss
2026-07-06,2026-07-07,SHORT,1.14418,1.14039,37.9,1.5,36.4,0.3181,-159.0,-1.3968,win
2026-07-07,2026-07-08,SHORT,1.14039,1.1416,-12.1,1.5,-13.6,-0.1193,-172.6,-1.5161,loss
2026-07-08,2026-07-09,SHORT,1.1416,1.14264,-10.4,1.5,-11.9,-0.1042,-184.5,-1.6203,loss
2026-07-09,2026-07-10,SHORT,1.14264,1.1412,14.4,1.5,12.9,0.1129,-171.6,-1.5074,win
2026-07-10,2026-07-13,SHORT,1.1412,1.13792,32.8,1.5,31.3,0.2743,-140.3,-1.2331,win
2026-07-13,2026-07-14,SHORT,1.13792,1.14192,-40.0,1.5,-41.5,-0.3647,-181.8,-1.5978,loss
2026-07-14,2026-07-15,SHORT,1.14192,1.14612,-42.0,1.5,-43.5,-0.3809,-225.3,-1.9787,loss
2026-07-15,2026-07-16,SHORT,1.14612,1.14427,18.5,1.5,17.0,0.1483,-208.3,-1.8304,win
2026-07-16,2026-07-17,SHORT,1.14427,1.14367,6.0,1.5,4.5,0.0393,-203.8,-1.7911,win
2026-07-17,2026-07-20,SHORT,1.14367,1.14116,25.1,1.5,23.6,0.2064,-180.2,-1.5847,win
2026-07-20,2026-07-21,SHORT,1.14116,1.13975,14.1,1.5,12.6,0.1104,-167.6,-1.4743,win
2026-07-21,2026-07-22,FLAT,1.13975,1.14083,0.0,0.0,0.0,0.0,-167.6,-1.4743,flat
2026-07-22,2026-07-23,FLAT,1.14083,1.13723,-0.0,0.0,-0.0,-0.0,-167.6,-1.4743,flat
2026-07-23,2026-07-24,SHORT,1.13723,1.13696,2.7,1.5,1.2,0.0106,-166.4,-1.4637,win
2026-07-24,2026-07-27,SHORT,1.13696,1.13679,1.7,1.5,0.2,0.0018,-166.2,-1.4619,win
2026-07-27,2026-07-28,SHORT,1.13679,1.139,-22.1,1.5,-23.6,-0.2076,-189.8,-1.6695,loss
2026-07-28,2026-07-29,FLAT,1.139,1.14605,0.0,0.0,0.0,0.0,-189.8,-1.6695,flat
2026-07-29,2026-07-30,SHORT,1.14605,1.15212,-60.7,1.5,-62.2,-0.5427,-252.0,-2.2122,loss
2026-07-30,2026-07-31,SHORT,1.15212,1.15273,-6.1,1.5,-7.6,-0.066,-259.6,-2.2782,loss
2026-07-31,2026-08-03,SHORT,1.15273,1.15086,18.7,1.5,17.2,0.1492,-242.4,-2.129,win
2026-08-03,2026-08-04,SHORT,1.15086,1.15269,-18.3,1.5,-19.8,-0.172,-262.2,-2.301,loss
2026-08-04,2026-08-05,SHORT,1.15269,1.15493,-22.4,1.5,-23.9,-0.2073,-286.1,-2.5083,loss
2026-08-05,2026-08-06,SHORT,1.15493,1.15195,29.8,1.5,28.3,0.245,-257.8,-2.2633,win
