as_of_date,forecasting_date,direction,entry,exit,gross_pips,spread_pips,net_pips,net_return_pct,cum_net_pips,cum_net_return_pct,outcome
2026-07-17,2026-07-20,LONG,1.14367,1.14116,-25.1,1.5,-26.6,-0.2326,-26.6,-0.2326,loss
2026-07-20,2026-07-21,LONG,1.14116,1.13975,-14.1,1.5,-15.6,-0.1367,-42.2,-0.3693,loss
2026-07-21,2026-07-22,LONG,1.13975,1.14083,10.8,1.5,9.3,0.0816,-32.9,-0.2877,win
2026-07-22,2026-07-23,LONG,1.14083,1.13723,-36.0,1.5,-37.5,-0.3287,-70.4,-0.6164,loss
2026-07-23,2026-07-24,SHORT,1.13723,1.13696,2.7,1.5,1.2,0.0106,-69.2,-0.6058,win
2026-07-24,2026-07-27,LONG,1.13696,1.13679,-1.7,1.5,-3.2,-0.0281,-72.4,-0.6339,loss
2026-07-27,2026-07-28,LONG,1.13679,1.139,22.1,1.5,20.6,0.1812,-51.8,-0.4527,win
2026-07-28,2026-07-29,LONG,1.139,1.14605,70.5,1.5,69.0,0.6058,17.2,0.1531,win
2026-07-29,2026-07-30,LONG,1.14605,1.15212,60.7,1.5,59.2,0.5166,76.4,0.6697,win
2026-07-30,2026-07-31,SHORT,1.15212,1.15273,-6.1,1.5,-7.6,-0.066,68.8,0.6037,loss
2026-07-31,2026-08-03,SHORT,1.15273,1.15086,18.7,1.5,17.2,0.1492,86.0,0.7529,win
2026-08-03,2026-08-04,LONG,1.15086,1.15269,18.3,1.5,16.8,0.146,102.8,0.8989,win
2026-08-04,2026-08-05,LONG,1.15269,1.15493,22.4,1.5,20.9,0.1813,123.7,1.0802,win
2026-08-05,2026-08-06,SHORT,1.15493,1.15195,29.8,1.5,28.3,0.245,152.0,1.3252,win
2026-08-06,2026-08-07,LONG,1.15195,1.15554,35.9,1.5,34.4,0.2986,186.4,1.6238,win
2026-08-07,2026-08-10,LONG,1.15554,1.15393,-16.1,1.5,-17.6,-0.1523,168.8,1.4715,loss
2026-08-10,2026-08-11,LONG,1.15393,1.1538,-1.3,1.5,-2.8,-0.0243,166.0,1.4472,loss
2026-08-11,2026-08-12,LONG,1.1538,1.1522,-16.0,1.5,-17.5,-0.1517,148.5,1.2955,loss
2026-08-12,2026-08-13,LONG,1.1522,1.15281,6.1,1.5,4.6,0.0399,153.1,1.3354,win
2026-08-13,2026-08-14,LONG,1.15281,1.15687,40.6,1.5,39.1,0.3392,192.2,1.6746,win
2026-08-14,2026-08-17,SHORT,1.15687,1.15767,-8.0,1.5,-9.5,-0.0821,182.7,1.5925,loss
2026-08-17,2026-08-18,SHORT,1.15767,1.15737,3.0,1.5,1.5,0.013,184.2,1.6055,win
