scale,horizon,seed,min_confidence,n_transactions,n_test_rows,profit_accuracy
primary,1,42,0.0,114,243,0.4473684210526316
primary,1,42,0.34,114,243,0.4473684210526316
primary,1,42,0.4,114,243,0.4473684210526316
primary,1,42,0.45,113,243,0.45132743362831856
primary,1,42,0.5,89,243,0.449438202247191
primary,1,42,0.55,65,243,0.47692307692307695
primary,1,42,0.6,50,243,0.48
primary,1,42,0.65,31,243,0.45161290322580644
primary,1,42,0.7,10,243,0.2
primary,1,42,0.75,6,243,0.16666666666666666
primary,1,42,0.8,5,243,0.2
primary,1,42,0.85,1,243,0.0
primary,1,42,0.9,0,243,
primary,1,42,0.95,0,243,
primary,1,43,0.0,107,243,0.4485981308411215
primary,1,43,0.34,107,243,0.4485981308411215
primary,1,43,0.4,107,243,0.4485981308411215
primary,1,43,0.45,107,243,0.4485981308411215
primary,1,43,0.5,107,243,0.4485981308411215
primary,1,43,0.55,105,243,0.44761904761904764
primary,1,43,0.6,99,243,0.46464646464646464
primary,1,43,0.65,97,243,0.4639175257731959
primary,1,43,0.7,95,243,0.4631578947368421
primary,1,43,0.75,82,243,0.47560975609756095
primary,1,43,0.8,72,243,0.4722222222222222
primary,1,43,0.85,64,243,0.515625
primary,1,43,0.9,5,243,0.6
primary,1,43,0.95,0,243,
primary,1,44,0.0,143,243,0.5104895104895105
primary,1,44,0.34,143,243,0.5104895104895105
primary,1,44,0.4,143,243,0.5104895104895105
primary,1,44,0.45,143,243,0.5104895104895105
primary,1,44,0.5,142,243,0.5070422535211268
primary,1,44,0.55,142,243,0.5070422535211268
primary,1,44,0.6,138,243,0.5217391304347826
primary,1,44,0.65,113,243,0.5309734513274337
primary,1,44,0.7,96,243,0.5208333333333334
primary,1,44,0.75,82,243,0.5
primary,1,44,0.8,75,243,0.48
primary,1,44,0.85,64,243,0.4375
primary,1,44,0.9,54,243,0.42592592592592593
primary,1,44,0.95,34,243,0.5
primary,1,45,0.0,226,243,0.504424778761062
primary,1,45,0.34,226,243,0.504424778761062
primary,1,45,0.4,226,243,0.504424778761062
primary,1,45,0.45,226,243,0.504424778761062
primary,1,45,0.5,226,243,0.504424778761062
primary,1,45,0.55,226,243,0.504424778761062
primary,1,45,0.6,226,243,0.504424778761062
primary,1,45,0.65,202,243,0.5198019801980198
primary,1,45,0.7,116,243,0.5344827586206896
primary,1,45,0.75,0,243,
primary,1,45,0.8,0,243,
primary,1,45,0.85,0,243,
primary,1,45,0.9,0,243,
primary,1,45,0.95,0,243,
primary,1,46,0.0,200,243,0.495
primary,1,46,0.34,200,243,0.495
primary,1,46,0.4,200,243,0.495
primary,1,46,0.45,200,243,0.495
primary,1,46,0.5,200,243,0.495
primary,1,46,0.55,200,243,0.495
primary,1,46,0.6,200,243,0.495
primary,1,46,0.65,170,243,0.4823529411764706
primary,1,46,0.7,133,243,0.49624060150375937
primary,1,46,0.75,48,243,0.4791666666666667
primary,1,46,0.8,0,243,
primary,1,46,0.85,0,243,
primary,1,46,0.9,0,243,
primary,1,46,0.95,0,243,
secondary,1,42,0.0,113,1437,0.5132743362831859
secondary,1,42,0.34,113,1437,0.5132743362831859
secondary,1,42,0.4,113,1437,0.5132743362831859
secondary,1,42,0.45,68,1437,0.4852941176470588
secondary,1,42,0.5,40,1437,0.475
secondary,1,42,0.55,22,1437,0.5454545454545454
secondary,1,42,0.6,12,1437,0.6666666666666666
secondary,1,42,0.65,0,1437,
secondary,1,42,0.7,0,1437,
secondary,1,42,0.75,0,1437,
secondary,1,42,0.8,0,1437,
secondary,1,42,0.85,0,1437,
secondary,1,42,0.9,0,1437,
secondary,1,42,0.95,0,1437,
secondary,1,43,0.0,319,1437,0.5109717868338558
secondary,1,43,0.34,319,1437,0.5109717868338558
secondary,1,43,0.4,213,1437,0.5539906103286385
secondary,1,43,0.45,141,1437,0.6099290780141844
secondary,1,43,0.5,65,1437,0.6153846153846154
secondary,1,43,0.55,7,1437,0.8571428571428571
secondary,1,43,0.6,5,1437,0.8
secondary,1,43,0.65,3,1437,1.0
secondary,1,43,0.7,1,1437,1.0
secondary,1,43,0.75,0,1437,
secondary,1,43,0.8,0,1437,
secondary,1,43,0.85,0,1437,
secondary,1,43,0.9,0,1437,
secondary,1,43,0.95,0,1437,
secondary,1,44,0.0,2,1437,1.0
secondary,1,44,0.34,2,1437,1.0
secondary,1,44,0.4,2,1437,1.0
secondary,1,44,0.45,0,1437,
secondary,1,44,0.5,0,1437,
secondary,1,44,0.55,0,1437,
secondary,1,44,0.6,0,1437,
secondary,1,44,0.65,0,1437,
secondary,1,44,0.7,0,1437,
secondary,1,44,0.75,0,1437,
secondary,1,44,0.8,0,1437,
secondary,1,44,0.85,0,1437,
secondary,1,44,0.9,0,1437,
secondary,1,44,0.95,0,1437,
secondary,1,45,0.0,8,1437,0.625
secondary,1,45,0.34,8,1437,0.625
secondary,1,45,0.4,5,1437,0.6
secondary,1,45,0.45,0,1437,
secondary,1,45,0.5,0,1437,
secondary,1,45,0.55,0,1437,
secondary,1,45,0.6,0,1437,
secondary,1,45,0.65,0,1437,
secondary,1,45,0.7,0,1437,
secondary,1,45,0.75,0,1437,
secondary,1,45,0.8,0,1437,
secondary,1,45,0.85,0,1437,
secondary,1,45,0.9,0,1437,
secondary,1,45,0.95,0,1437,
secondary,1,46,0.0,395,1437,0.5265822784810127
secondary,1,46,0.34,395,1437,0.5265822784810127
secondary,1,46,0.4,381,1437,0.5301837270341208
secondary,1,46,0.45,301,1437,0.5249169435215947
secondary,1,46,0.5,70,1437,0.5571428571428572
secondary,1,46,0.55,10,1437,0.5
secondary,1,46,0.6,0,1437,
secondary,1,46,0.65,0,1437,
secondary,1,46,0.7,0,1437,
secondary,1,46,0.75,0,1437,
secondary,1,46,0.8,0,1437,
secondary,1,46,0.85,0,1437,
secondary,1,46,0.9,0,1437,
secondary,1,46,0.95,0,1437,
