scale,arm,horizon,model,seed,profit_accuracy,n_transactions,n_test_rows,transaction_rate,accuracy_3class,threshold_scope,threshold_tau,threshold_upper_bound,iter_selection_block,hybrid_selection_block,iters_self,iters_me,iters_ti,min_conf,tie_break
primary,A0,1,ME_LSTM,42,0.48372093023255813,215,243,0.8847736625514403,0.3333333333333333,train_only,0.0023,0.009539999999999882,val,val,50,,,,
primary,A0,1,TI_LSTM,42,0.4642857142857143,140,243,0.5761316872427984,0.35390946502057613,train_only,0.0023,0.009539999999999882,val,val,50,,,,
primary,A0,1,ME_TI_LSTM,42,0.4933920704845815,227,243,0.934156378600823,0.3292181069958848,train_only,0.0023,0.009539999999999882,val,val,150,,,,
primary,A0,1,HYBRID,42,0.4473684210526316,114,243,0.4691358024691358,0.35802469135802467,train_only,0.0023,0.009539999999999882,val,val,,50,50,0.0,ti
primary,A1,1,ME_LSTM,42,0.5061728395061729,243,243,1.0,0.3374485596707819,full_series,0.00226,0.009539999999999882,val,val,50,,,,
primary,A1,1,TI_LSTM,42,0.4632768361581921,177,243,0.7283950617283951,0.3004115226337449,full_series,0.00226,0.009539999999999882,val,val,50,,,,
primary,A1,1,ME_TI_LSTM,42,0.5048543689320388,206,243,0.8477366255144033,0.37037037037037035,full_series,0.00226,0.009539999999999882,val,val,50,,,,
primary,A1,1,HYBRID,42,0.4858757062146893,177,243,0.7283950617283951,0.31275720164609055,full_series,0.00226,0.009539999999999882,val,val,,50,50,0.0,ti
primary,A2,1,ME_LSTM,42,0.5089285714285714,224,243,0.9218106995884774,0.3497942386831276,train_only,0.0023,0.009539999999999882,test,val,100,,,,
primary,A2,1,TI_LSTM,42,0.5337423312883436,163,243,0.6707818930041153,0.35802469135802467,train_only,0.0023,0.009539999999999882,test,val,200,,,,
primary,A2,1,ME_TI_LSTM,42,0.5,200,243,0.823045267489712,0.3662551440329218,train_only,0.0023,0.009539999999999882,test,val,50,,,,
primary,A2,1,HYBRID,42,0.5100671140939598,149,243,0.6131687242798354,0.37037037037037035,train_only,0.0023,0.009539999999999882,test,val,,100,200,0.0,ti
primary,A3,1,ME_LSTM,42,0.48372093023255813,215,243,0.8847736625514403,0.3333333333333333,train_only,0.0023,0.009539999999999882,val,test,50,,,,
primary,A3,1,TI_LSTM,42,0.4642857142857143,140,243,0.5761316872427984,0.35390946502057613,train_only,0.0023,0.009539999999999882,val,test,50,,,,
primary,A3,1,ME_TI_LSTM,42,0.4933920704845815,227,243,0.934156378600823,0.3292181069958848,train_only,0.0023,0.009539999999999882,val,test,150,,,,
primary,A3,1,HYBRID,42,0.48,50,243,0.205761316872428,0.37037037037037035,train_only,0.0023,0.009539999999999882,val,test,,50,50,0.6,ti
primary,A4,1,ME_LSTM,42,0.5061728395061729,243,243,1.0,0.3374485596707819,full_series,0.00226,0.009539999999999882,test,test,50,,,,
primary,A4,1,TI_LSTM,42,0.4632768361581921,177,243,0.7283950617283951,0.3004115226337449,full_series,0.00226,0.009539999999999882,test,test,50,,,,
primary,A4,1,ME_TI_LSTM,42,0.5116279069767442,172,243,0.7078189300411523,0.37037037037037035,full_series,0.00226,0.009539999999999882,test,test,150,,,,
primary,A4,1,HYBRID,42,0.5535714285714286,56,243,0.23045267489711935,0.2839506172839506,full_series,0.00226,0.009539999999999882,test,test,,50,50,0.5,ti
primary,A0,1,ME_LSTM,43,0.49794238683127573,243,243,1.0,0.3333333333333333,train_only,0.0023,0.009539999999999882,val,val,150,,,,
primary,A0,1,TI_LSTM,43,0.514018691588785,107,243,0.4403292181069959,0.36213991769547327,train_only,0.0023,0.009539999999999882,val,val,50,,,,
primary,A0,1,ME_TI_LSTM,43,0.4773662551440329,243,243,1.0,0.3168724279835391,train_only,0.0023,0.009539999999999882,val,val,200,,,,
primary,A0,1,HYBRID,43,0.44761904761904764,105,243,0.43209876543209874,0.345679012345679,train_only,0.0023,0.009539999999999882,val,val,,150,50,0.55,ti
primary,A1,1,ME_LSTM,43,0.5061728395061729,243,243,1.0,0.3374485596707819,full_series,0.00226,0.009539999999999882,val,val,50,,,,
primary,A1,1,TI_LSTM,43,0.5111111111111111,225,243,0.9259259259259259,0.3333333333333333,full_series,0.00226,0.009539999999999882,val,val,50,,,,
primary,A1,1,ME_TI_LSTM,43,0.49173553719008267,242,243,0.9958847736625515,0.3292181069958848,full_series,0.00226,0.009539999999999882,val,val,200,,,,
primary,A1,1,HYBRID,43,0.5111111111111111,225,243,0.9259259259259259,0.3333333333333333,full_series,0.00226,0.009539999999999882,val,val,,50,50,0.0,ti
primary,A2,1,ME_LSTM,43,0.5267489711934157,243,243,1.0,0.35390946502057613,train_only,0.0023,0.009539999999999882,test,val,100,,,,
primary,A2,1,TI_LSTM,43,0.5409836065573771,122,243,0.5020576131687243,0.345679012345679,train_only,0.0023,0.009539999999999882,test,val,100,,,,
primary,A2,1,ME_TI_LSTM,43,0.51440329218107,243,243,1.0,0.30864197530864196,train_only,0.0023,0.009539999999999882,test,val,100,,,,
primary,A2,1,HYBRID,43,0.5137614678899083,109,243,0.448559670781893,0.3662551440329218,train_only,0.0023,0.009539999999999882,test,val,,100,100,0.65,ti
primary,A3,1,ME_LSTM,43,0.49794238683127573,243,243,1.0,0.3333333333333333,train_only,0.0023,0.009539999999999882,val,test,150,,,,
primary,A3,1,TI_LSTM,43,0.514018691588785,107,243,0.4403292181069959,0.36213991769547327,train_only,0.0023,0.009539999999999882,val,test,50,,,,
primary,A3,1,ME_TI_LSTM,43,0.4773662551440329,243,243,1.0,0.3168724279835391,train_only,0.0023,0.009539999999999882,val,test,200,,,,
primary,A3,1,HYBRID,43,0.46464646464646464,99,243,0.4074074074074074,0.35390946502057613,train_only,0.0023,0.009539999999999882,val,test,,150,50,0.6,ti
primary,A4,1,ME_LSTM,43,0.5061728395061729,243,243,1.0,0.3374485596707819,full_series,0.00226,0.009539999999999882,test,test,50,,,,
primary,A4,1,TI_LSTM,43,0.5111111111111111,225,243,0.9259259259259259,0.3333333333333333,full_series,0.00226,0.009539999999999882,test,test,50,,,,
primary,A4,1,ME_TI_LSTM,43,0.5020576131687243,243,243,1.0,0.31275720164609055,full_series,0.00226,0.009539999999999882,test,test,50,,,,
primary,A4,1,HYBRID,43,0.5488721804511278,133,243,0.5473251028806584,0.3374485596707819,full_series,0.00226,0.009539999999999882,test,test,,50,50,0.5,ti
primary,A0,1,ME_LSTM,44,0.47342995169082125,207,243,0.8518518518518519,0.2962962962962963,train_only,0.0023,0.009539999999999882,val,val,100,,,,
primary,A0,1,TI_LSTM,44,0.4966442953020134,149,243,0.6131687242798354,0.32098765432098764,train_only,0.0023,0.009539999999999882,val,val,100,,,,
primary,A0,1,ME_TI_LSTM,44,0.48255813953488375,172,243,0.7078189300411523,0.2674897119341564,train_only,0.0023,0.009539999999999882,val,val,200,,,,
primary,A0,1,HYBRID,44,0.5208333333333334,96,243,0.3950617283950617,0.3292181069958848,train_only,0.0023,0.009539999999999882,val,val,,100,100,0.7,ti
primary,A1,1,ME_LSTM,44,,0,243,0.0,0.3292181069958848,full_series,0.00226,0.009539999999999882,val,val,50,,,,
primary,A1,1,TI_LSTM,44,0.5166666666666667,180,243,0.7407407407407407,0.3168724279835391,full_series,0.00226,0.009539999999999882,val,val,50,,,,
primary,A1,1,ME_TI_LSTM,44,,0,243,0.0,0.3292181069958848,full_series,0.00226,0.009539999999999882,val,val,50,,,,
primary,A1,1,HYBRID,44,,0,243,0.0,0.3292181069958848,full_series,0.00226,0.009539999999999882,val,val,,50,50,0.0,ti
primary,A2,1,ME_LSTM,44,0.49382716049382713,243,243,1.0,0.3292181069958848,train_only,0.0023,0.009539999999999882,test,val,50,,,,
primary,A2,1,TI_LSTM,44,0.5234899328859061,149,243,0.6131687242798354,0.3045267489711934,train_only,0.0023,0.009539999999999882,test,val,200,,,,
primary,A2,1,ME_TI_LSTM,44,0.49246231155778897,199,243,0.8189300411522634,0.3374485596707819,train_only,0.0023,0.009539999999999882,test,val,100,,,,
primary,A2,1,HYBRID,44,0.5100671140939598,149,243,0.6131687242798354,0.2962962962962963,train_only,0.0023,0.009539999999999882,test,val,,50,200,0.5,ti
primary,A3,1,ME_LSTM,44,0.47342995169082125,207,243,0.8518518518518519,0.2962962962962963,train_only,0.0023,0.009539999999999882,val,test,100,,,,
primary,A3,1,TI_LSTM,44,0.4966442953020134,149,243,0.6131687242798354,0.32098765432098764,train_only,0.0023,0.009539999999999882,val,test,100,,,,
primary,A3,1,ME_TI_LSTM,44,0.48255813953488375,172,243,0.7078189300411523,0.2674897119341564,train_only,0.0023,0.009539999999999882,val,test,200,,,,
