time,open,high,low,close,ma_10,macd_12_26,roc_2,mom_4,rsi_10,bb_pctb_20,cci_20,rate_de,rate_eu,rate_fed,infl_eu,infl_us,sp500,dax
1999-01-04,1.1801,1.1862,1.1769,1.1818,1.17465,-0.00010019193487353917,1.1555251219721008,0.013700000000000045,57.07028824440041,0.7093082562118769,76.53660446300358,3.702,2.75,5.04,0.2055498458376048,1.6666666666666607,1228.0999755859375,5290.35986328125
1999-01-05,1.182,1.1835,1.1744,1.1744,1.1742199999999998,-0.0001317483876783765,0.17059024223813335,0.000500000000000167,49.52966884166843,0.39916017968685763,14.37917725689539,3.702,2.75,4.54,0.2055498458376048,1.6666666666666607,1244.780029296875,5263.41015625
1999-01-06,1.1742,1.1773,1.1553,1.1626,1.17236,-0.001096281239446384,-1.6246403790827424,-0.005699999999999816,40.13418444669482,-0.002901998235261332,-148.53891558303098,3.702,2.75,4.23,0.2055498458376048,1.6666666666666607,1272.3399658203125,5442.89990234375
1999-01-07,1.1627,1.1735,1.1612,1.1712,1.17196,-0.0011534362516356644,-0.27247956403270157,-0.0012000000000000899,48.10580256514353,0.3272584871623794,-92.15617305663204,3.702,2.75,4.49,0.2055498458376048,1.6666666666666607,1269.72998046875,5345.7099609375
1999-01-08,1.171,1.172,1.1533,1.1585,1.17042,-0.00219817666002764,-0.35265783588508404,-0.023299999999999876,39.47987003458303,-0.030677772057045437,-163.1666326857549,3.702,2.75,4.74,0.2055498458376048,1.6666666666666607,1275.0899658203125,5370.509765625
1999-01-11,1.1563,1.161,1.1487,1.1507,1.16819,-0.0036138772459752833,-1.7503415300546443,-0.023700000000000054,35.17560910306456,-0.10568360542854494,-208.79139266770412,3.702,2.75,5.17,0.2055498458376048,1.6666666666666607,1263.8800048828125,5266.47021484375
1999-01-12,1.1509,1.158,1.1447,1.1563,1.1670099999999999,-0.004235136938715245,-0.18990073370738214,-0.006299999999999972,40.362347364834434,0.09778064534520044,-174.325183515406,3.702,2.75,4.78,0.2055498458376048,1.6666666666666607,1239.510009765625,5196.1298828125
1999-01-13,1.1562,1.179,1.1553,1.1689,1.1665100000000002,-0.0036684869892809058,1.5816459546363015,-0.0022999999999999687,50.303213086924,0.4203731668957996,-41.09916367980954,3.702,2.75,4.62,0.2055498458376048,1.6666666666666607,1234.4000244140625,4982.1201171875
1999-01-14,1.169,1.1728,1.1614,1.1667,1.16635,-0.0033582229321540424,0.8994205655971532,0.008199999999999985,48.72746386693136,0.382722832849883,-41.80603387758702,3.702,2.75,4.82,0.2055498458376048,1.6666666666666607,1212.18994140625,4902.75
1999-01-15,1.1681,1.1749,1.1552,1.1563,1.16474,-0.003906497839736733,-1.0779365215159542,0.005600000000000049,41.842833748115225,0.12027424881178701,-82.47964276333211,3.702,2.75,4.68,0.2055498458376048,1.6666666666666607,1243.260009765625,4973.77978515625
1999-01-18,1.1565,1.162,1.1564,1.1605,1.1626100000000001,-0.003956496723572345,-0.531413388188906,0.0041999999999999815,45.31010137250971,0.26649878169510594,-97.46780744965712,3.702,2.75,4.68,0.2055498458376048,1.6666666666666607,1243.260009765625,5076.85009765625
1999-01-19,1.1602,1.1642,1.1563,1.1599,1.1611600000000002,-0.003998444604371487,0.3113378880913009,-0.009000000000000119,44.88533701421723,0.2728567153077087,-83.70781566658027,3.702,2.75,4.55,0.2055498458376048,1.6666666666666607,1252.0,5038.4501953125
1999-01-20,1.16,1.1611,1.1539,1.1565,1.16055,-0.004256968504093184,-0.34467901766479514,-0.010199999999999987,42.38363057075553,0.2001505451397685,-102.64724643844356,3.702,2.75,4.41,0.2055498458376048,1.6666666666666607,1256.6199951171875,5197.14990234375
1999-01-21,1.1565,1.1619,1.1545,1.1605,1.15948,-0.004091914938301411,0.051728597292877154,0.0041999999999999815,46.29631236653744,0.3395632776897355,-74.22925177193817,3.702,2.75,4.36,0.2055498458376048,1.6666666666666607,1235.1600341796875,5163.4501953125
1999-01-22,1.16,1.1626,1.1559,1.1587,1.1595,-0.004059557700848426,0.19022913964548138,-0.0018000000000000238,44.77596238066585,0.305325876536944,-65.85559375826439,3.702,2.0,4.62,0.2055498458376048,1.6666666666666607,1225.18994140625,5008.2099609375
1999-01-25,1.1582,1.1608,1.1547,1.1557,1.1600000000000001,-0.004227260062378502,-0.41361482119777193,-0.0041999999999999815,42.209061433517235,0.23958186795605044,-78.36805555555542,3.702,2.0,4.97,0.2055498458376048,1.6666666666666607,1233.97998046875,4988.58984375
1999-01-26,1.1558,1.1591,1.1552,1.1561,1.15998,-0.00427856806571536,-0.22438940191595869,-0.000400000000000178,42.695745663547335,0.2742925109982537,-73.45638209521881,3.702,2.0,4.84,0.2055498458376048,1.6666666666666607,1252.31005859375,5001.18994140625
1999-01-27,1.1564,1.1565,1.1408,1.1453,1.15762,-0.005131546494931305,-0.8998875140607376,-0.015200000000000102,34.08450428184561,0.021318754195516095,-152.72464935239415,3.702,2.0,4.61,0.2055498458376048,1.6666666666666607,1243.1700439453125,5038.2099609375
1999-01-28,1.145,1.147,1.1378,1.1407,1.15502,-0.006108306842665279,-1.3320647002854291,-0.018000000000000016,31.114634353927258,-0.00824109813843108,-186.58482000128106,3.702,2.0,4.8,0.2055498458376048,1.6666666666666607,1265.3699951171875,5080.93017578125
1999-01-29,1.1406,1.1433,1.1342,1.1367,1.15306,-0.0071230529060732906,-0.7508949620186778,-0.018999999999999906,28.698611787306262,-0.0145533596013217,-195.03098117066665,3.702,2.0,4.79,0.2055498458376048,1.6666666666666607,1279.6400146484375,5180.2900390625
1999-02-01,1.1382,1.1397,1.129,1.1317,1.1501800000000002,-0.008235767879899214,-0.7889892171473734,-0.024399999999999977,25.904876145093468,-0.061082908080464134,-205.98351612694162,3.849,2.0,4.86,0.0853825136611918,1.6666666666666607,1273.0,5239.60009765625
1999-02-02,1.1319,1.1365,1.1284,1.1358,1.14777,-0.008686632684123063,-0.07917656373714888,-0.009500000000000064,31.94129597310068,0.07825069821887351,-169.4866289796283,3.849,2.0,4.56,0.0853825136611918,1.6666666666666607,1261.989990234375,5164.9501953125
1999-02-03,1.1359,1.1363,1.13,1.1303,1.1451500000000001,-0.009379627813539182,-0.12370769638595513,-0.010399999999999965,28.482647050888488,0.0348977625719643,-149.9991170289782,3.849,2.0,4.65,0.0853825136611918,1.6666666666666607,1272.0699462890625,5090.06982421875
1999-02-04,1.1309,1.1346,1.1247,1.1343,1.14253,-0.009496594050961704,-0.1320655044902086,-0.0023999999999999577,34.23692519316974,0.15164475190548754,-131.70347853269902,3.849,2.0,4.88,0.0853825136611918,1.6666666666666607,1248.489990234375,5061.27978515625
1999-02-05,1.1338,1.1373,1.1253,1.126,1.13926,-0.010142119233546687,-0.38042997434311054,-0.005700000000000038,28.879618991090197,0.05288486704457612,-121.23907800577301,3.849,2.0,4.76,0.0853825136611918,1.6666666666666607,1239.4000244140625,5097.47998046875
1999-02-08,1.1269,1.133,1.122,1.1314,1.13683,-0.010101523644591381,-0.25566428634401506,-0.0043999999999999595,36.106958194777256,0.18880031900255342,-108.5440081276471,3.849,2.0,4.85,0.0853825136611918,1.6666666666666607,1243.77001953125,5052.43994140625
1999-02-09,1.1315,1.1345,1.1281,1.1316,1.13438,-0.009938646489203506,0.497335701598578,0.0012999999999998568,36.373042492607276,0.22238116598585392,-84.0265220012065,3.849,2.0,4.73,0.0853825136611918,1.6666666666666607,1216.1400146484375,4850.669921875
1999-02-10,1.1317,1.136,1.127,1.1318,1.13303,-0.009681820837669441,0.03535442814213141,-0.0025000000000001688,36.66610440188783,0.2485624181643658,-74.89711934156334,3.849,2.0,4.66,0.0853825136611918,1.6666666666666607,1223.550048828125,4814.0400390625
1999-02-11,1.1321,1.1336,1.1214,1.1236,1.1313199999999999,-0.010024401072648015,-0.7069635913750427,-0.0023999999999999577,30.30692061669285,0.1319923782926562,-94.6192093733086,3.849,2.0,4.73,0.0853825136611918,1.6666666666666607,1254.0400390625,4869.2900390625
1999-02-12,1.1228,1.1308,1.1217,1.1306,1.13071,-0.009620161643384417,-0.10602579961123126,-0.0007999999999999119,40.152169430940845,0.2862749271188999,-80.25345151160363,3.849,2.0,4.68,0.0853825136611918,1.6666666666666607,1230.1300048828125,4896.740234375
1999-02-15,1.1293,1.1301,1.1221,1.1228,1.12982,-0.009816040590333142,-0.07119971520113122,-0.008799999999999919,34.17495253502571,0.17159503829265124,-88.57439326684634,3.849,2.0,4.68,0.0853825136611918,1.6666666666666607,1230.1300048828125,4888.9501953125
1999-02-16,1.123,1.1238,1.1158,1.1214,1.12838,-0.009969324203009888,-0.8137272244825855,-0.010399999999999965,33.189619161431054,0.17537198673343804,-109.53428954491338,3.849,2.0,5.09,0.0853825136611918,1.6666666666666607,1241.8699951171875,4895.10986328125
1999-02-17,1.1218,1.1267,1.12,1.1242,1.12777,-0.009752445845956137,0.12468827930174342,0.000600000000000156,37.21248939286002,0.2533567516174766,-85.0212309043862,3.849,2.0,4.73,0.0853825136611918,1.6666666666666607,1224.030029296875,4820.419921875
1999-02-18,1.1243,1.128,1.1185,1.1195,1.12629,-0.00984631669617353,-0.16943106830746846,-0.01110000000000011,33.45536817710115,0.1788608145321487,-93.86413440467281,3.849,2.0,4.71,0.0853825136611918,1.6666666666666607,1237.280029296875,4871.08984375
1999-02-19,1.1197,1.1211,1.1055,1.1058,1.1242699999999999,-0.010900530989692347,-1.636719444938639,-0.017000000000000126,25.21129501545022,-0.04981240637453953,-177.47337625941242,3.849,2.0,4.72,0.0853825136611918,1.6666666666666607,1239.219970703125,4823.259765625
1999-02-22,1.1053,1.106,1.0962,1.1027,1.1214,-0.011849553231170873,-1.5006699419383596,-0.01869999999999994,23.740460605461024,-0.045957274361351025,-230.66584379071358,3.849,2.0,4.78,0.0853825136611918,1.6666666666666607,1272.1400146484375,4887.7001953125
1999-02-23,1.1028,1.107,1.0941,1.1013,1.11837,-0.012569732443370008,-0.40694519804665985,-0.022900000000000142,23.065232824250998,-0.028302994980151555,-205.59236472629655,3.849,2.0,4.73,0.0853825136611918,1.6666666666666607,1271.1800537109375,5012.60009765625
1999-02-24,1.1012,1.1047,1.0926,1.0998,1.11517,-0.013110388721379262,-0.2629908406638126,-0.01969999999999983,22.309830786811048,0.009936361252513801,-182.42741916182095,3.849,2.0,4.88,0.0853825136611918,1.6666666666666607,1253.4100341796875,5058.2900390625
1999-02-25,1.0993,1.1079,1.0983,1.1036,1.11317,-0.013081439779975002,0.20884409334422926,-0.0021999999999999797,28.867343831383067,0.12877428959292048,-128.66670009527124,3.849,2.0,4.89,0.0853825136611918,1.6666666666666607,1245.02001953125,4918.5498046875
1999-02-26,1.1037,1.1047,1.0955,1.1025,1.11036,-0.01299743203636794,0.24549918166938411,-0.00019999999999997797,28.10436335236861,0.14804014955719647,-122.15282501597565,3.849,2.0,4.84,0.0853825136611918,1.6666666666666607,1238.3299560546875,4903.9599609375
1999-03-01,1.0986,1.1025,1.0884,1.0887,1.1069499999999999,-0.013884349820876718,-1.3501268575570768,-0.012599999999999945,20.537726904745625,-0.017037526676014728,-140.3431345506698,4.037826087,2.0,5.1,0.4962354551676817,1.728395061728394,1236.1600341796875,4779.06982421875
1999-03-02,1.0888,1.0947,1.0857,1.0935,1.1041599999999998,-0.014038096235282405,-0.8163265306122547,-0.006300000000000194,28.026667250916077,0.11440413899126206,-128.10616832554643,4.037826087,2.0,4.73,0.4962354551676817,1.728395061728394,1225.5,4797.83984375
1999-03-03,1.0937,1.0945,1.0866,1.0873,1.10047,-0.01449316141767687,-0.12859373564803045,-0.01629999999999998,24.687457534093298,0.07327430792906042,-119.4418485770661,4.037826087,2.0,4.74,0.4962354551676817,1.728395061728394,1227.699951171875,4668.52001953125
1999-03-04,1.0877,1.088,1.079,1.0809,1.0966099999999999,-0.015195071045847053,-1.152263374485596,-0.021600000000000064,21.719438951525305,0.040304136008768233,-133.38639378434883,4.037826087,2.0,4.8,0.4962354551676817,1.728395061728394,1246.6400146484375,4722.68994140625
1999-03-05,1.0805,1.0867,1.0786,1.0818,1.09421,-0.015500042167110317,-0.5058401545111613,-0.006899999999999906,23.162822265657965,0.10785231236803008,-119.90608261794603,4.037826087,2.0,4.8,0.4962354551676817,1.728395061728394,1275.469970703125,4840.81005859375
1999-03-08,1.0819,1.0925,1.0802,1.0888,1.0928200000000001,-0.015003936439699883,0.7308724211305462,-0.0046999999999999265,33.723679283192396,0.234559509676515,-89.88441539803365,4.037826087,2.0,4.83,0.4962354551676817,1.728395061728394,1282.72998046875,4791.43017578125
1999-03-09,1.0885,1.092,1.0857,1.0888,1.0915700000000002,-0.014444264585578237,0.6470696986503821,0.0015000000000000568,33.723679283192396,0.25782789640829407,-76.6028309741881,4.037826087,2.0,4.74,0.4962354551676817,1.728395061728394,1279.8399658203125,4790.47021484375
1999-03-10,1.0891,1.0975,1.0877,1.0949,1.09108,-0.013354558550747075,0.560249816311531,0.014000000000000012,42.26138012159531,0.3679589859539945,-51.36016857712337,4.037826087,2.0,4.82,0.4962354551676817,1.728395061728394,1286.8399658203125,4730.0498046875
1999-03-11,1.0948,1.1057,1.0798,1.1038,1.0911,-0.01163864004994486,1.3776634827332712,0.021999999999999797,52.23608625562704,0.5280993363439732,-31.206151428409758,4.037826087,2.0,4.8,0.4962354551676817,1.728395061728394,1297.6800537109375,4785.3701171875
1999-03-12,1.103,1.1041,1.0892,1.0905,1.0898999999999999,-0.011222594044473677,-0.4018631838524023,0.0017000000000000348,40.59225268647513,0.32040008683949656,-36.322588472352216,4.037826087,2.0,4.74,0.4962354551676817,1.728395061728394,1294.5899658203125,5031.06005859375
1999-03-15,1.0904,1.0961,1.0885,1.0905,1.09008,-0.010768739264751748,-1.2049284290632234,0.0017000000000000348,40.59225268647513,0.3389379983590605,-49.27802511012285,4.037826087,2.0,5.01,0.4962354551676817,1.728395061728394,1307.260009765625,5043.22998046875
1999-03-16,1.0902,1.102,1.0819,1.1004,1.09077,-0.00950069077049931,0.907840440165053,0.00550000000000006,50.6925939858285,0.565306221259334,-21.13487723812497,4.037826087,2.0,4.77,0.4962354551676817,1.728395061728394,1306.3800048828125,5090.93017578125
1999-03-17,1.1006,1.1045,1.0937,1.1012,1.09216,-0.008335117838871309,0.9812012838147588,-0.0025999999999999357,51.43396885694426,0.630215070905373,34.83285716591415,4.037826087,2.0,4.73,0.4962354551676817,1.728395061728394,1297.8199462890625,5062.58984375
1999-03-18,1.1011,1.107,1.0957,1.0972,1.09379,-0.007646020894275463,-0.2908033442384661,0.006699999999999928,47.46880196032933,0.5654274006784652,57.18315653374724,4.037826087,2.0,4.72,0.4962354551676817,1.728395061728394,1316.550048828125,5025.7900390625
1999-03-19,1.0977,1.1001,1.0877,1.0889,1.0945,-0.007681104246580306,-1.1169633127497303,-0.0016000000000000458,40.30496666831961,0.3141151855809216,-26.145552560647502,4.037826087,2.0,4.75,0.4962354551676817,1.728395061728394,1299.2900390625,5108.75
1999-03-22,1.0907,1.092,1.0852,1.0917,1.0947900000000002,-0.00739769542862434,-0.5012759752096252,-0.008700000000000152,43.50102933680543,0.4257343464348598,-55.40711573618396,4.037826087,2.0,4.81,0.4962354551676817,1.728395061728394,1297.010009765625,5034.68017578125
1999-03-23,1.0912,1.0927,1.086,1.0884,1.0947500000000001,-0.007354595124771546,-0.0459178987969433,-0.012799999999999923,40.650924020262174,0.32887023320157566,-57.92109441798139,4.037826087,2.0,4.79,0.4962354551676817,1.728395061728394,1262.1400146484375,4870.490234375
1999-03-24,1.0885,1.0962,1.0865,1.0878,1.0940400000000001,-0.007284877278450841,-0.35724100027477723,-0.009399999999999853,40.11989776586736,0.32672967113668605,-36.461331798119474,4.037826087,2.0,4.93,0.4962354551676817,1.728395061728394,1268.5899658203125,4797.330078125
1999-03-25,1.0879,1.0909,1.0826,1.084,1.09206,-0.007450370392832584,-0.4042631385519968,-0.004899999999999904,36.742344026287924,0.21300567481626703,-96.63355408388882,4.037826087,2.0,4.97,0.4962354551676817,1.728395061728394,1289.989990234375,4863.81005859375
1999-03-26,1.0842,1.0868,1.0715,1.0765,1.09066,-0.008093416332672021,-1.0387938959367626,-0.01519999999999988,31.016156275712305,0.00021109833573641721,-194.86568744210462,4.037826087,2.0,4.78,0.4962354551676817,1.728395061728394,1282.800048828125,4799.58984375
1999-03-29,1.0752,1.079,1.068,1.0728,1.08889,-0.008800151284595437,-1.0332103321033292,-0.015600000000000058,28.575065600868598,-0.02637628705374631,-221.39091991157875,4.037826087,2.0,4.84,0.4962354551676817,1.728395061728394,1310.1700439453125,4867.2099609375
1999-03-30,1.0729,1.0775,1.0697,1.0724,1.08609,-0.009285483212346346,-0.3808639108221046,-0.01540000000000008,28.307449380531793,0.04073135697785133,-178.28338241804886,4.037826087,2.0,4.77,0.4962354551676817,1.728395061728394,1300.75,4841.2001953125
1999-03-31,1.0725,1.0822,1.0686,1.0766,1.0836299999999999,-0.009224868817138798,0.3542132736763737,-0.007400000000000073,35.36918741050057,0.19030929129248828,-124.47084528199021,4.037826087,2.0,4.98,0.4962354551676817,1.728395061728394,1286.3699951171875,4865.27001953125
1999-04-01,1.0761,1.0823,1.0727,1.0783,1.08174,-0.008936639660584111,0.5501678478179839,0.0018000000000000238,38.11082100980703,0.24393057723341252,-97.46454943474993,3.85,2.0,5.41,0.786324786324788,2.281134401972884,1293.719970703125,4901.81005859375
1999-04-02,1.0782,1.0807,1.0766,1.0794,1.08079,-0.008521227761168815,0.2600780234070177,0.006599999999999939,39.942454725876544,0.27924502299693704,-82.14444233086189,3.85,2.0,4.69,0.786324786324788,2.281134401972884,1293.719970703125,4901.81005859375
1999-04-05,1.0787,1.0787,1.0703,1.0717,1.0787900000000001,-0.008712899603379842,-0.6120745618102497,-0.0006999999999999229,32.468623091572965,0.12223250171841737,-113.22201397171624,3.85,2.0,4.76,0.786324786324788,2.281134401972884,1321.1199951171875,4901.81005859375
1999-04-06,1.0718,1.0855,1.0705,1.0824,1.07819,-0.007910216293392391,0.27793218454699176,0.005800000000000027,47.605730464027964,0.398463057487274,-56.66878168259777,3.85,2.0,4.7,0.786324786324788,2.281134401972884,1317.8900146484375,5022.27001953125
1999-04-07,1.0825,1.0847,1.0765,1.0765,1.07706,-0.007661843713848038,0.44788653541101286,-0.0018000000000000238,41.857475267145766,0.27489570861978,-52.638381529627424,3.85,2.0,4.64,0.786324786324788,2.281134401972884,1326.8900146484375,5027.25
1999-04-08,1.0766,1.0884,1.0725,1.0742,1.07608,-0.007563411137693876,-0.7575757575757569,-0.005199999999999871,39.77709291053352,0.2369118431555147,-53.463970537141606,3.85,2.0,4.72,0.786324786324788,2.281134401972884,1343.97998046875,5067.759765625
1999-04-09,1.0742,1.0815,1.0731,1.0794,1.07637,-0.0069852840636392965,0.2693915466790431,0.007699999999999818,46.4615881052841,0.3894602430270694,-51.103617632107486,3.85,1.5,4.65,0.786324786324788,2.281134401972884,1348.3499755859375,5133.919921875
1999-04-12,1.0827,1.0879,1.0802,1.0807,1.07716,-0.006349027420848641,0.605101470862035,-0.0017000000000000348,48.06292205289765,0.43665930436037675,-5.240994880184234,3.85,1.5,4.69,0.786324786324788,2.281134401972884,1358.6300048828125,5167.5498046875
1999-04-13,1.0807,1.0831,1.0745,1.0775,1.07767,-0.006033452815575657,-0.17602371687974738,0.0009999999999998899,44.4284471308201,0.36774257597187304,-42.33581407494353,3.85,1.5,4.66,0.786324786324788,2.281134401972884,1349.8199462890625,5225.22021484375
1999-04-14,1.0773,1.082,1.0765,1.0814,1.0781500000000002,-0.005406339346309741,0.06477283242343201,0.007199999999999873,49.59043063557032,0.5184257020257803,-19.934574687500664,3.85,1.5,4.72,0.786324786324788,2.281134401972884,1328.43994140625,5186.759765625
